gesto,x0,y0,z0,x1,y1,z1,x2,y2,z2,x3,y3,z3,x4,y4,z4,x5,y5,z5,x6,y6,z6,x7,y7,z7,x8,y8,z8,x9,y9,z9,x10,y10,z10,x11,y11,z11,x12,y12,z12,x13,y13,z13,x14,y14,z14,x15,y15,z15,x16,y16,z16,x17,y17,z17,x18,y18,z18,x19,y19,z19,x20,y20,z20
puno,0.329185,0.680508,-0.000000,0.452160,0.627652,-0.030135,0.586075,0.535580,-0.043061,0.688664,0.463525,-0.053545,0.739868,0.412135,-0.064822,0.511622,0.387580,-0.022476,0.660066,0.354076,-0.036266,0.738006,0.377626,-0.050152,0.775654,0.396390,-0.060838,0.481728,0.388755,-0.018096,0.641370,0.385908,-0.035454,0.717402,0.419322,-0.057171,0.755536,0.453831,-0.074128,0.457589,0.410972,-0.016482,0.614130,0.421200,-0.037255,0.682809,0.459477,-0.061945,0.713520,0.491904,-0.078177,0.435494,0.449641,-0.017322,0.567786,0.440271,-0.036212,0.636900,0.466633,-0.053906,0.672162,0.498101,-0.066403
puno,0.362612,0.635712,0.000000,0.397613,0.513619,-0.008030,0.497114,0.416754,-0.016057,0.619014,0.358128,-0.023863,0.719959,0.304453,-0.031443,0.482525,0.448113,-0.016176,0.636206,0.434296,-0.019913,0.655642,0.425110,-0.023544,0.646272,0.409243,-0.028389,0.478975,0.509762,-0.020015,0.655187,0.507933,-0.020935,0.630900,0.499493,-0.023000,0.582914,0.487269,-0.030512,0.475756,0.559561,-0.023107,0.637327,0.559602,-0.024744,0.600652,0.559785,-0.026364,0.540388,0.546751,-0.031876,0.464994,0.608216,-0.026993,0.585485,0.604793,-0.031828,0.577548,0.600655,-0.034179,0.541909,0.592134,-0.038045
puno,0.495487,0.656579,0.000000,0.459288,0.510705,-0.008704,0.472513,0.407618,-0.023954,0.490285,0.347138,-0.038788,0.473891,0.311041,-0.053477,0.608550,0.384270,-0.045882,0.649107,0.341172,-0.069948,0.576966,0.339076,-0.083097,0.509548,0.343580,-0.091826,0.626690,0.450727,-0.056210,0.643114,0.424380,-0.082562,0.550982,0.422467,-0.092449,0.475370,0.418998,-0.101517,0.617749,0.521287,-0.065112,0.626867,0.500802,-0.087261,0.538508,0.488391,-0.090811,0.464914,0.478886,-0.094452,0.587597,0.588359,-0.074848,0.584402,0.569567,-0.092431,0.523823,0.554521,-0.096480,0.468170,0.543474,-0.099971
puno,0.480265,0.572761,0.000000,0.373342,0.600424,-0.058029,0.313643,0.606131,-0.100313,0.378412,0.615132,-0.129544,0.474272,0.608431,-0.156295,0.332680,0.425097,-0.123724,0.426152,0.594877,-0.164261,0.411805,0.607290,-0.183321,0.404591,0.553138,-0.195858,0.462266,0.387801,-0.113755,0.570496,0.604170,-0.146183,0.520978,0.611506,-0.140309,0.489854,0.545518,-0.143434,0.579273,0.393791,-0.105190,0.677485,0.601923,-0.132320,0.618357,0.607743,-0.120236,0.579405,0.542513,-0.116449,0.687520,0.422801,-0.101653,0.755265,0.569536,-0.125364,0.707196,0.582062,-0.125652,0.668513,0.542069,-0.126866
puno,0.378494,0.490127,0.000000,0.474578,0.502619,-0.027447,0.562514,0.530056,-0.054591,0.653127,0.556459,-0.076227,0.723398,0.564343,-0.098893,0.413337,0.467489,-0.083463,0.504577,0.518840,-0.113485,0.583948,0.530960,-0.132107,0.634404,0.533515,-0.143712,0.365116,0.461451,-0.081215,0.456074,0.513833,-0.104033,0.528632,0.534876,-0.110989,0.585291,0.545644,-0.122137,0.333102,0.455733,-0.077204,0.417393,0.507181,-0.091117,0.476313,0.529463,-0.090930,0.531021,0.539350,-0.096699,0.317924,0.458832,-0.075484,0.380632,0.498329,-0.086382,0.430912,0.525116,-0.087446,0.480142,0.544671,-0.091492
puno,0.471410,0.622781,0.000000,0.424778,0.598356,-0.040702,0.407560,0.550210,-0.061355,0.407439,0.529335,-0.073222,0.385890,0.530549,-0.084379,0.455380,0.397170,-0.067957,0.462510,0.419338,-0.090683,0.405158,0.463656,-0.102870,0.351563,0.479722,-0.110285,0.481381,0.387826,-0.056746,0.476266,0.431577,-0.079494,0.408111,0.490891,-0.086709,0.363157,0.510515,-0.093263,0.500632,0.394200,-0.046972,0.486628,0.442536,-0.068737,0.424971,0.498921,-0.076997,0.388651,0.513971,-0.082393,0.511055,0.410702,-0.039947,0.483267,0.450095,-0.057455,0.440752,0.487927,-0.067200,0.418257,0.499350,-0.073645
puno,0.390023,0.583299,0.000000,0.488610,0.567011,-0.059788,0.591403,0.526370,-0.093623,0.640582,0.521887,-0.112552,0.617554,0.545192,-0.130020,0.471316,0.400630,-0.114111,0.552337,0.457946,-0.145862,0.567584,0.503650,-0.158563,0.547587,0.519798,-0.165516,0.403247,0.394542,-0.093730,0.502772,0.511862,-0.114832,0.543712,0.561705,-0.110790,0.552899,0.561022,-0.113644,0.355159,0.407307,-0.074757,0.464917,0.524424,-0.095544,0.508640,0.558775,-0.095003,0.524504,0.542937,-0.097575,0.322719,0.425750,-0.059996,0.410948,0.511810,-0.079039,0.460086,0.544638,-0.084380,0.485104,0.545378,-0.088390
puno,0.766271,0.654040,0.000000,0.684642,0.537258,-0.016087,0.598112,0.455357,-0.024400,0.507150,0.402410,-0.033891,0.426651,0.378021,-0.044871,0.642465,0.354663,-0.003503,0.568623,0.291135,-0.022001,0.505473,0.277487,-0.040997,0.448079,0.275782,-0.052950,0.666718,0.385465,-0.005819,0.571036,0.350458,-0.028850,0.498126,0.345903,-0.054362,0.436342,0.350062,-0.070847,0.696873,0.429392,-0.011059,0.595199,0.405697,-0.034853,0.521731,0.397881,-0.058624,0.460054,0.404430,-0.072454,0.725289,0.481075,-0.018245,0.637662,0.464102,-0.035418,0.570460,0.460656,-0.050412,0.512136,0.467698,-0.060795
puno,0.646270,0.457826,0.000000,0.699040,0.422365,-0.023662,0.688359,0.420918,-0.048915,0.623693,0.446841,-0.070749,0.563270,0.476300,-0.091622,0.642991,0.408764,-0.067856,0.483229,0.411893,-0.097658,0.452290,0.363175,-0.115602,0.425978,0.312080,-0.126153,0.589528,0.432548,-0.069623,0.412626,0.453072,-0.092961,0.426154,0.422957,-0.093172,0.438156,0.371622,-0.096209,0.541767,0.440708,-0.071135,0.385926,0.450108,-0.087865,0.409364,0.439493,-0.077150,0.434051,0.410957,-0.072189,0.499934,0.449154,-0.075253,0.387683,0.453280,-0.085978,0.410810,0.448480,-0.079620,0.443918,0.436077,-0.076593
puno,0.667612,0.444837,0.000000,0.689813,0.411433,-0.022688,0.638110,0.414350,-0.042573,0.523229,0.418665,-0.059760,0.437884,0.425358,-0.076496,0.682040,0.454692,-0.056099,0.577043,0.489728,-0.086262,0.545369,0.455468,-0.106093,0.522060,0.418814,-0.117765,0.628980,0.454776,-0.058059,0.499100,0.476701,-0.089256,0.483689,0.440975,-0.103383,0.480432,0.390063,-0.114971,0.575172,0.431637,-0.059876,0.454752,0.442467,-0.085929,0.450954,0.424010,-0.090212,0.460159,0.396194,-0.093424,0.515190,0.404872,-0.063348,0.421703,0.400505,-0.081896,0.423014,0.390141,-0.086231,0.443016,0.376063,-0.090451
puno,0.683000,0.619783,0.000000,0.635854,0.551095,-0.024899,0.552812,0.516071,-0.038921,0.456812,0.511218,-0.050000,0.392508,0.536466,-0.060202,0.628133,0.456927,-0.032709,0.514835,0.436955,-0.049889,0.474658,0.462917,-0.060986,0.449455,0.486611,-0.066844,0.636811,0.485459,-0.028471,0.526037,0.478513,-0.045540,0.485592,0.512405,-0.055752,0.459645,0.532013,-0.063286,0.639730,0.510054,-0.025837,0.529144,0.503955,-0.041164,0.497216,0.536167,-0.048948,0.480680,0.557810,-0.053635,0.632049,0.533169,-0.025633,0.531204,0.528710,-0.034448,0.499307,0.551026,-0.038895,0.482287,0.567460,-0.042673
puno,0.635145,0.665335,0.000000,0.635135,0.612480,-0.033930,0.569635,0.585174,-0.056805,0.453859,0.574930,-0.074365,0.354334,0.584145,-0.092191,0.618457,0.517675,-0.059402,0.491808,0.489240,-0.084724,0.415413,0.501719,-0.100815,0.352978,0.520354,-0.109832,0.582376,0.539247,-0.052781,0.466474,0.508235,-0.076399,0.396631,0.533880,-0.089715,0.340433,0.552995,-0.100651,0.549334,0.563745,-0.047103,0.441219,0.540619,-0.067441,0.392524,0.565520,-0.077253,0.352513,0.585952,-0.084630,0.511658,0.587989,-0.044077,0.421462,0.568015,-0.057894,0.382230,0.583895,-0.064603,0.349333,0.599240,-0.070941
puno,0.641308,0.672046,0.000000,0.631791,0.620393,-0.034624,0.562278,0.591830,-0.057049,0.452844,0.580462,-0.074500,0.355963,0.591345,-0.092094,0.611049,0.522663,-0.053623,0.483255,0.494071,-0.076836,0.410361,0.509794,-0.092073,0.351818,0.530964,-0.100688,0.582959,0.545337,-0.046600,0.465980,0.509575,-0.067991,0.401747,0.538366,-0.081532,0.351718,0.561341,-0.092556,0.556578,0.569966,-0.041001,0.448929,0.541762,-0.059857,0.400925,0.568742,-0.070542,0.362003,0.591642,-0.078479,0.523661,0.594403,-0.038266,0.432787,0.570923,-0.050744,0.392151,0.588070,-0.057619,0.358807,0.604704,-0.064187
puno,0.627512,0.507945,0.000000,0.561989,0.480221,-0.037084,0.463318,0.515299,-0.070295,0.376199,0.540013,-0.098595,0.318179,0.556694,-0.127668,0.564213,0.507824,-0.087119,0.476853,0.520600,-0.124795,0.413041,0.518721,-0.149286,0.348726,0.519471,-0.163677,0.609423,0.540204,-0.083956,0.518246,0.557987,-0.119971,0.447207,0.564283,-0.136301,0.382574,0.555691,-0.150353,0.642218,0.555306,-0.080066,0.547428,0.573066,-0.108352,0.484590,0.587351,-0.114112,0.427547,0.593466,-0.119715,0.657825,0.560804,-0.078904,0.599353,0.572923,-0.096663,0.553752,0.592684,-0.100103,0.505326,0.608687,-0.104633
puno,0.734361,0.759682,0.000000,0.592945,0.676034,0.019897,0.492891,0.603354,0.022271,0.397496,0.551315,0.016370,0.326255,0.515611,0.008020,0.600807,0.461703,0.024055,0.437084,0.414363,0.014076,0.351331,0.434281,0.002890,0.300604,0.454522,-0.004544,0.633175,0.463323,0.002797,0.450885,0.428962,-0.014422,0.357779,0.471692,-0.030640,0.312433,0.511845,-0.040560,0.659061,0.483869,-0.018301,0.480985,0.451496,-0.035664,0.393478,0.504455,-0.045082,0.357955,0.558060,-0.050201,0.674984,0.516197,-0.038672,0.520579,0.490613,-0.050752,0.437926,0.527612,-0.054923,0.399393,0.572507,-0.058015
puno,0.703934,0.586507,0.000000,0.677175,0.473924,-0.006538,0.573368,0.419856,-0.020122,0.428597,0.412030,-0.033699,0.318221,0.413894,-0.046958,0.656699,0.504094,-0.033859,0.479629,0.476417,-0.053158,0.428447,0.433387,-0.065545,0.386349,0.399613,-0.072915,0.630689,0.578873,-0.041160,0.421650,0.520868,-0.058361,0.394962,0.478211,-0.062956,0.383141,0.445289,-0.068186,0.597514,0.617939,-0.047350,0.401480,0.554422,-0.058921,0.390221,0.528286,-0.053339,0.398970,0.506621,-0.051586,0.554267,0.640604,-0.054548,0.409598,0.600554,-0.059575,0.400340,0.584987,-0.053361,0.418627,0.575743,-0.051656
puno,0.660265,0.518687,0.000000,0.708304,0.478554,0.006863,0.653712,0.494787,0.005559,0.551473,0.496816,0.004113,0.478635,0.493655,0.002729,0.654673,0.557725,-0.021317,0.496752,0.555873,-0.027274,0.464438,0.515375,-0.030300,0.454202,0.486619,-0.031445,0.605648,0.558075,-0.026873,0.426197,0.541509,-0.029558,0.417975,0.509789,-0.026307,0.440615,0.481887,-0.027763,0.548248,0.526771,-0.029016,0.388069,0.499763,-0.026187,0.388586,0.478205,-0.018528,0.423025,0.462433,-0.017991,0.487137,0.491800,-0.030657,0.360704,0.467984,-0.028429,0.370080,0.449268,-0.022416,0.419244,0.436560,-0.021116
puno,0.598680,0.528330,-0.000000,0.616043,0.451615,-0.002074,0.546456,0.391269,-0.014414,0.434617,0.366676,-0.025997,0.346757,0.367653,-0.037830,0.626466,0.294410,-0.044004,0.440814,0.329059,-0.060988,0.373304,0.370551,-0.067276,0.350036,0.406939,-0.070206,0.576224,0.295259,-0.051286,0.374817,0.370512,-0.073769,0.331876,0.441712,-0.073696,0.334089,0.482454,-0.073032,0.509704,0.303814,-0.055093,0.328724,0.369646,-0.067537,0.319628,0.428539,-0.059636,0.345851,0.457521,-0.055652,0.436394,0.321016,-0.059360,0.283951,0.359470,-0.064498,0.269721,0.405200,-0.059613,0.291149,0.432141,-0.056950
puno,0.571802,0.509000,-0.000000,0.472287,0.479784,-0.054601,0.366014,0.452741,-0.098744,0.306635,0.446712,-0.134933,0.296797,0.441873,-0.171257,0.493329,0.379838,-0.113562,0.437389,0.400745,-0.162911,0.431402,0.409308,-0.189843,0.454904,0.401635,-0.204638,0.583090,0.380005,-0.105759,0.595245,0.395816,-0.154394,0.650696,0.392813,-0.171504,0.725948,0.364623,-0.183942,0.655390,0.388800,-0.099377,0.694253,0.387432,-0.136568,0.750034,0.374312,-0.142606,0.818062,0.341548,-0.146789,0.709811,0.400517,-0.097329,0.763162,0.394413,-0.121486,0.820378,0.385392,-0.127565,0.889643,0.360689,-0.132707
puno,0.610130,0.536671,0.000000,0.595360,0.453835,-0.039037,0.563438,0.416185,-0.086539,0.540826,0.409482,-0.127005,0.508702,0.397173,-0.168045,0.596284,0.448256,-0.138017,0.474868,0.446851,-0.198757,0.411662,0.444727,-0.232410,0.357035,0.436284,-0.251235,0.598801,0.493507,-0.139968,0.462803,0.483155,-0.201208,0.386470,0.480680,-0.220414,0.333144,0.466288,-0.235129,0.591884,0.525642,-0.139350,0.469975,0.508568,-0.184009,0.395801,0.502689,-0.183810,0.344110,0.495490,-0.184867,0.572180,0.547453,-0.140963,0.487955,0.520814,-0.169577,0.440768,0.509701,-0.171178,0.407907,0.506733,-0.174118
puno,0.566621,0.482072,-0.000000,0.465802,0.453092,-0.036968,0.366496,0.453498,-0.075533,0.314269,0.462221,-0.109018,0.281482,0.479667,-0.142428,0.493595,0.467762,-0.106654,0.434614,0.452666,-0.151369,0.402140,0.451557,-0.173762,0.372179,0.453928,-0.185062,0.580711,0.481046,-0.105539,0.511508,0.465737,-0.147641,0.474482,0.473729,-0.156929,0.448916,0.468472,-0.164470,0.648595,0.480251,-0.103440,0.602390,0.462829,-0.134005,0.572778,0.483832,-0.129170,0.549852,0.490324,-0.126516,0.700066,0.472112,-0.104323,0.711834,0.445927,-0.123116,0.729874,0.443880,-0.121443,0.743156,0.438991,-0.121182
puno,0.310488,0.714917,0.000000,0.403313,0.646073,0.008155,0.461843,0.580072,0.008792,0.515982,0.529172,0.003124,0.557866,0.500342,-0.004618,0.429636,0.469416,0.016266,0.512837,0.394395,0.006297,0.573613,0.399779,-0.004698,0.611640,0.425012,-0.012759,0.407997,0.466664,0.001655,0.504708,0.401134,-0.015317,0.576017,0.428651,-0.035542,0.616007,0.476833,-0.048861,0.391160,0.474179,-0.014118,0.496923,0.419844,-0.033103,0.563674,0.463968,-0.053678,0.593649,0.515692,-0.066028,0.373304,0.490905,-0.029558,0.461226,0.457200,-0.045368,0.517245,0.489478,-0.058706,0.544794,0.532510,-0.068033
puno,0.428475,0.656829,0.000000,0.412666,0.546097,0.001239,0.447656,0.468333,-0.011508,0.524178,0.445954,-0.024975,0.592705,0.446652,-0.037612,0.466644,0.438744,-0.042241,0.544943,0.379374,-0.055617,0.556906,0.380488,-0.060895,0.551637,0.392438,-0.065341,0.490257,0.499002,-0.053300,0.585807,0.475165,-0.060369,0.582713,0.478489,-0.056289,0.570407,0.493572,-0.059405,0.506336,0.561736,-0.061914,0.584310,0.543299,-0.064638,0.576328,0.545534,-0.056496,0.567394,0.550087,-0.056523,0.513814,0.619228,-0.071064,0.557576,0.616500,-0.074830,0.558204,0.612524,-0.070592,0.557312,0.610996,-0.070503
puno,0.446343,0.562478,0.000000,0.408306,0.547980,-0.038910,0.385442,0.555486,-0.068928,0.372138,0.581938,-0.093536,0.354818,0.606797,-0.118891,0.472529,0.478125,-0.083194,0.555799,0.479250,-0.116281,0.570684,0.461995,-0.138791,0.574833,0.445338,-0.154055,0.515115,0.495602,-0.080764,0.603384,0.527138,-0.113195,0.603751,0.518509,-0.128720,0.599983,0.504662,-0.143680,0.543176,0.515653,-0.078661,0.617624,0.542762,-0.107611,0.610713,0.534838,-0.118591,0.597795,0.522262,-0.127879,0.555343,0.534572,-0.079514,0.603114,0.549925,-0.102845,0.591094,0.543587,-0.113679,0.571012,0.535390,-0.123147
puno,0.476749,0.670599,-0.000000,0.372981,0.637486,-0.061847,0.300846,0.589702,-0.103323,0.314644,0.614973,-0.132337,0.359594,0.640086,-0.158093,0.418922,0.399336,-0.118212,0.352714,0.528967,-0.162440,0.345126,0.588842,-0.184009,0.371494,0.547498,-0.197144,0.559854,0.423270,-0.107446,0.466805,0.590948,-0.145156,0.443645,0.642599,-0.140571,0.469019,0.577471,-0.140931,0.658467,0.484745,-0.100465,0.573055,0.635666,-0.132678,0.533454,0.677686,-0.120536,0.549253,0.618356,-0.113639,0.732488,0.553309,-0.099136,0.674703,0.670062,-0.124647,0.631236,0.700452,-0.123232,0.634395,0.661136,-0.121702
