gesto,x0,y0,z0,x1,y1,z1,x2,y2,z2,x3,y3,z3,x4,y4,z4,x5,y5,z5,x6,y6,z6,x7,y7,z7,x8,y8,z8,x9,y9,z9,x10,y10,z10,x11,y11,z11,x12,y12,z12,x13,y13,z13,x14,y14,z14,x15,y15,z15,x16,y16,z16,x17,y17,z17,x18,y18,z18,x19,y19,z19,x20,y20,z20
saludo_alien,0.667155,0.855997,-0.000000,0.576213,0.808333,-0.017745,0.523143,0.705857,-0.030881,0.487733,0.614936,-0.044758,0.432569,0.544908,-0.059743,0.553655,0.538897,-0.015993,0.540762,0.410232,-0.032663,0.533493,0.338762,-0.044162,0.525741,0.278979,-0.053052,0.609458,0.529395,-0.023264,0.592381,0.385440,-0.039330,0.575246,0.308952,-0.052582,0.560961,0.238809,-0.063655,0.667238,0.552866,-0.033771,0.695953,0.408914,-0.052716,0.711963,0.323254,-0.068152,0.726965,0.243201,-0.079375,0.722718,0.602500,-0.046924,0.736901,0.491069,-0.064486,0.743590,0.429130,-0.076715,0.751564,0.371682,-0.086389
saludo_alien,0.662516,0.870641,0.000000,0.565311,0.839873,-0.021956,0.491178,0.767506,-0.036891,0.442338,0.691829,-0.052280,0.386522,0.628233,-0.068873,0.499077,0.591672,-0.011936,0.446775,0.482462,-0.028582,0.422718,0.422916,-0.042263,0.402778,0.368250,-0.052451,0.553258,0.567725,-0.016269,0.494735,0.438511,-0.032568,0.457307,0.371409,-0.049414,0.425716,0.305182,-0.062596,0.612839,0.574018,-0.024541,0.607384,0.433567,-0.043868,0.609317,0.355122,-0.063665,0.608995,0.276282,-0.077536,0.670572,0.607022,-0.035540,0.667503,0.497718,-0.052493,0.664319,0.442871,-0.066371,0.659358,0.389882,-0.077547
saludo_alien,0.672311,0.876242,0.000000,0.575542,0.843994,-0.016922,0.501465,0.766934,-0.029924,0.454760,0.690774,-0.044040,0.404950,0.628208,-0.059445,0.511407,0.595703,-0.009555,0.455458,0.490580,-0.025528,0.428503,0.432773,-0.038121,0.406048,0.378852,-0.047405,0.565385,0.571812,-0.015905,0.503793,0.443682,-0.031549,0.464018,0.374972,-0.046577,0.431770,0.307274,-0.058544,0.626632,0.579018,-0.025670,0.624986,0.435946,-0.044038,0.627288,0.354735,-0.061189,0.627058,0.274766,-0.073392,0.687296,0.611942,-0.037806,0.685028,0.499126,-0.053786,0.681431,0.440719,-0.065671,0.676453,0.386044,-0.075461
saludo_alien,0.691770,0.863902,-0.000000,0.591058,0.823354,-0.017396,0.520502,0.732877,-0.029697,0.474342,0.650270,-0.042782,0.416407,0.591418,-0.057016,0.535244,0.576282,-0.010393,0.490449,0.467286,-0.025985,0.470533,0.405339,-0.038200,0.455017,0.347492,-0.047314,0.594110,0.553304,-0.016292,0.539018,0.425430,-0.031050,0.503801,0.353695,-0.045799,0.477936,0.282980,-0.057943,0.660051,0.563362,-0.025648,0.666517,0.423092,-0.043721,0.671995,0.339850,-0.061366,0.676986,0.261591,-0.073933,0.723970,0.598854,-0.037383,0.726413,0.487290,-0.053374,0.728741,0.426316,-0.066029,0.731052,0.370328,-0.076357
saludo_alien,0.706132,0.850970,-0.000000,0.617499,0.807695,-0.021563,0.557367,0.709981,-0.035676,0.517566,0.621019,-0.050102,0.462068,0.553991,-0.065568,0.577113,0.550265,-0.013796,0.550138,0.430548,-0.030525,0.538422,0.361852,-0.042935,0.528089,0.302321,-0.052117,0.635097,0.532708,-0.018541,0.594581,0.398472,-0.034378,0.564009,0.326834,-0.048739,0.539732,0.256537,-0.060225,0.696087,0.546215,-0.027268,0.716199,0.405152,-0.046091,0.730041,0.324994,-0.063010,0.740817,0.248319,-0.074910,0.754916,0.584130,-0.038990,0.768925,0.473641,-0.055467,0.780989,0.415516,-0.067944,0.789886,0.361098,-0.077890
saludo_alien,0.717998,0.845713,-0.000000,0.629349,0.802732,-0.024014,0.570665,0.703693,-0.038404,0.531838,0.612101,-0.052700,0.478953,0.539606,-0.067848,0.593959,0.538824,-0.014214,0.568241,0.417990,-0.030758,0.554484,0.349017,-0.042407,0.542345,0.289780,-0.051049,0.653821,0.520283,-0.017864,0.617009,0.385843,-0.033448,0.590740,0.312709,-0.046988,0.570190,0.241573,-0.057776,0.714938,0.535149,-0.025986,0.741140,0.396728,-0.045102,0.760882,0.320933,-0.061696,0.775586,0.245418,-0.073093,0.771846,0.575364,-0.037375,0.787389,0.466906,-0.054301,0.798235,0.409690,-0.067062,0.805031,0.353371,-0.076935
saludo_alien,0.722409,0.840665,-0.000000,0.636000,0.794729,-0.019264,0.576847,0.694186,-0.031716,0.537436,0.601418,-0.044534,0.482741,0.526728,-0.058136,0.608876,0.537046,-0.013176,0.585354,0.412177,-0.028451,0.571406,0.342779,-0.038376,0.558032,0.283552,-0.045761,0.668262,0.518242,-0.018061,0.633541,0.378024,-0.033079,0.608251,0.302865,-0.044902,0.587883,0.231138,-0.054343,0.729192,0.532722,-0.026685,0.758937,0.392806,-0.044983,0.781574,0.315675,-0.059885,0.798414,0.239731,-0.069915,0.785912,0.573425,-0.038007,0.803481,0.462259,-0.054184,0.814685,0.402368,-0.066051,0.821662,0.344345,-0.075122
saludo_alien,0.689745,0.844543,-0.000000,0.600945,0.794770,-0.016660,0.544005,0.705247,-0.028225,0.508139,0.623101,-0.040691,0.460918,0.556372,-0.053884,0.572839,0.553090,-0.007992,0.549655,0.436068,-0.020992,0.541871,0.372371,-0.030654,0.533437,0.316345,-0.038043,0.626893,0.541479,-0.013315,0.594500,0.413106,-0.026390,0.571972,0.347944,-0.038212,0.554111,0.283856,-0.047588,0.683793,0.557799,-0.021971,0.701878,0.425655,-0.038068,0.715428,0.352444,-0.052552,0.726871,0.281417,-0.062488,0.737420,0.597629,-0.033171,0.748246,0.497234,-0.047126,0.752719,0.445347,-0.057690,0.756185,0.394450,-0.065989
saludo_alien,0.693050,0.842038,-0.000000,0.607477,0.792568,-0.017177,0.550781,0.707018,-0.029131,0.512834,0.628438,-0.042028,0.467766,0.563655,-0.055615,0.578482,0.556837,-0.007928,0.555888,0.441250,-0.020507,0.547906,0.381303,-0.029855,0.539606,0.328453,-0.036846,0.629998,0.546633,-0.012507,0.597928,0.422930,-0.024652,0.575798,0.364137,-0.035795,0.558132,0.305203,-0.044593,0.684704,0.562019,-0.020486,0.698857,0.436107,-0.035384,0.711210,0.368701,-0.049257,0.720756,0.302550,-0.058763,0.735779,0.598727,-0.031119,0.740968,0.502811,-0.043675,0.743423,0.454921,-0.053565,0.744779,0.406461,-0.061430
saludo_alien,0.702846,0.836843,-0.000000,0.618308,0.785653,-0.019659,0.561651,0.695609,-0.031980,0.521781,0.613584,-0.044740,0.473444,0.545956,-0.058259,0.591057,0.546124,-0.009258,0.572484,0.432004,-0.022331,0.563765,0.368271,-0.032096,0.554935,0.311725,-0.039371,0.643599,0.534922,-0.012810,0.611351,0.411326,-0.025759,0.586757,0.350984,-0.037412,0.568043,0.291140,-0.046312,0.698395,0.550160,-0.020028,0.717567,0.422928,-0.035951,0.733307,0.354438,-0.050708,0.746193,0.287151,-0.060585,0.748434,0.587837,-0.030097,0.759068,0.493316,-0.043559,0.764546,0.445198,-0.054284,0.768490,0.396726,-0.062579
