gesto,x0,y0,z0,x1,y1,z1,x2,y2,z2,x3,y3,z3,x4,y4,z4,x5,y5,z5,x6,y6,z6,x7,y7,z7,x8,y8,z8,x9,y9,z9,x10,y10,z10,x11,y11,z11,x12,y12,z12,x13,y13,z13,x14,y14,z14,x15,y15,z15,x16,y16,z16,x17,y17,z17,x18,y18,z18,x19,y19,z19,x20,y20,z20
metal,0.362265,0.795033,0.000000,0.415137,0.743000,-0.006856,0.448875,0.672552,-0.017855,0.447907,0.608810,-0.033371,0.428858,0.550504,-0.048259,0.439534,0.558437,0.000419,0.451658,0.437670,-0.014130,0.451769,0.374052,-0.027808,0.449654,0.324973,-0.037320,0.395912,0.556534,-0.008403,0.398805,0.516436,-0.031955,0.385914,0.592861,-0.044370,0.380643,0.643235,-0.047363,0.353763,0.564249,-0.018664,0.358591,0.523822,-0.036104,0.355049,0.592813,-0.039221,0.358616,0.641385,-0.037294,0.316633,0.575966,-0.031328,0.294142,0.488060,-0.040285,0.282610,0.438323,-0.043592,0.283601,0.390870,-0.044955
metal,0.404074,0.788179,0.000000,0.464752,0.741276,0.003706,0.512904,0.674246,-0.002852,0.524737,0.612547,-0.016154,0.516772,0.550932,-0.028803,0.499664,0.543518,0.014171,0.523994,0.432453,0.003878,0.540642,0.371521,-0.008559,0.557653,0.324001,-0.017568,0.461028,0.536250,0.000905,0.479500,0.513460,-0.016347,0.464540,0.590020,-0.028031,0.455645,0.639883,-0.031946,0.419114,0.540319,-0.013202,0.442143,0.517441,-0.024960,0.429531,0.596537,-0.027124,0.421591,0.649521,-0.026088,0.375051,0.547463,-0.029059,0.366314,0.459871,-0.035459,0.365824,0.411049,-0.038069,0.373361,0.364565,-0.039707
metal,0.408804,0.786688,0.000000,0.468262,0.743715,0.002790,0.515867,0.677852,-0.003776,0.527438,0.617112,-0.016960,0.531786,0.560362,-0.029626,0.513662,0.547246,0.012821,0.542683,0.441803,0.002403,0.559004,0.381589,-0.010438,0.575327,0.332387,-0.019678,0.471531,0.536265,0.000261,0.487552,0.520140,-0.016388,0.468799,0.593921,-0.028190,0.457227,0.644376,-0.032635,0.427814,0.537918,-0.013168,0.448206,0.521470,-0.024605,0.434317,0.600305,-0.027081,0.425214,0.653426,-0.026492,0.381722,0.542119,-0.028421,0.374332,0.455866,-0.034713,0.375533,0.408084,-0.037473,0.383836,0.363728,-0.039370
metal,0.401178,0.802118,0.000000,0.454602,0.744853,-0.000431,0.490186,0.674711,-0.011161,0.495288,0.616478,-0.028503,0.483794,0.560850,-0.045570,0.464200,0.539016,0.004211,0.468299,0.412004,-0.011332,0.473657,0.344129,-0.027108,0.483408,0.290543,-0.038563,0.421841,0.544671,-0.009787,0.439895,0.509768,-0.034208,0.441093,0.592978,-0.048087,0.443411,0.647253,-0.052619,0.382253,0.560468,-0.024881,0.399811,0.525802,-0.042471,0.404186,0.604169,-0.045499,0.410792,0.658340,-0.044384,0.342337,0.579840,-0.042182,0.313855,0.488791,-0.052389,0.298991,0.438190,-0.056285,0.296973,0.388171,-0.058583
metal,0.392471,0.805226,0.000000,0.444452,0.745123,-0.006137,0.470598,0.673446,-0.020165,0.463518,0.612853,-0.039856,0.443602,0.557538,-0.059132,0.444709,0.541611,-0.001635,0.439514,0.413843,-0.018388,0.434025,0.344268,-0.035205,0.433354,0.289426,-0.047501,0.395995,0.551676,-0.013532,0.407418,0.511240,-0.039609,0.411229,0.593050,-0.054851,0.414255,0.647295,-0.060030,0.350945,0.571555,-0.026784,0.362288,0.531850,-0.044970,0.372052,0.604893,-0.049277,0.382055,0.656950,-0.049020,0.307525,0.594839,-0.042572,0.270687,0.502972,-0.051892,0.255286,0.451761,-0.055704,0.254036,0.402461,-0.058214
metal,0.375281,0.799550,0.000000,0.431003,0.742422,-0.009667,0.461136,0.671895,-0.025245,0.451730,0.614355,-0.045673,0.428609,0.557863,-0.066045,0.425525,0.535806,-0.007600,0.410582,0.409148,-0.026217,0.399179,0.340323,-0.044043,0.393453,0.285745,-0.056796,0.374336,0.546209,-0.017772,0.382354,0.510386,-0.045161,0.396521,0.588085,-0.060262,0.408375,0.639538,-0.065272,0.329671,0.566856,-0.029471,0.334705,0.529298,-0.048853,0.353763,0.595164,-0.052587,0.374591,0.642083,-0.051960,0.290746,0.591186,-0.043975,0.256612,0.506501,-0.054276,0.239686,0.457204,-0.057690,0.239293,0.407232,-0.059679
metal,0.364436,0.795274,0.000000,0.416479,0.737787,-0.010708,0.447672,0.667870,-0.026041,0.437751,0.609362,-0.045833,0.413176,0.551419,-0.065387,0.413152,0.533911,-0.006590,0.401814,0.410089,-0.025109,0.391401,0.344328,-0.042252,0.385560,0.290679,-0.054142,0.361628,0.543868,-0.015595,0.360004,0.508343,-0.043776,0.366000,0.589951,-0.058236,0.375582,0.641764,-0.061921,0.316434,0.564131,-0.026316,0.313754,0.522321,-0.047010,0.326569,0.592665,-0.050196,0.345384,0.640403,-0.048100,0.277603,0.588368,-0.039843,0.243475,0.504868,-0.050165,0.224714,0.459892,-0.052825,0.223233,0.412235,-0.053702
metal,0.356548,0.790919,0.000000,0.410302,0.741733,-0.010348,0.445545,0.675593,-0.025631,0.443581,0.618446,-0.045448,0.434480,0.561581,-0.065083,0.430266,0.542452,-0.007354,0.431837,0.422928,-0.025198,0.427768,0.357866,-0.042550,0.428544,0.303952,-0.054865,0.381268,0.543980,-0.016374,0.392377,0.518142,-0.042791,0.389259,0.598566,-0.057893,0.389375,0.651810,-0.063041,0.336334,0.557997,-0.026897,0.346342,0.527547,-0.045959,0.351701,0.599217,-0.050590,0.361256,0.649477,-0.050451,0.293901,0.575655,-0.040122,0.266713,0.490646,-0.050789,0.254049,0.442382,-0.055109,0.257241,0.394490,-0.057653
metal,0.351143,0.788323,0.000000,0.406210,0.743141,-0.009271,0.443017,0.679981,-0.022867,0.445461,0.623730,-0.040970,0.436375,0.567417,-0.058849,0.434415,0.548568,-0.004812,0.441602,0.429056,-0.021085,0.440314,0.363867,-0.037368,0.441341,0.309363,-0.048999,0.387329,0.545657,-0.013443,0.398249,0.519739,-0.037827,0.392636,0.600445,-0.051982,0.390366,0.653523,-0.056755,0.343872,0.555163,-0.023488,0.353193,0.527693,-0.041133,0.355886,0.601568,-0.045565,0.362293,0.652385,-0.045370,0.303305,0.568983,-0.036126,0.278486,0.485348,-0.045904,0.266906,0.437073,-0.050214,0.268701,0.389633,-0.052771
metal,0.357487,0.793984,0.000000,0.410361,0.743063,-0.006968,0.451582,0.683623,-0.020534,0.465165,0.630565,-0.038764,0.460815,0.575250,-0.056597,0.443463,0.557433,-0.006333,0.455308,0.433503,-0.022592,0.458630,0.367954,-0.037530,0.461915,0.314525,-0.048097,0.401786,0.557577,-0.016203,0.415314,0.523621,-0.040155,0.406965,0.605635,-0.051682,0.404459,0.659555,-0.054734,0.361237,0.568498,-0.027257,0.375403,0.532743,-0.044501,0.374412,0.606701,-0.046553,0.380198,0.658647,-0.044772,0.322609,0.583977,-0.040733,0.301846,0.494149,-0.050624,0.288383,0.441241,-0.054161,0.289490,0.391191,-0.056074
