gesto,x0,y0,z0,x1,y1,z1,x2,y2,z2,x3,y3,z3,x4,y4,z4,x5,y5,z5,x6,y6,z6,x7,y7,z7,x8,y8,z8,x9,y9,z9,x10,y10,z10,x11,y11,z11,x12,y12,z12,x13,y13,z13,x14,y14,z14,x15,y15,z15,x16,y16,z16,x17,y17,z17,x18,y18,z18,x19,y19,z19,x20,y20,z20
dedos_juntos,0.503111,0.792002,0.000000,0.527357,0.683890,0.019211,0.570825,0.597780,0.022852,0.580932,0.512090,0.024783,0.566279,0.454294,0.028066,0.676397,0.597934,-0.010961,0.665291,0.446515,-0.008024,0.623294,0.387982,0.005106,0.581954,0.355913,0.014621,0.659916,0.596579,-0.021911,0.668942,0.413601,-0.022643,0.630927,0.346404,-0.008857,0.597949,0.314910,0.001768,0.622279,0.592823,-0.028892,0.641610,0.416483,-0.029884,0.610998,0.351085,-0.016972,0.586608,0.316294,-0.006752,0.560236,0.590679,-0.033806,0.578325,0.449243,-0.033099,0.566453,0.391947,-0.024769,0.555174,0.358195,-0.017832
dedos_juntos,0.500011,0.794757,0.000000,0.534891,0.688988,0.013708,0.581296,0.608792,0.013141,0.584974,0.525405,0.011879,0.558124,0.465513,0.012062,0.683196,0.610514,-0.021944,0.664697,0.454660,-0.023455,0.618294,0.397538,-0.013040,0.573375,0.364411,-0.005127,0.661358,0.607511,-0.031373,0.666847,0.423724,-0.036384,0.624339,0.358996,-0.024884,0.588979,0.329148,-0.015773,0.618207,0.603138,-0.036857,0.635845,0.426650,-0.041382,0.601693,0.362685,-0.030469,0.577478,0.327848,-0.021514,0.551964,0.598865,-0.040506,0.567650,0.460854,-0.041766,0.553622,0.404652,-0.034692,0.542265,0.369991,-0.028856
dedos_juntos,0.501675,0.788354,0.000000,0.512362,0.676116,0.011746,0.552754,0.595988,0.010542,0.564784,0.514660,0.008776,0.549297,0.455136,0.008458,0.669276,0.598871,-0.021120,0.655098,0.443546,-0.022194,0.612072,0.383708,-0.012118,0.569073,0.350700,-0.004604,0.660143,0.603752,-0.029792,0.661625,0.420191,-0.034506,0.619805,0.355524,-0.023781,0.583925,0.326045,-0.015287,0.627423,0.604271,-0.034862,0.639415,0.428264,-0.039413,0.602822,0.362373,-0.029628,0.575723,0.327366,-0.021486,0.567473,0.603348,-0.038324,0.578778,0.462895,-0.040135,0.560146,0.405549,-0.034045,0.545498,0.372505,-0.028953
dedos_juntos,0.505409,0.776584,0.000000,0.540494,0.670138,0.018517,0.584347,0.589492,0.020327,0.582698,0.508518,0.020136,0.559530,0.455138,0.021100,0.679625,0.589303,-0.014261,0.664497,0.436128,-0.014335,0.619594,0.377394,-0.003053,0.574738,0.345010,0.005338,0.652709,0.589813,-0.026828,0.656443,0.406905,-0.030515,0.617762,0.344323,-0.018056,0.583524,0.316953,-0.008080,0.607016,0.588248,-0.035650,0.621641,0.412134,-0.040164,0.592024,0.348052,-0.028654,0.568944,0.315436,-0.018984,0.538806,0.587987,-0.042386,0.555817,0.445077,-0.045131,0.548430,0.386873,-0.038151,0.542651,0.354619,-0.031875
dedos_juntos,0.499963,0.772167,0.000000,0.502032,0.667606,0.008116,0.526456,0.574592,0.002688,0.529858,0.490080,-0.002381,0.524384,0.428248,-0.006226,0.623065,0.582295,-0.035417,0.607234,0.413108,-0.042418,0.575565,0.345865,-0.035390,0.539122,0.304240,-0.029506,0.610209,0.590472,-0.042963,0.600790,0.399087,-0.053130,0.571420,0.326992,-0.043703,0.545534,0.287415,-0.035895,0.578840,0.592341,-0.046484,0.578043,0.410483,-0.054390,0.549987,0.341602,-0.044029,0.530008,0.303825,-0.035229,0.528022,0.589990,-0.048531,0.533253,0.449782,-0.052440,0.522859,0.386448,-0.046347,0.516479,0.344626,-0.041157
dedos_juntos,0.500530,0.791925,0.000000,0.575194,0.693993,0.009005,0.599233,0.601095,0.003746,0.553912,0.521038,-0.002066,0.495540,0.467921,-0.006950,0.658251,0.599068,-0.031461,0.606417,0.425362,-0.040461,0.559965,0.367565,-0.036168,0.518818,0.328296,-0.032849,0.590229,0.613716,-0.042345,0.561201,0.418024,-0.054971,0.531278,0.341621,-0.050614,0.510305,0.300631,-0.046866,0.516275,0.623692,-0.049670,0.504217,0.430601,-0.061434,0.488036,0.356231,-0.057466,0.480611,0.310059,-0.053278,0.437234,0.627537,-0.055247,0.453721,0.486411,-0.062599,0.461909,0.427266,-0.059969,0.468157,0.384931,-0.057956
dedos_juntos,0.500215,0.780471,0.000000,0.576205,0.691072,0.003861,0.600295,0.596939,-0.003638,0.556324,0.516364,-0.010570,0.499799,0.460151,-0.016407,0.657662,0.587534,-0.036032,0.602742,0.417399,-0.045078,0.557440,0.358170,-0.041233,0.517314,0.316979,-0.038243,0.583659,0.601191,-0.043675,0.552029,0.409068,-0.055543,0.522046,0.333412,-0.051161,0.500517,0.293612,-0.047598,0.507510,0.610181,-0.047913,0.494758,0.422397,-0.058407,0.479501,0.353157,-0.054230,0.469491,0.309991,-0.050170,0.432043,0.614826,-0.050848,0.449894,0.479968,-0.056617,0.460410,0.427831,-0.053402,0.464193,0.390666,-0.051138
dedos_juntos,0.496102,0.781254,0.000000,0.571746,0.690306,0.004355,0.595724,0.596291,-0.003395,0.552227,0.516616,-0.010530,0.493866,0.461829,-0.016560,0.647844,0.585339,-0.037325,0.596567,0.415932,-0.046313,0.553231,0.355118,-0.042354,0.514762,0.312873,-0.039199,0.573500,0.599136,-0.044956,0.542939,0.409300,-0.056841,0.513003,0.333434,-0.051877,0.491774,0.293946,-0.047775,0.498492,0.608866,-0.048865,0.483495,0.424208,-0.058829,0.469376,0.355368,-0.053684,0.460403,0.313281,-0.048930,0.427437,0.615135,-0.051430,0.445690,0.481572,-0.055973,0.457508,0.432989,-0.051515,0.461809,0.400331,-0.048396
dedos_juntos,0.495712,0.777311,0.000000,0.565526,0.682907,0.006442,0.585640,0.587221,0.000019,0.540798,0.508892,-0.006618,0.485025,0.452961,-0.012516,0.641312,0.572682,-0.032479,0.584403,0.405427,-0.041576,0.538462,0.341943,-0.038519,0.496972,0.297967,-0.036073,0.570722,0.590008,-0.041874,0.532789,0.399522,-0.053474,0.499888,0.323605,-0.049305,0.476859,0.283236,-0.045910,0.497209,0.603635,-0.047898,0.477635,0.417824,-0.057830,0.459216,0.349021,-0.053381,0.448238,0.305735,-0.049323,0.423407,0.613894,-0.052610,0.432980,0.480011,-0.058241,0.439568,0.423562,-0.055100,0.441801,0.381902,-0.052950
dedos_juntos,0.469441,0.772314,0.000000,0.540064,0.672747,0.002449,0.550594,0.561634,-0.007783,0.502591,0.483094,-0.016270,0.442953,0.427537,-0.023879,0.578565,0.553325,-0.048593,0.514263,0.391086,-0.060477,0.475256,0.325644,-0.057859,0.445295,0.280447,-0.054652,0.506577,0.582926,-0.053667,0.447629,0.402848,-0.065422,0.419151,0.332341,-0.057073,0.405123,0.294015,-0.050715,0.438070,0.605691,-0.054715,0.395712,0.427931,-0.061733,0.381424,0.365219,-0.051242,0.377347,0.327352,-0.043617,0.379223,0.621460,-0.054713,0.372958,0.495670,-0.054854,0.378541,0.451023,-0.046210,0.385117,0.422297,-0.040753
dedos_juntos,0.471826,0.778143,0.000000,0.533753,0.673007,0.006742,0.535921,0.567450,-0.000212,0.487775,0.494949,-0.006642,0.431444,0.449389,-0.012208,0.570419,0.542033,-0.036463,0.494787,0.394299,-0.045364,0.452368,0.330073,-0.042116,0.419566,0.285015,-0.038660,0.499752,0.571444,-0.043131,0.430118,0.399975,-0.051992,0.404346,0.331758,-0.043198,0.394832,0.291543,-0.036494,0.435247,0.597385,-0.046139,0.382346,0.426597,-0.050958,0.372472,0.370553,-0.039837,0.373806,0.335562,-0.031668,0.382099,0.620928,-0.048065,0.371217,0.499615,-0.046329,0.380878,0.462775,-0.036808,0.392849,0.440207,-0.030562
dedos_juntos,0.467134,0.771729,0.000000,0.527624,0.668518,0.001909,0.532534,0.565052,-0.007612,0.483834,0.491658,-0.015757,0.428938,0.446138,-0.023052,0.565043,0.545931,-0.042907,0.486543,0.398873,-0.053861,0.443345,0.333979,-0.051507,0.410584,0.287420,-0.048470,0.490437,0.577643,-0.048000,0.420701,0.405536,-0.058945,0.395742,0.337626,-0.050706,0.386512,0.299027,-0.044254,0.423450,0.603294,-0.049718,0.371625,0.431178,-0.057174,0.357125,0.371347,-0.046708,0.353201,0.335321,-0.038600,0.367979,0.623296,-0.050676,0.357272,0.495122,-0.052126,0.364310,0.448861,-0.044178,0.372393,0.418753,-0.038720
dedos_juntos,0.455771,0.717812,0.000000,0.516560,0.596397,0.024229,0.506886,0.496101,0.032305,0.460665,0.431630,0.039775,0.402732,0.397880,0.049284,0.511289,0.446396,-0.004617,0.433473,0.323447,0.003306,0.395380,0.282153,0.019994,0.377059,0.269425,0.033116,0.436633,0.474145,-0.011351,0.357738,0.333863,-0.002267,0.342425,0.300558,0.020896,0.347461,0.292795,0.038120,0.378856,0.507491,-0.014005,0.316507,0.376340,-0.003259,0.315335,0.354100,0.018539,0.325003,0.344745,0.033938,0.338076,0.545383,-0.014581,0.323454,0.461681,-0.000892,0.342538,0.452124,0.015678,0.363619,0.453452,0.027993
dedos_juntos,0.469539,0.703873,0.000000,0.523200,0.577761,0.021550,0.514614,0.475069,0.027329,0.455092,0.415394,0.032451,0.384855,0.392682,0.040154,0.526355,0.421756,-0.009447,0.435145,0.304293,0.001654,0.418414,0.315040,0.021990,0.418840,0.335835,0.035941,0.454485,0.455988,-0.017735,0.372570,0.326527,-0.005880,0.375204,0.338683,0.020132,0.389828,0.359608,0.038038,0.397750,0.493124,-0.021920,0.337148,0.365352,-0.008109,0.346442,0.377700,0.014613,0.363861,0.391909,0.028743,0.355586,0.532405,-0.024260,0.346957,0.447072,-0.009117,0.367762,0.460084,0.007795,0.386177,0.479966,0.019217
dedos_juntos,0.447511,0.743762,0.000000,0.459845,0.663604,-0.002799,0.461451,0.614979,-0.019049,0.438882,0.579301,-0.030555,0.408622,0.558843,-0.044193,0.488986,0.594109,-0.090801,0.458157,0.505240,-0.119534,0.427726,0.436186,-0.131450,0.394045,0.382616,-0.138711,0.502038,0.610955,-0.096594,0.475202,0.520442,-0.129854,0.437903,0.451519,-0.134896,0.407072,0.392219,-0.139752,0.504411,0.630394,-0.095399,0.485773,0.546187,-0.121699,0.451421,0.478329,-0.123052,0.425386,0.422257,-0.124260,0.500462,0.646985,-0.091813,0.498790,0.596747,-0.110889,0.471927,0.550601,-0.114338,0.446718,0.509915,-0.117728
dedos_juntos,0.458035,0.793656,0.000000,0.518351,0.681307,0.013457,0.540052,0.591112,0.006355,0.519386,0.522432,-0.000910,0.477674,0.478618,-0.010359,0.559698,0.568409,-0.057363,0.533584,0.448676,-0.080417,0.503730,0.384265,-0.089181,0.474724,0.338027,-0.095103,0.522245,0.588873,-0.072915,0.506706,0.470366,-0.102334,0.479183,0.400899,-0.108982,0.457653,0.342605,-0.114157,0.477083,0.620441,-0.082176,0.470222,0.516509,-0.106496,0.451988,0.452338,-0.109226,0.440794,0.397452,-0.110831,0.427094,0.653348,-0.088563,0.430097,0.592958,-0.105684,0.424669,0.553478,-0.108330,0.420004,0.516377,-0.110893
