gesto,x0,y0,z0,x1,y1,z1,x2,y2,z2,x3,y3,z3,x4,y4,z4,x5,y5,z5,x6,y6,z6,x7,y7,z7,x8,y8,z8,x9,y9,z9,x10,y10,z10,x11,y11,z11,x12,y12,z12,x13,y13,z13,x14,y14,z14,x15,y15,z15,x16,y16,z16,x17,y17,z17,x18,y18,z18,x19,y19,z19,x20,y20,z20
dedo_medio,0.551569,0.839269,0.000000,0.648435,0.767914,-0.004250,0.697770,0.619486,-0.020259,0.716386,0.482907,-0.031747,0.742735,0.391235,-0.044457,0.651046,0.571586,-0.074328,0.581620,0.361517,-0.089066,0.540467,0.245312,-0.088835,0.500977,0.161931,-0.087548,0.560942,0.588908,-0.074736,0.501677,0.424687,-0.080910,0.519070,0.462457,-0.059717,0.536858,0.519830,-0.044533,0.478056,0.617033,-0.070553,0.436429,0.470466,-0.069298,0.454915,0.513582,-0.042664,0.475721,0.575674,-0.026658,0.403514,0.642458,-0.066940,0.398074,0.529110,-0.062651,0.419697,0.565647,-0.044582,0.437266,0.616686,-0.032167
dedo_medio,0.549210,0.846198,0.000000,0.642356,0.757336,0.005522,0.690716,0.612668,-0.009494,0.705917,0.487293,-0.023415,0.726166,0.392223,-0.035099,0.669394,0.575834,-0.056129,0.600273,0.382850,-0.074018,0.564357,0.282871,-0.079578,0.533577,0.205465,-0.083750,0.592164,0.591842,-0.063309,0.551139,0.373167,-0.087597,0.532110,0.246366,-0.089995,0.521236,0.147936,-0.090635,0.511316,0.613546,-0.063687,0.469133,0.447070,-0.067736,0.477166,0.490236,-0.042129,0.495195,0.546079,-0.024470,0.431459,0.640376,-0.064989,0.425820,0.513665,-0.057842,0.436093,0.544011,-0.036601,0.449558,0.592319,-0.021461
dedo_medio,0.585512,0.797290,0.000000,0.676972,0.710151,0.005590,0.723914,0.571979,-0.006781,0.744353,0.446881,-0.017897,0.761458,0.359301,-0.029684,0.698890,0.523900,-0.052419,0.636200,0.332154,-0.063060,0.600421,0.220677,-0.062207,0.566998,0.134091,-0.061143,0.620428,0.548497,-0.058947,0.548733,0.384362,-0.064508,0.563472,0.421321,-0.045365,0.585355,0.471347,-0.030795,0.543096,0.576556,-0.060926,0.490780,0.426645,-0.058450,0.504547,0.466624,-0.032141,0.527331,0.519005,-0.015830,0.474149,0.602246,-0.062894,0.452715,0.478895,-0.055617,0.466994,0.510820,-0.036026,0.482835,0.557796,-0.022742
dedo_medio,0.561237,0.807667,0.000000,0.647646,0.716896,0.007426,0.692178,0.579666,-0.005683,0.705211,0.459376,-0.019006,0.723612,0.366280,-0.030021,0.677034,0.545293,-0.044538,0.605672,0.362849,-0.060285,0.567153,0.271571,-0.064574,0.535388,0.200225,-0.067869,0.605606,0.562749,-0.053910,0.563623,0.354187,-0.075829,0.545064,0.234524,-0.077137,0.538213,0.142020,-0.076935,0.527117,0.586432,-0.057638,0.476893,0.425914,-0.062152,0.480653,0.462610,-0.037654,0.500805,0.512919,-0.020248,0.449148,0.615552,-0.062193,0.431962,0.494288,-0.056347,0.440114,0.521773,-0.036126,0.456663,0.566241,-0.021310
dedo_medio,0.553318,0.828591,0.000000,0.643258,0.735070,0.009790,0.688557,0.592746,-0.002670,0.703912,0.468838,-0.015554,0.725755,0.374547,-0.026658,0.674432,0.551805,-0.045205,0.612302,0.359279,-0.060671,0.576048,0.252223,-0.065878,0.545334,0.168663,-0.069880,0.605986,0.570371,-0.054782,0.562637,0.363859,-0.073889,0.541877,0.242784,-0.074159,0.532577,0.152145,-0.073974,0.530175,0.594462,-0.058133,0.473123,0.440179,-0.058918,0.478099,0.479134,-0.033519,0.499512,0.530730,-0.016651,0.452170,0.622987,-0.062313,0.429909,0.505297,-0.053249,0.437775,0.534822,-0.032046,0.455449,0.581263,-0.017262
dedo_medio,0.552625,0.828178,0.000000,0.638185,0.737480,0.009652,0.691074,0.604990,-0.001114,0.720267,0.490895,-0.012568,0.745799,0.406401,-0.022586,0.677649,0.550423,-0.038790,0.610327,0.366855,-0.051903,0.575309,0.266723,-0.056421,0.545797,0.190560,-0.059884,0.609623,0.567038,-0.048260,0.561375,0.373749,-0.062262,0.544124,0.275114,-0.060433,0.538596,0.206338,-0.059598,0.534616,0.591057,-0.052538,0.470137,0.450831,-0.050109,0.474167,0.488001,-0.026700,0.495252,0.535369,-0.012352,0.458137,0.619631,-0.057807,0.431504,0.518927,-0.047638,0.438986,0.549749,-0.028325,0.457788,0.592333,-0.015614
dedo_medio,0.567391,0.828358,0.000000,0.658738,0.738202,0.003207,0.719031,0.605889,-0.011762,0.752795,0.494464,-0.025539,0.779470,0.412108,-0.036731,0.677391,0.549906,-0.050106,0.595573,0.373418,-0.064608,0.557407,0.288122,-0.068821,0.523534,0.225359,-0.072291,0.596154,0.570399,-0.055933,0.539467,0.365895,-0.075637,0.518806,0.249545,-0.076802,0.508638,0.163474,-0.077287,0.513040,0.599460,-0.055895,0.465424,0.447281,-0.056206,0.479445,0.486012,-0.031643,0.502360,0.537561,-0.015555,0.435796,0.635337,-0.057171,0.424384,0.516070,-0.048504,0.442384,0.544560,-0.028436,0.462073,0.589741,-0.014533
dedo_medio,0.575241,0.826399,0.000000,0.664511,0.735248,0.004504,0.721752,0.605707,-0.009485,0.752078,0.494689,-0.022507,0.777291,0.411287,-0.033103,0.680917,0.551435,-0.047783,0.600306,0.378088,-0.062067,0.558376,0.287007,-0.066312,0.523037,0.220688,-0.069641,0.600458,0.571060,-0.054124,0.545903,0.367247,-0.073140,0.523463,0.249078,-0.073934,0.512852,0.162245,-0.074124,0.518079,0.600339,-0.054702,0.469633,0.446361,-0.054563,0.483534,0.482729,-0.029817,0.508013,0.533563,-0.013609,0.440476,0.637180,-0.056531,0.427980,0.517494,-0.047865,0.446286,0.542772,-0.027777,0.468187,0.585955,-0.013758
dedo_medio,0.574780,0.822111,0.000000,0.668788,0.728616,0.004189,0.725552,0.600386,-0.010029,0.752043,0.489052,-0.022812,0.778196,0.402728,-0.033292,0.679646,0.546804,-0.050372,0.599126,0.372194,-0.065061,0.557907,0.275850,-0.069806,0.522363,0.205407,-0.073381,0.596811,0.565416,-0.055651,0.542649,0.362061,-0.074639,0.522858,0.242759,-0.075392,0.514581,0.154700,-0.075633,0.515210,0.592930,-0.054871,0.471755,0.439816,-0.054170,0.487504,0.475208,-0.029440,0.512123,0.526133,-0.013463,0.440491,0.628658,-0.055270,0.433740,0.510438,-0.046094,0.453846,0.536847,-0.025904,0.475918,0.582314,-0.011921
dedo_medio,0.612175,0.826970,0.000000,0.699144,0.738831,0.008070,0.757013,0.612271,-0.005062,0.791717,0.500852,-0.018698,0.816716,0.415414,-0.030031,0.741092,0.551101,-0.040557,0.663618,0.368139,-0.055384,0.619253,0.272716,-0.059834,0.579467,0.202354,-0.063216,0.667594,0.568496,-0.050069,0.620166,0.358948,-0.069430,0.598473,0.240437,-0.069714,0.587232,0.151154,-0.069115,0.586467,0.595795,-0.054411,0.527825,0.431866,-0.056395,0.532974,0.472983,-0.031249,0.554235,0.526962,-0.013834,0.505554,0.631805,-0.059821,0.485619,0.503895,-0.052661,0.495803,0.533284,-0.032254,0.516985,0.579849,-0.017380
