gesto,x0,y0,z0,x1,y1,z1,x2,y2,z2,x3,y3,z3,x4,y4,z4,x5,y5,z5,x6,y6,z6,x7,y7,z7,x8,y8,z8,x9,y9,z9,x10,y10,z10,x11,y11,z11,x12,y12,z12,x13,y13,z13,x14,y14,z14,x15,y15,z15,x16,y16,z16,x17,y17,z17,x18,y18,z18,x19,y19,z19,x20,y20,z20
paz,0.662612,0.699555,-0.000000,0.628259,0.629459,-0.021970,0.635167,0.539478,-0.035063,0.691603,0.466913,-0.046877,0.757747,0.410532,-0.058063,0.676899,0.402408,-0.019749,0.687580,0.271914,-0.027834,0.690945,0.202648,-0.030688,0.681925,0.157303,-0.033770,0.724607,0.408642,-0.018261,0.782603,0.268493,-0.027373,0.810032,0.192203,-0.031568,0.816554,0.138749,-0.035343,0.759654,0.441839,-0.019132,0.796102,0.357665,-0.030882,0.797276,0.395256,-0.030437,0.784561,0.425698,-0.027670,0.776003,0.497252,-0.023442,0.794517,0.450581,-0.033286,0.782163,0.477147,-0.034410,0.761330,0.506558,-0.032779
paz,0.719449,0.672092,-0.000000,0.661435,0.604984,-0.021098,0.644868,0.522886,-0.032375,0.691045,0.453422,-0.042872,0.750344,0.398822,-0.052664,0.695647,0.384754,-0.011021,0.694025,0.260516,-0.015945,0.689829,0.191472,-0.017287,0.678288,0.143439,-0.019570,0.753924,0.382893,-0.009820,0.791323,0.247755,-0.013890,0.811267,0.174331,-0.016854,0.818428,0.122167,-0.020240,0.798824,0.409386,-0.011679,0.825368,0.324933,-0.019701,0.824528,0.364938,-0.020036,0.816645,0.398936,-0.018454,0.827458,0.458162,-0.017033,0.845185,0.407274,-0.025363,0.831143,0.426399,-0.027227,0.813940,0.450304,-0.026396
paz,0.759212,0.651659,-0.000000,0.685554,0.592249,-0.022954,0.646132,0.520978,-0.035882,0.673655,0.455555,-0.048778,0.713113,0.395220,-0.060051,0.659520,0.375107,-0.007929,0.631429,0.259505,-0.015846,0.619376,0.197200,-0.020566,0.606239,0.148114,-0.024969,0.719946,0.366623,-0.007891,0.727056,0.231791,-0.016229,0.739179,0.158771,-0.024062,0.744409,0.103423,-0.030258,0.771148,0.388439,-0.011577,0.779402,0.318056,-0.022568,0.776742,0.376615,-0.023729,0.773155,0.420185,-0.021777,0.810869,0.431825,-0.019081,0.823079,0.384850,-0.028332,0.810364,0.414983,-0.029719,0.797477,0.447412,-0.028205
paz,0.751384,0.654282,-0.000000,0.679502,0.596079,-0.022154,0.642154,0.529159,-0.036195,0.666166,0.466106,-0.050605,0.704999,0.404215,-0.063351,0.657100,0.379837,-0.008627,0.624980,0.267810,-0.018271,0.610550,0.208026,-0.024207,0.596117,0.159254,-0.029466,0.716109,0.371395,-0.010062,0.719290,0.235484,-0.020901,0.727440,0.160934,-0.029800,0.730757,0.103136,-0.036536,0.764924,0.393985,-0.015159,0.761787,0.327729,-0.027882,0.752167,0.390606,-0.028668,0.747243,0.433861,-0.026308,0.802502,0.439557,-0.024035,0.803911,0.396901,-0.034378,0.789058,0.433685,-0.035339,0.777948,0.468170,-0.033469
paz,0.748364,0.654070,-0.000000,0.677639,0.596478,-0.021515,0.640868,0.528380,-0.035004,0.667815,0.465616,-0.048805,0.706616,0.404778,-0.060868,0.657942,0.380682,-0.008636,0.624816,0.266242,-0.018031,0.609812,0.205566,-0.024027,0.595438,0.155547,-0.029292,0.716898,0.372286,-0.009811,0.721227,0.236391,-0.020212,0.729548,0.161586,-0.028996,0.733278,0.103981,-0.035721,0.765504,0.394818,-0.014465,0.763561,0.331010,-0.025937,0.755126,0.390463,-0.026296,0.751176,0.432178,-0.023937,0.802764,0.439737,-0.022904,0.804767,0.397822,-0.032022,0.790211,0.432335,-0.032635,0.779152,0.465696,-0.030723
paz,0.752016,0.650979,-0.000000,0.679648,0.592302,-0.022081,0.642289,0.523199,-0.035494,0.666813,0.458939,-0.049159,0.707617,0.395319,-0.061174,0.652559,0.371567,-0.007900,0.622598,0.258194,-0.016724,0.611077,0.194445,-0.022298,0.598863,0.142340,-0.027335,0.712581,0.363626,-0.008882,0.717967,0.230351,-0.018648,0.729745,0.156683,-0.027080,0.735430,0.099551,-0.033534,0.763006,0.386314,-0.013500,0.765610,0.321053,-0.025485,0.760261,0.381274,-0.026433,0.757367,0.424107,-0.024274,0.801921,0.431159,-0.021892,0.808293,0.389807,-0.031991,0.794120,0.423976,-0.033275,0.782470,0.457364,-0.031609
paz,0.745966,0.644144,-0.000000,0.673292,0.585850,-0.021359,0.635678,0.515230,-0.034598,0.662991,0.451041,-0.048224,0.705498,0.388279,-0.060331,0.652150,0.365535,-0.008658,0.623055,0.253321,-0.018604,0.610106,0.189872,-0.025036,0.596246,0.137378,-0.030538,0.711073,0.358298,-0.010154,0.717602,0.226132,-0.021262,0.728800,0.151836,-0.030379,0.733825,0.093955,-0.037243,0.760952,0.381173,-0.015157,0.761379,0.315488,-0.028031,0.753523,0.376389,-0.028759,0.749950,0.420316,-0.026396,0.799874,0.425865,-0.023944,0.805881,0.385912,-0.034550,0.789483,0.420706,-0.035655,0.776790,0.453332,-0.033805
paz,0.748694,0.642511,-0.000000,0.675964,0.581094,-0.019294,0.639192,0.509166,-0.030960,0.658096,0.444362,-0.043445,0.693322,0.382617,-0.054403,0.654601,0.361941,-0.004587,0.623619,0.249847,-0.012849,0.609697,0.186985,-0.017813,0.594258,0.135657,-0.022299,0.711923,0.355840,-0.006656,0.719010,0.223479,-0.016097,0.729771,0.148546,-0.024004,0.733266,0.089479,-0.029924,0.760803,0.379444,-0.012229,0.760131,0.313531,-0.024060,0.752784,0.374678,-0.024131,0.749473,0.418494,-0.021112,0.799098,0.423637,-0.021467,0.805654,0.381869,-0.031135,0.789731,0.415012,-0.031710,0.776514,0.446451,-0.029368
paz,0.745353,0.641609,-0.000000,0.678140,0.581633,-0.020092,0.641611,0.510238,-0.031535,0.661070,0.441623,-0.043616,0.703506,0.379574,-0.053994,0.656780,0.363300,-0.003685,0.625080,0.249833,-0.011099,0.611627,0.186509,-0.015519,0.597372,0.134888,-0.019739,0.711978,0.354874,-0.005203,0.718601,0.222079,-0.013863,0.728786,0.147273,-0.021777,0.732611,0.087759,-0.027708,0.759435,0.375959,-0.010375,0.760572,0.307656,-0.021980,0.754878,0.369099,-0.022738,0.753129,0.413419,-0.020022,0.797671,0.418108,-0.019198,0.804903,0.373511,-0.028848,0.790648,0.405313,-0.029957,0.779609,0.437411,-0.027922
paz,0.753187,0.643881,-0.000000,0.681142,0.582628,-0.020547,0.643215,0.511231,-0.032384,0.663775,0.443812,-0.044740,0.704743,0.383792,-0.055421,0.657381,0.361307,-0.004690,0.627209,0.245333,-0.011792,0.613552,0.181403,-0.015612,0.598527,0.130259,-0.019493,0.714326,0.353209,-0.005991,0.722010,0.221208,-0.013475,0.731623,0.147913,-0.020201,0.734053,0.088428,-0.025561,0.762661,0.375922,-0.010984,0.764401,0.308482,-0.021821,0.758156,0.369827,-0.022144,0.754476,0.412644,-0.019361,0.800264,0.420074,-0.019651,0.808190,0.376207,-0.029052,0.792585,0.407485,-0.030026,0.778865,0.438647,-0.027939
