gesto,x0,y0,z0,x1,y1,z1,x2,y2,z2,x3,y3,z3,x4,y4,z4,x5,y5,z5,x6,y6,z6,x7,y7,z7,x8,y8,z8,x9,y9,z9,x10,y10,z10,x11,y11,z11,x12,y12,z12,x13,y13,z13,x14,y14,z14,x15,y15,z15,x16,y16,z16,x17,y17,z17,x18,y18,z18,x19,y19,z19,x20,y20,z20
pulgar_arriba,0.451828,0.743212,0.000000,0.401630,0.668534,-0.030895,0.416863,0.600138,-0.058859,0.523322,0.575080,-0.085351,0.626459,0.550443,-0.111445,0.465743,0.420280,-0.040826,0.504894,0.325957,-0.068059,0.533180,0.259601,-0.091362,0.556487,0.202022,-0.108021,0.554379,0.447505,-0.041630,0.629343,0.429639,-0.072980,0.590881,0.501577,-0.086300,0.548088,0.528342,-0.092547,0.624253,0.501127,-0.045461,0.700401,0.494737,-0.070541,0.649156,0.550380,-0.075756,0.602105,0.561014,-0.077889,0.676567,0.571095,-0.053237,0.731262,0.561197,-0.067154,0.688137,0.597662,-0.070173,0.645374,0.607429,-0.072862
pulgar_arriba,0.392602,0.747320,0.000000,0.342768,0.623296,-0.016351,0.353251,0.513022,-0.038076,0.414426,0.453081,-0.059988,0.478453,0.406206,-0.081625,0.449834,0.405854,-0.040546,0.495560,0.316457,-0.068852,0.529496,0.263055,-0.085473,0.549443,0.215022,-0.096235,0.502682,0.474499,-0.050025,0.575659,0.410381,-0.084141,0.538731,0.487675,-0.086631,0.486245,0.523600,-0.083662,0.541277,0.564090,-0.061665,0.606151,0.526036,-0.090901,0.556282,0.579942,-0.085870,0.495084,0.593385,-0.078659,0.561502,0.665435,-0.075947,0.621975,0.642003,-0.095193,0.570571,0.666879,-0.093768,0.508133,0.667801,-0.090698
pulgar_arriba,0.351583,0.759509,0.000000,0.300477,0.653921,-0.013548,0.316606,0.561372,-0.025399,0.391692,0.500677,-0.037750,0.461455,0.452612,-0.049831,0.398646,0.431146,-0.009794,0.454294,0.346559,-0.021055,0.483656,0.290657,-0.032793,0.501481,0.247885,-0.042095,0.475954,0.473987,-0.013822,0.575533,0.459961,-0.026792,0.526576,0.522833,-0.031998,0.468224,0.551302,-0.034567,0.535176,0.539799,-0.019992,0.626831,0.525503,-0.031960,0.563871,0.571377,-0.034645,0.502583,0.583511,-0.036148,0.572093,0.619336,-0.028690,0.640454,0.597365,-0.036991,0.590641,0.620533,-0.038666,0.535797,0.628760,-0.039847
pulgar_arriba,0.375570,0.662036,0.000000,0.477522,0.610359,-0.018606,0.535087,0.525196,-0.039818,0.566045,0.469822,-0.061253,0.574997,0.429319,-0.084643,0.421465,0.361358,-0.043948,0.416561,0.237618,-0.069118,0.426050,0.163420,-0.090999,0.429414,0.091313,-0.108811,0.334048,0.392699,-0.052378,0.411609,0.344365,-0.079109,0.500081,0.390983,-0.092707,0.545586,0.423197,-0.102972,0.274160,0.457008,-0.061755,0.385987,0.438040,-0.085084,0.467275,0.481894,-0.093237,0.497632,0.507703,-0.099813,0.230475,0.537839,-0.073566,0.328553,0.535376,-0.092059,0.395331,0.560691,-0.098396,0.420024,0.577939,-0.103449
pulgar_arriba,0.262175,0.691284,0.000000,0.340546,0.611542,-0.017927,0.427090,0.509358,-0.041713,0.532946,0.466169,-0.065118,0.605717,0.440901,-0.089200,0.371587,0.363487,-0.047266,0.441516,0.242559,-0.074794,0.475456,0.162789,-0.097086,0.487389,0.086375,-0.115681,0.335166,0.419028,-0.057141,0.526275,0.389528,-0.087457,0.562185,0.461539,-0.098041,0.551504,0.492607,-0.105645,0.325557,0.503944,-0.067761,0.543655,0.504210,-0.093571,0.557980,0.564155,-0.097527,0.523973,0.577299,-0.100900,0.325085,0.600903,-0.080636,0.515301,0.615062,-0.099547,0.525339,0.654598,-0.103156,0.490761,0.662156,-0.106443
pulgar_arriba,0.705074,0.778580,0.000000,0.736876,0.619091,-0.016759,0.666759,0.468013,-0.038388,0.591062,0.358534,-0.058287,0.547993,0.267740,-0.077181,0.579443,0.465125,-0.062364,0.470988,0.455498,-0.092670,0.529482,0.494387,-0.103430,0.562142,0.505720,-0.109932,0.547189,0.556483,-0.070898,0.424735,0.543854,-0.104715,0.536025,0.579543,-0.106027,0.607803,0.579937,-0.106469,0.525932,0.649688,-0.079306,0.414829,0.637455,-0.110586,0.526712,0.657264,-0.103134,0.598127,0.657122,-0.096086,0.513057,0.741081,-0.089093,0.429574,0.721506,-0.111024,0.509227,0.731958,-0.106443,0.568829,0.734395,-0.101615
pulgar_arriba,0.690234,0.761281,0.000000,0.726850,0.592010,-0.013448,0.655683,0.437646,-0.034782,0.584152,0.326316,-0.055386,0.542326,0.234947,-0.075156,0.576814,0.459437,-0.058242,0.500322,0.458289,-0.087292,0.559033,0.495495,-0.098115,0.585313,0.502775,-0.104906,0.544479,0.556360,-0.068424,0.457606,0.542288,-0.099963,0.553758,0.574561,-0.101091,0.606474,0.576227,-0.102265,0.524706,0.651189,-0.078187,0.438947,0.635590,-0.106383,0.536149,0.652521,-0.097945,0.590937,0.653572,-0.090998,0.514758,0.742093,-0.089210,0.450526,0.718967,-0.107851,0.520964,0.722568,-0.102217,0.568895,0.720894,-0.097424
pulgar_arriba,0.686584,0.762775,0.000000,0.722632,0.592426,-0.012003,0.651910,0.432492,-0.031192,0.582275,0.317654,-0.049022,0.542873,0.222981,-0.065856,0.557404,0.443713,-0.056287,0.514410,0.451258,-0.081387,0.581245,0.495151,-0.090036,0.607326,0.503148,-0.095869,0.525475,0.536173,-0.064867,0.465092,0.538081,-0.091828,0.561290,0.568692,-0.091597,0.606649,0.569089,-0.092894,0.508153,0.630304,-0.072320,0.447770,0.628309,-0.096072,0.541023,0.645857,-0.087391,0.584228,0.643395,-0.081362,0.499735,0.718528,-0.080771,0.456768,0.709989,-0.096944,0.527348,0.715303,-0.091603,0.566577,0.708704,-0.087494
pulgar_arriba,0.682516,0.730563,0.000000,0.702585,0.559598,-0.005571,0.633996,0.426282,-0.018174,0.575165,0.324223,-0.032110,0.546941,0.244576,-0.045718,0.556612,0.441719,-0.033228,0.440457,0.421971,-0.053366,0.485275,0.444919,-0.061929,0.528630,0.464054,-0.067768,0.537805,0.527252,-0.044116,0.408189,0.501515,-0.070143,0.493028,0.524918,-0.077340,0.567648,0.541082,-0.082246,0.526228,0.611093,-0.054302,0.407299,0.582250,-0.078220,0.493543,0.595922,-0.078497,0.565227,0.612585,-0.077575,0.523306,0.691588,-0.065028,0.434884,0.649974,-0.082426,0.476324,0.640133,-0.083027,0.518932,0.638386,-0.083019
pulgar_arriba,0.672541,0.715733,0.000000,0.671515,0.570908,-0.001101,0.611351,0.450436,-0.008083,0.562107,0.352622,-0.017424,0.535863,0.279715,-0.025603,0.519112,0.444820,-0.013231,0.463617,0.416796,-0.024868,0.510521,0.454389,-0.029666,0.534688,0.478588,-0.032855,0.512019,0.500102,-0.021811,0.453255,0.478284,-0.036316,0.529307,0.511040,-0.042565,0.576313,0.530465,-0.047564,0.516206,0.552345,-0.029786,0.458392,0.521089,-0.042522,0.529728,0.549219,-0.041864,0.576161,0.572189,-0.041238,0.528319,0.599388,-0.038492,0.481141,0.532817,-0.047585,0.506107,0.502883,-0.047535,0.522065,0.481319,-0.047725
