gesto,x0,y0,z0,x1,y1,z1,x2,y2,z2,x3,y3,z3,x4,y4,z4,x5,y5,z5,x6,y6,z6,x7,y7,z7,x8,y8,z8,x9,y9,z9,x10,y10,z10,x11,y11,z11,x12,y12,z12,x13,y13,z13,x14,y14,z14,x15,y15,z15,x16,y16,z16,x17,y17,z17,x18,y18,z18,x19,y19,z19,x20,y20,z20
metal,0.616799,0.658558,-0.000000,0.689240,0.513003,0.006877,0.714982,0.390754,0.006201,0.712714,0.309130,0.002245,0.683330,0.277445,-0.000602,0.624252,0.337728,-0.001344,0.602497,0.237955,-0.005753,0.682013,0.240306,-0.002369,0.730654,0.264291,0.000470,0.595354,0.371622,-0.013047,0.574833,0.259566,-0.018647,0.677654,0.274660,-0.014165,0.730447,0.307036,-0.009874,0.583876,0.413779,-0.025645,0.569570,0.313873,-0.034004,0.669269,0.327003,-0.032104,0.721524,0.358547,-0.029124,0.588283,0.462727,-0.038279,0.595242,0.387521,-0.043854,0.660281,0.386398,-0.042845,0.699988,0.407953,-0.040880
metal,0.615641,0.664057,-0.000000,0.670461,0.535082,0.004588,0.693751,0.412381,0.005539,0.689509,0.329345,0.003610,0.673529,0.294236,0.002802,0.602148,0.335914,0.005879,0.580983,0.238787,0.004567,0.643952,0.240745,0.008122,0.679622,0.256754,0.010611,0.570190,0.363136,-0.002861,0.556943,0.261576,-0.004727,0.647401,0.284227,-0.000602,0.691530,0.309186,0.003296,0.557088,0.398499,-0.012933,0.550004,0.309494,-0.017592,0.640936,0.333827,-0.015555,0.689029,0.360032,-0.012798,0.558509,0.442091,-0.023580,0.567029,0.374977,-0.026883,0.629982,0.385824,-0.025666,0.667699,0.407149,-0.023489
metal,0.612303,0.650951,-0.000000,0.680509,0.503982,0.009350,0.704595,0.382973,0.007710,0.698112,0.303821,0.002150,0.674880,0.270967,-0.001826,0.585222,0.297153,0.002733,0.593259,0.221420,-0.000710,0.658827,0.234430,0.002546,0.681680,0.249362,0.004588,0.551751,0.330468,-0.010834,0.585900,0.259684,-0.013502,0.672783,0.293689,-0.005749,0.691635,0.313270,-0.000027,0.543020,0.376034,-0.025086,0.587133,0.315559,-0.029008,0.667392,0.346504,-0.020765,0.681486,0.363629,-0.014758,0.551088,0.429375,-0.039750,0.605603,0.385544,-0.040061,0.658772,0.404509,-0.033745,0.665715,0.422134,-0.028585
metal,0.613591,0.693228,0.000000,0.673116,0.537108,0.008179,0.677503,0.418052,0.009587,0.654650,0.344566,0.007425,0.625540,0.322846,0.006203,0.566747,0.354377,0.007490,0.531704,0.287429,0.004570,0.597359,0.286503,0.004732,0.633402,0.291194,0.004718,0.539119,0.393908,-0.003692,0.509637,0.323630,-0.005852,0.597710,0.333087,-0.003369,0.643591,0.345064,-0.002245,0.530111,0.441485,-0.015878,0.508618,0.375455,-0.020883,0.593594,0.383530,-0.018766,0.643265,0.396995,-0.017126,0.537188,0.493508,-0.028456,0.532956,0.439265,-0.031907,0.591896,0.438869,-0.029903,0.635565,0.449994,-0.028171
metal,0.623502,0.698258,0.000000,0.675595,0.537394,0.013954,0.674969,0.414017,0.015181,0.640653,0.339206,0.012108,0.606638,0.316694,0.009860,0.558965,0.348509,0.003745,0.552400,0.284511,0.000725,0.610844,0.293422,0.002231,0.629023,0.298806,0.002754,0.529438,0.387705,-0.010967,0.532765,0.325078,-0.012103,0.607101,0.340531,-0.005804,0.632355,0.348951,-0.002929,0.522436,0.437347,-0.025590,0.532990,0.375375,-0.028443,0.605093,0.389364,-0.020938,0.635474,0.401800,-0.016709,0.532108,0.492506,-0.040221,0.553779,0.442103,-0.041793,0.605351,0.446693,-0.036246,0.633508,0.458120,-0.032402
metal,0.622416,0.678355,-0.000000,0.689499,0.516383,0.008281,0.692452,0.402124,0.006596,0.662493,0.332972,0.001075,0.620760,0.311639,-0.003622,0.562756,0.343612,-0.000204,0.523632,0.273933,-0.007331,0.581480,0.268254,-0.009116,0.618015,0.279230,-0.010108,0.531620,0.384057,-0.013626,0.505776,0.315252,-0.019936,0.591798,0.319021,-0.018533,0.641987,0.336320,-0.018253,0.521221,0.434791,-0.027703,0.505080,0.375956,-0.035034,0.590266,0.377896,-0.032525,0.644883,0.393485,-0.031050,0.529148,0.492708,-0.042310,0.526602,0.443376,-0.047392,0.583614,0.437964,-0.045127,0.629923,0.449273,-0.043389
metal,0.627883,0.675410,0.000000,0.690975,0.517300,0.013748,0.690119,0.402131,0.015109,0.652722,0.331417,0.011601,0.612063,0.311400,0.009006,0.572056,0.328719,0.008355,0.550674,0.268816,0.004433,0.608763,0.276876,0.004719,0.630038,0.285593,0.004563,0.538969,0.362655,-0.007192,0.533809,0.309779,-0.010245,0.611729,0.328663,-0.006056,0.638444,0.340614,-0.003993,0.527604,0.408919,-0.023245,0.536839,0.362635,-0.028267,0.611813,0.379645,-0.023165,0.641030,0.393777,-0.019975,0.532976,0.462070,-0.039432,0.558880,0.425094,-0.041959,0.607808,0.434418,-0.037814,0.629837,0.448430,-0.034775
metal,0.605278,0.688585,0.000000,0.653637,0.535690,0.017299,0.657579,0.419403,0.020474,0.640921,0.348977,0.018281,0.629457,0.323137,0.016594,0.551590,0.335212,0.011033,0.556984,0.269860,0.008678,0.611940,0.276779,0.009110,0.628046,0.283875,0.008715,0.526719,0.366244,-0.005246,0.550189,0.310435,-0.006829,0.617516,0.328453,-0.003207,0.634403,0.338993,-0.002004,0.523101,0.411324,-0.021518,0.556231,0.361213,-0.024727,0.619764,0.377302,-0.020412,0.638078,0.392617,-0.018297,0.532884,0.463416,-0.037493,0.576380,0.425935,-0.039044,0.617889,0.433603,-0.035649,0.630951,0.447455,-0.033486
metal,0.614230,0.695473,0.000000,0.656569,0.538101,0.014311,0.658186,0.417054,0.014946,0.637005,0.345870,0.011264,0.620144,0.324598,0.008163,0.545214,0.345369,0.001229,0.568977,0.277978,-0.002633,0.628680,0.288601,-0.002320,0.639711,0.294932,-0.002876,0.524850,0.378165,-0.013572,0.568950,0.319089,-0.015967,0.638219,0.339525,-0.011280,0.646877,0.349400,-0.009778,0.527960,0.423259,-0.027826,0.574240,0.365687,-0.030844,0.638344,0.380571,-0.025193,0.648471,0.393781,-0.022751,0.544367,0.474779,-0.041870,0.594552,0.429267,-0.043164,0.638212,0.435692,-0.039068,0.646711,0.448821,-0.036748
metal,0.597853,0.689893,0.000000,0.650213,0.533175,0.014467,0.658840,0.407632,0.015298,0.646406,0.335452,0.011346,0.635131,0.311537,0.008056,0.542327,0.329238,0.005230,0.564712,0.267784,0.001119,0.619085,0.274063,0.000391,0.631719,0.276238,-0.000879,0.516614,0.365875,-0.010345,0.566726,0.317352,-0.012944,0.632289,0.337376,-0.009171,0.642489,0.344395,-0.008151,0.514726,0.415829,-0.025802,0.571124,0.368020,-0.029087,0.631125,0.385416,-0.023222,0.641604,0.397873,-0.020417,0.525591,0.472351,-0.041327,0.587275,0.435549,-0.042257,0.626652,0.443067,-0.037627,0.632437,0.454598,-0.034860
