gesto,x0,y0,z0,x1,y1,z1,x2,y2,z2,x3,y3,z3,x4,y4,z4,x5,y5,z5,x6,y6,z6,x7,y7,z7,x8,y8,z8,x9,y9,z9,x10,y10,z10,x11,y11,z11,x12,y12,z12,x13,y13,z13,x14,y14,z14,x15,y15,z15,x16,y16,z16,x17,y17,z17,x18,y18,z18,x19,y19,z19,x20,y20,z20
rock,0.521957,0.722117,0.000000,0.429309,0.658847,-0.004856,0.354213,0.571782,-0.011162,0.307826,0.503730,-0.022735,0.251295,0.460475,-0.033437,0.431897,0.455456,0.013450,0.412713,0.336107,0.001127,0.405664,0.268284,-0.012145,0.406413,0.208525,-0.021186,0.486825,0.460539,0.004772,0.494383,0.410628,-0.017725,0.490266,0.488823,-0.029849,0.492516,0.535109,-0.031356,0.537440,0.475318,-0.006396,0.544752,0.427317,-0.024402,0.527819,0.509207,-0.027440,0.519524,0.560753,-0.023351,0.589345,0.493131,-0.020211,0.600548,0.408870,-0.027811,0.611671,0.366476,-0.030919,0.627040,0.318131,-0.031201
rock,0.529042,0.735780,0.000000,0.432587,0.669296,-0.004515,0.358896,0.581838,-0.008853,0.313273,0.513004,-0.018076,0.257672,0.471177,-0.026566,0.437786,0.465487,0.016327,0.420261,0.346392,0.005070,0.409768,0.278810,-0.007382,0.405898,0.221415,-0.015700,0.493543,0.472680,0.008361,0.497413,0.409630,-0.013294,0.492304,0.483494,-0.025411,0.496319,0.532316,-0.026700,0.545649,0.490057,-0.002259,0.550700,0.429870,-0.020167,0.534938,0.507594,-0.024553,0.530542,0.561491,-0.021045,0.600139,0.511086,-0.015399,0.616459,0.429777,-0.023388,0.627969,0.386500,-0.027592,0.645168,0.339103,-0.028377
rock,0.535469,0.744594,0.000000,0.441245,0.676794,-0.007243,0.369866,0.587092,-0.011624,0.327023,0.513426,-0.020113,0.274785,0.466777,-0.027713,0.449510,0.472748,0.016748,0.431838,0.351877,0.006474,0.423584,0.286163,-0.004870,0.421108,0.231581,-0.012401,0.504211,0.482083,0.010590,0.510739,0.414489,-0.009739,0.505604,0.486983,-0.021335,0.507351,0.535631,-0.022261,0.555379,0.502045,0.001316,0.565156,0.438515,-0.016464,0.547046,0.513670,-0.021873,0.537862,0.564956,-0.018769,0.608659,0.527153,-0.010544,0.628357,0.446129,-0.018741,0.640676,0.402909,-0.023704,0.656558,0.355394,-0.024810
rock,0.531874,0.737323,0.000000,0.438356,0.665929,-0.008483,0.369276,0.574857,-0.012425,0.329268,0.498452,-0.020050,0.277950,0.449559,-0.026863,0.449082,0.462533,0.017170,0.434130,0.342237,0.007549,0.425837,0.275351,-0.003511,0.424275,0.217897,-0.010950,0.504670,0.471620,0.011917,0.507785,0.401801,-0.008034,0.503332,0.475409,-0.019792,0.508110,0.525401,-0.020820,0.555637,0.491547,0.003415,0.564163,0.423818,-0.014709,0.547359,0.497032,-0.021347,0.540572,0.548086,-0.018981,0.609296,0.517772,-0.007646,0.629267,0.437978,-0.016371,0.640935,0.394672,-0.022310,0.656567,0.347662,-0.024037
rock,0.520985,0.732987,0.000000,0.427160,0.661069,-0.004722,0.361409,0.569189,-0.006701,0.324856,0.493661,-0.013009,0.270991,0.446068,-0.018579,0.436833,0.457980,0.020808,0.420756,0.339228,0.012291,0.412169,0.270705,0.001595,0.410307,0.212966,-0.005657,0.493327,0.465760,0.014101,0.497801,0.396801,-0.004778,0.492207,0.467895,-0.016263,0.496282,0.518180,-0.017286,0.544249,0.484184,0.004503,0.553311,0.421184,-0.012183,0.535782,0.495804,-0.017791,0.530156,0.548624,-0.015043,0.598750,0.506602,-0.007505,0.618614,0.429124,-0.015315,0.631688,0.386909,-0.020439,0.650520,0.340358,-0.021726
rock,0.527397,0.739140,0.000000,0.436516,0.669796,-0.007273,0.370237,0.577621,-0.011855,0.331074,0.502416,-0.020516,0.278915,0.453410,-0.028422,0.444652,0.464757,0.015301,0.425559,0.345472,0.004447,0.415895,0.278708,-0.007130,0.412334,0.221831,-0.014710,0.500192,0.471615,0.009061,0.502348,0.401980,-0.011860,0.497608,0.474515,-0.023328,0.501572,0.523678,-0.024170,0.551663,0.489543,-0.000220,0.558637,0.421692,-0.018309,0.540869,0.496260,-0.023368,0.533829,0.549321,-0.020147,0.605812,0.513046,-0.012116,0.624249,0.433393,-0.020327,0.635482,0.389584,-0.025135,0.651751,0.342299,-0.026210
rock,0.558523,0.726227,0.000000,0.465990,0.654276,-0.007454,0.391677,0.566724,-0.012454,0.346998,0.492888,-0.021507,0.294756,0.444341,-0.029679,0.470992,0.454944,0.014208,0.454665,0.333205,0.003432,0.448089,0.265436,-0.008281,0.447152,0.205701,-0.016177,0.524993,0.463310,0.008035,0.537069,0.396735,-0.012654,0.534599,0.472114,-0.023930,0.535696,0.520495,-0.024881,0.575398,0.481573,-0.001130,0.590672,0.419114,-0.018953,0.575816,0.494455,-0.023531,0.566166,0.544198,-0.020154,0.626387,0.505221,-0.012880,0.643560,0.419399,-0.021278,0.656427,0.378612,-0.025942,0.671004,0.334035,-0.026908
rock,0.559708,0.770807,0.000000,0.467168,0.706540,-0.009476,0.387745,0.616403,-0.015692,0.336342,0.545332,-0.026047,0.274624,0.501048,-0.035821,0.469889,0.495085,0.012640,0.457204,0.363182,-0.000012,0.455905,0.295349,-0.014204,0.459013,0.239292,-0.024006,0.524448,0.505670,0.006743,0.552884,0.448430,-0.016209,0.548733,0.532834,-0.030049,0.543587,0.587212,-0.032658,0.576817,0.527497,-0.002293,0.604685,0.474776,-0.022122,0.585353,0.557591,-0.028882,0.568505,0.610880,-0.026915,0.627759,0.551815,-0.014201,0.649432,0.469931,-0.023996,0.664501,0.428570,-0.030055,0.679968,0.379758,-0.032261
rock,0.553310,0.759314,0.000000,0.460579,0.696165,-0.007599,0.382986,0.609079,-0.012577,0.331346,0.538098,-0.021690,0.267964,0.496026,-0.030163,0.460599,0.485877,0.014091,0.444526,0.358219,0.003286,0.439519,0.291982,-0.008547,0.439338,0.237069,-0.016672,0.516191,0.493406,0.007757,0.534678,0.424520,-0.012568,0.536966,0.499240,-0.024218,0.539432,0.548137,-0.025734,0.569547,0.513161,-0.001578,0.589318,0.449250,-0.019556,0.576447,0.525454,-0.025277,0.565295,0.578964,-0.022752,0.623369,0.538256,-0.013552,0.642057,0.458554,-0.022083,0.657055,0.415824,-0.027494,0.671699,0.370030,-0.029192
rock,0.546519,0.755844,0.000000,0.458704,0.696695,-0.008588,0.380773,0.603941,-0.016736,0.328418,0.535893,-0.029338,0.266341,0.491996,-0.041340,0.459644,0.484781,0.006158,0.443717,0.359091,-0.008250,0.441245,0.292249,-0.022518,0.443085,0.237111,-0.031967,0.514499,0.493708,-0.000865,0.527391,0.440215,-0.024217,0.524311,0.519325,-0.036641,0.522439,0.570157,-0.038618,0.566627,0.513272,-0.010427,0.578144,0.469032,-0.028719,0.558578,0.549714,-0.031967,0.545217,0.600307,-0.028503,0.617321,0.534572,-0.023023,0.630111,0.450706,-0.031698,0.639882,0.407035,-0.035365,0.652022,0.356536,-0.036150
