gesto,x0,y0,z0,x1,y1,z1,x2,y2,z2,x3,y3,z3,x4,y4,z4,x5,y5,z5,x6,y6,z6,x7,y7,z7,x8,y8,z8,x9,y9,z9,x10,y10,z10,x11,y11,z11,x12,y12,z12,x13,y13,z13,x14,y14,z14,x15,y15,z15,x16,y16,z16,x17,y17,z17,x18,y18,z18,x19,y19,z19,x20,y20,z20
call_me,0.480749,0.709164,-0.000000,0.409177,0.609877,0.000932,0.365813,0.523764,-0.000040,0.340389,0.453804,-0.004350,0.312027,0.404790,-0.006621,0.454212,0.459345,0.013154,0.459114,0.402112,0.008122,0.443672,0.448660,0.007443,0.435558,0.489866,0.008053,0.502270,0.474912,0.005809,0.503359,0.420686,-0.007634,0.481325,0.480716,-0.014073,0.475871,0.525835,-0.014668,0.545791,0.499637,-0.002566,0.558468,0.442549,-0.013075,0.526588,0.494844,-0.015054,0.512680,0.535453,-0.012727,0.588066,0.530125,-0.011998,0.619011,0.468305,-0.015634,0.633480,0.435711,-0.017380,0.654028,0.401563,-0.017448
call_me,0.540844,0.570345,-0.000000,0.481019,0.456098,-0.006914,0.438978,0.362827,-0.009321,0.405587,0.285447,-0.013852,0.379775,0.225582,-0.015147,0.530229,0.302593,0.017308,0.551586,0.241240,0.014562,0.538636,0.285374,0.015027,0.530361,0.318747,0.016034,0.580280,0.328240,0.014648,0.594254,0.264457,0.001295,0.567001,0.325317,-0.005671,0.554743,0.360786,-0.004854,0.620908,0.355456,0.009634,0.641829,0.292338,-0.001410,0.606592,0.346084,-0.004699,0.585780,0.381883,-0.001323,0.658673,0.386689,0.003000,0.691561,0.322103,0.000070,0.713715,0.290819,-0.002761,0.739991,0.256452,-0.002450
call_me,0.536420,0.574145,-0.000000,0.477978,0.460936,-0.007378,0.435323,0.368588,-0.009791,0.400721,0.292185,-0.014204,0.374260,0.234256,-0.015419,0.525254,0.308125,0.016873,0.550604,0.249465,0.014200,0.537406,0.298257,0.014504,0.525724,0.332558,0.015372,0.575542,0.332992,0.014621,0.592558,0.271394,0.001421,0.566691,0.333916,-0.005896,0.553440,0.369770,-0.005483,0.617038,0.359405,0.010105,0.639537,0.299482,-0.000545,0.604764,0.354368,-0.003947,0.582041,0.390679,-0.000824,0.657082,0.389158,0.003889,0.688558,0.322926,0.001344,0.709429,0.292376,-0.001485,0.732642,0.258968,-0.001340
call_me,0.536338,0.584162,-0.000000,0.475960,0.472926,-0.006397,0.434894,0.380548,-0.008529,0.402507,0.302908,-0.012917,0.372327,0.246045,-0.014092,0.524290,0.324604,0.017077,0.547364,0.257728,0.013661,0.536898,0.303595,0.013928,0.527094,0.339015,0.014837,0.574163,0.347020,0.013860,0.589784,0.278183,-0.000003,0.566759,0.339095,-0.007377,0.555772,0.375770,-0.007029,0.615801,0.371676,0.008330,0.637043,0.304520,-0.003302,0.604104,0.359015,-0.007040,0.583514,0.397385,-0.004093,0.656884,0.400495,0.001152,0.688339,0.335629,-0.002316,0.709298,0.302403,-0.005745,0.732986,0.266246,-0.006041
call_me,0.549460,0.677387,-0.000000,0.472707,0.578052,-0.006810,0.417596,0.485527,-0.013258,0.375601,0.416126,-0.022405,0.339088,0.368531,-0.028744,0.526221,0.416791,0.005165,0.550569,0.350850,-0.001992,0.540697,0.400718,-0.003845,0.531320,0.440063,-0.004496,0.578508,0.441123,-0.000354,0.598899,0.380133,-0.016670,0.576155,0.439928,-0.023884,0.564179,0.481765,-0.024621,0.623511,0.470033,-0.007488,0.648932,0.410184,-0.018943,0.618841,0.462977,-0.020258,0.598161,0.501622,-0.017361,0.666002,0.502437,-0.016690,0.702203,0.434701,-0.020281,0.720280,0.404403,-0.021935,0.738308,0.371578,-0.021976
call_me,0.552447,0.679970,-0.000000,0.474526,0.582057,-0.007780,0.417465,0.488675,-0.013964,0.374418,0.417799,-0.022557,0.337041,0.371479,-0.028278,0.524384,0.421789,0.005820,0.551475,0.358314,-0.001098,0.544117,0.409020,-0.002726,0.533657,0.447035,-0.003226,0.577997,0.445327,0.000974,0.600804,0.383666,-0.014862,0.579401,0.444990,-0.021755,0.566008,0.484854,-0.022272,0.623615,0.474242,-0.005727,0.651984,0.412856,-0.017091,0.623215,0.467331,-0.018540,0.601909,0.505305,-0.015589,0.665458,0.507393,-0.014548,0.703664,0.441318,-0.018024,0.724148,0.411847,-0.019883,0.743982,0.377725,-0.019999
call_me,0.540038,0.640735,-0.000000,0.468111,0.543222,-0.004998,0.410456,0.459928,-0.009878,0.367832,0.391277,-0.017703,0.334266,0.347947,-0.022691,0.512036,0.382684,0.009413,0.527903,0.313768,0.004076,0.523536,0.359233,0.003159,0.518122,0.395947,0.003164,0.564263,0.400305,0.004130,0.577226,0.335736,-0.009397,0.561489,0.393849,-0.015433,0.555651,0.430537,-0.015549,0.607661,0.423752,-0.002931,0.633482,0.359267,-0.012531,0.606141,0.408677,-0.013620,0.586677,0.446423,-0.010560,0.647765,0.453733,-0.011852,0.684503,0.388092,-0.013644,0.705346,0.358068,-0.014704,0.725705,0.327167,-0.014269
call_me,0.541458,0.635399,-0.000000,0.472387,0.538252,-0.005237,0.414356,0.457626,-0.009354,0.371344,0.389917,-0.016517,0.340073,0.346211,-0.021071,0.514326,0.381071,0.012658,0.528839,0.311411,0.008293,0.526177,0.352424,0.007387,0.521724,0.387952,0.007317,0.564422,0.397529,0.007782,0.577811,0.331874,-0.004954,0.564293,0.384358,-0.011907,0.558035,0.419955,-0.012624,0.606173,0.419379,0.000876,0.632524,0.352177,-0.009199,0.608996,0.395289,-0.012378,0.590398,0.431461,-0.010502,0.644053,0.448284,-0.007812,0.681797,0.385081,-0.010411,0.701682,0.356276,-0.012678,0.719235,0.328298,-0.012959
call_me,0.538041,0.643915,-0.000000,0.468364,0.546728,-0.004553,0.410674,0.463292,-0.009307,0.367038,0.395473,-0.017163,0.334888,0.352124,-0.022388,0.512181,0.386619,0.009359,0.524970,0.315157,0.004470,0.523904,0.358538,0.003830,0.521819,0.394192,0.003877,0.563055,0.403843,0.003849,0.576728,0.336644,-0.009206,0.564404,0.390760,-0.015157,0.559343,0.426768,-0.015414,0.605678,0.426959,-0.003396,0.632006,0.358576,-0.012996,0.608437,0.403567,-0.014661,0.589676,0.440417,-0.012128,0.644927,0.456853,-0.012416,0.681819,0.391084,-0.014560,0.701538,0.360976,-0.016069,0.719256,0.331362,-0.016032
call_me,0.531566,0.634437,-0.000000,0.460884,0.534889,-0.005279,0.408431,0.450253,-0.008706,0.372925,0.377301,-0.014846,0.340754,0.329803,-0.018259,0.507012,0.373534,0.011786,0.524625,0.305107,0.006762,0.517907,0.349911,0.005926,0.510955,0.384773,0.005984,0.559480,0.390975,0.006874,0.571804,0.325836,-0.007211,0.553521,0.382518,-0.013927,0.547010,0.416454,-0.014187,0.601857,0.414238,-0.000027,0.626183,0.347172,-0.011323,0.597410,0.395592,-0.013540,0.579023,0.432570,-0.010666,0.640881,0.443307,-0.008711,0.676977,0.379518,-0.012223,0.695674,0.350532,-0.014330,0.714142,0.319486,-0.014216
call_me,0.512536,0.634571,-0.000000,0.461831,0.507744,-0.000677,0.451578,0.411258,-0.005791,0.447788,0.338521,-0.014353,0.442571,0.276625,-0.020554,0.528069,0.365628,0.008299,0.540832,0.301856,-0.001065,0.506721,0.334590,-0.005846,0.480873,0.366562,-0.008405,0.575339,0.396085,-0.000181,0.581796,0.336486,-0.016181,0.536770,0.385764,-0.024569,0.512472,0.422521,-0.027407,0.616177,0.432084,-0.010157,0.628369,0.373779,-0.022515,0.573920,0.417927,-0.025802,0.544494,0.451804,-0.025524,0.655904,0.474996,-0.021255,0.705188,0.423449,-0.027518,0.740450,0.393436,-0.030520,0.779372,0.362015,-0.031750
call_me,0.558832,0.705207,-0.000000,0.520989,0.533142,0.010236,0.540674,0.405833,0.004206,0.567580,0.312678,-0.005463,0.594925,0.232996,-0.014229,0.632260,0.371373,-0.011357,0.551624,0.344422,-0.018180,0.503896,0.385043,-0.019095,0.493994,0.415004,-0.020954,0.654227,0.427543,-0.028065,0.554976,0.405340,-0.038967,0.509702,0.440719,-0.038990,0.505631,0.475317,-0.040914,0.661691,0.493107,-0.042721,0.566436,0.469978,-0.050759,0.523666,0.498904,-0.044738,0.523782,0.527801,-0.042922,0.662849,0.561519,-0.056971,0.587059,0.536140,-0.062972,0.552511,0.552657,-0.058452,0.547731,0.571819,-0.056295
call_me,0.586424,0.736916,-0.000000,0.516994,0.582236,0.014579,0.496431,0.459358,0.010376,0.492898,0.366865,0.000443,0.505074,0.289247,-0.008250,0.559579,0.417263,0.001726,0.537942,0.344326,-0.004322,0.482866,0.382795,-0.002174,0.460750,0.419183,-0.000761,0.588671,0.460809,-0.017191,0.545935,0.393694,-0.029289,0.488088,0.444047,-0.027809,0.476096,0.486539,-0.024886,0.612577,0.515106,-0.034458,0.559779,0.452587,-0.042871,0.501221,0.498629,-0.033322,0.494199,0.536368,-0.026186,0.629254,0.574460,-0.051487,0.573371,0.525264,-0.054003,0.518341,0.550323,-0.044978,0.504263,0.575760,-0.038116
call_me,0.575127,0.740791,0.000000,0.502216,0.603634,0.004894,0.476277,0.478979,-0.003463,0.469723,0.390406,-0.014583,0.456099,0.320970,-0.024611,0.532784,0.448644,-0.017375,0.512346,0.397528,-0.028078,0.467421,0.444071,-0.028709,0.446428,0.478625,-0.028665,0.579055,0.500111,-0.030820,0.532767,0.460195,-0.044989,0.483243,0.517560,-0.043103,0.470630,0.556577,-0.041110,0.619000,0.556840,-0.042476,0.564292,0.516824,-0.051866,0.511206,0.568412,-0.041096,0.499972,0.604333,-0.033967,0.650901,0.614318,-0.054580,0.596699,0.579059,-0.057586,0.545105,0.609666,-0.047947,0.528008,0.636884,-0.041165
call_me,0.528781,0.686704,-0.000000,0.462893,0.577145,-0.009137,0.422601,0.475033,-0.012737,0.400050,0.393605,-0.018027,0.378066,0.335734,-0.020583,0.529160,0.423730,0.012944,0.561806,0.365483,0.008973,0.546662,0.417547,0.007802,0.528550,0.455080,0.007249,0.583510,0.454134,0.010489,0.609648,0.398146,-0.002784,0.578310,0.461987,-0.011360,0.557746,0.503513,-0.013247,0.625669,0.487514,0.005945,0.660129,0.434851,-0.004683,0.621599,0.489914,-0.009097,0.594318,0.524920,-0.008141,0.663594,0.521758,-0.000574,0.706379,0.462175,-0.004045,0.730945,0.439613,-0.007177,0.755803,0.409608,-0.008119
call_me,0.530717,0.691602,-0.000000,0.461439,0.582530,-0.010753,0.422168,0.480774,-0.014486,0.400815,0.396813,-0.019314,0.376715,0.337879,-0.021101,0.534004,0.427549,0.011415,0.566959,0.370703,0.007751,0.551546,0.423566,0.007085,0.534618,0.457719,0.006774,0.587914,0.460106,0.009928,0.612463,0.407726,-0.002849,0.579851,0.473545,-0.010506,0.562042,0.508440,-0.011786,0.629405,0.494625,0.006283,0.661052,0.446242,-0.004063,0.619234,0.503271,-0.007600,0.593763,0.534723,-0.005907,0.667933,0.529334,0.000565,0.710090,0.470467,-0.002594,0.734825,0.448793,-0.005180,0.762541,0.417367,-0.005571
call_me,0.537984,0.676131,-0.000000,0.464380,0.570497,-0.011490,0.418747,0.467961,-0.017336,0.390634,0.387899,-0.024667,0.357687,0.332933,-0.029084,0.533528,0.406799,0.007604,0.566266,0.353223,0.001919,0.551550,0.410345,-0.000079,0.536023,0.447185,-0.001221,0.588869,0.437755,0.005062,0.614799,0.388760,-0.009782,0.585347,0.454083,-0.018530,0.568009,0.492213,-0.020636,0.631678,0.471706,0.000303,0.663980,0.422767,-0.010967,0.628031,0.478790,-0.014520,0.602742,0.512289,-0.013131,0.669507,0.506153,-0.006750,0.709605,0.443247,-0.010440,0.732938,0.421617,-0.013091,0.756359,0.392379,-0.013809
call_me,0.540434,0.680484,-0.000000,0.468657,0.574984,-0.010703,0.419644,0.473203,-0.016453,0.387430,0.393800,-0.023945,0.354894,0.337788,-0.028655,0.535575,0.411245,0.008735,0.568258,0.359825,0.003682,0.556682,0.416838,0.001788,0.542059,0.453762,0.000590,0.590471,0.442141,0.005896,0.618084,0.391913,-0.008134,0.591239,0.456569,-0.016720,0.573077,0.497092,-0.018944,0.633035,0.476611,0.000935,0.667524,0.426356,-0.009366,0.634321,0.480899,-0.012817,0.608524,0.515148,-0.011689,0.670402,0.512464,-0.006306,0.711505,0.449469,-0.009432,0.735560,0.427635,-0.011977,0.757491,0.398644,-0.012781
