gesto,x0,y0,z0,x1,y1,z1,x2,y2,z2,x3,y3,z3,x4,y4,z4,x5,y5,z5,x6,y6,z6,x7,y7,z7,x8,y8,z8,x9,y9,z9,x10,y10,z10,x11,y11,z11,x12,y12,z12,x13,y13,z13,x14,y14,z14,x15,y15,z15,x16,y16,z16,x17,y17,z17,x18,y18,z18,x19,y19,z19,x20,y20,z20
indice_arriba,0.590067,0.861093,0.000000,0.516895,0.780430,-0.004023,0.481847,0.675734,-0.014530,0.463535,0.591189,-0.029231,0.423026,0.521569,-0.044346,0.535969,0.577657,-0.000336,0.529561,0.460435,-0.016469,0.524344,0.401662,-0.029545,0.521033,0.356705,-0.038371,0.585665,0.599018,-0.011815,0.549719,0.542835,-0.035190,0.529786,0.632852,-0.042623,0.526224,0.695640,-0.042267,0.634761,0.634424,-0.024783,0.593021,0.589917,-0.044793,0.568705,0.676519,-0.042716,0.569732,0.728586,-0.037290,0.685068,0.677679,-0.040237,0.651149,0.625838,-0.049276,0.623904,0.676655,-0.045240,0.620025,0.714661,-0.040603
indice_arriba,0.614095,0.844014,0.000000,0.525370,0.762503,-0.002896,0.479831,0.666649,-0.010958,0.452730,0.588614,-0.023660,0.405053,0.528583,-0.036828,0.521470,0.569759,0.006811,0.503299,0.457856,-0.005749,0.495247,0.402457,-0.017894,0.490134,0.360438,-0.026504,0.573902,0.583978,-0.004080,0.545311,0.529851,-0.023471,0.533715,0.612537,-0.032405,0.532717,0.674042,-0.033870,0.625924,0.610955,-0.016433,0.591463,0.573698,-0.032475,0.570594,0.655370,-0.032892,0.569887,0.707393,-0.029936,0.676910,0.644922,-0.031261,0.645491,0.603964,-0.037272,0.623333,0.654123,-0.034522,0.619860,0.691741,-0.031393
indice_arriba,0.632042,0.845584,0.000000,0.540295,0.770083,-0.001580,0.489879,0.681579,-0.008338,0.460793,0.606296,-0.020152,0.413226,0.546975,-0.032430,0.522526,0.574058,0.011527,0.494735,0.466960,-0.000171,0.481942,0.414427,-0.012055,0.473581,0.373872,-0.020464,0.576738,0.581490,0.000365,0.548650,0.529142,-0.018323,0.543799,0.612974,-0.027742,0.546328,0.673769,-0.029363,0.630534,0.601716,-0.012372,0.598229,0.566527,-0.028029,0.582859,0.652570,-0.028968,0.583608,0.706317,-0.026177,0.683606,0.629536,-0.027499,0.654769,0.592182,-0.033309,0.634422,0.646168,-0.030923,0.629713,0.685577,-0.027909
indice_arriba,0.632246,0.842116,0.000000,0.546176,0.765319,-0.002633,0.498530,0.672434,-0.010142,0.471066,0.592134,-0.022187,0.423180,0.526929,-0.034625,0.533928,0.566856,0.008176,0.511041,0.459808,-0.004528,0.496835,0.406092,-0.016203,0.487163,0.364378,-0.024261,0.587974,0.578651,-0.002673,0.563006,0.524299,-0.022998,0.555644,0.609668,-0.031523,0.558490,0.669714,-0.031928,0.640605,0.603348,-0.015043,0.611114,0.562126,-0.032177,0.592261,0.647048,-0.031661,0.592404,0.698803,-0.027374,0.692943,0.636087,-0.029798,0.667246,0.591639,-0.036497,0.644681,0.644201,-0.033147,0.639926,0.683204,-0.029076
indice_arriba,0.609707,0.843300,0.000000,0.530379,0.761272,-0.005088,0.495062,0.659296,-0.014674,0.475863,0.575633,-0.028088,0.432285,0.508439,-0.041906,0.550337,0.562572,0.000091,0.539854,0.450607,-0.015454,0.531603,0.391291,-0.028468,0.528015,0.343570,-0.037343,0.602046,0.583150,-0.010501,0.578037,0.523281,-0.033171,0.556675,0.605524,-0.041518,0.552966,0.661369,-0.042030,0.650938,0.616747,-0.022671,0.620074,0.571531,-0.041476,0.590486,0.650619,-0.040471,0.587319,0.699280,-0.036025,0.698449,0.657608,-0.037441,0.674373,0.609001,-0.045541,0.644913,0.653010,-0.042503,0.638494,0.685458,-0.038828
indice_arriba,0.595370,0.840341,0.000000,0.519286,0.750475,-0.002093,0.492574,0.643700,-0.010417,0.482550,0.557604,-0.022924,0.445851,0.489446,-0.035854,0.555269,0.559334,0.002667,0.557615,0.445025,-0.011406,0.558809,0.383769,-0.023824,0.563934,0.333179,-0.032553,0.607004,0.583179,-0.008829,0.584349,0.518124,-0.030051,0.554527,0.595552,-0.038150,0.545350,0.651408,-0.038932,0.653177,0.620011,-0.021478,0.621140,0.570516,-0.039022,0.585116,0.645665,-0.037893,0.579605,0.694929,-0.033700,0.697323,0.664047,-0.036372,0.671057,0.612602,-0.043635,0.638237,0.654039,-0.040315,0.631095,0.687218,-0.036714
indice_arriba,0.606538,0.839884,0.000000,0.528696,0.751748,-0.002529,0.503526,0.646653,-0.011038,0.497391,0.559606,-0.023512,0.464694,0.488563,-0.036394,0.567089,0.558270,0.001688,0.572092,0.440969,-0.011598,0.574540,0.382092,-0.022868,0.579273,0.334082,-0.030800,0.618598,0.580883,-0.009169,0.597498,0.507632,-0.029541,0.569091,0.582728,-0.036721,0.560320,0.639778,-0.037018,0.663829,0.616981,-0.021094,0.631818,0.565234,-0.038028,0.597397,0.639756,-0.036645,0.591588,0.689029,-0.032329,0.705629,0.661637,-0.035227,0.674993,0.614562,-0.042209,0.641759,0.659431,-0.038857,0.633514,0.693913,-0.035181
indice_arriba,0.645252,0.837148,0.000000,0.569304,0.756838,-0.008360,0.544673,0.653983,-0.017118,0.537743,0.564300,-0.028179,0.503882,0.495242,-0.039236,0.601510,0.568284,-0.000989,0.608292,0.456489,-0.012720,0.611041,0.401607,-0.022020,0.615289,0.361842,-0.028357,0.654919,0.590779,-0.007766,0.644363,0.527733,-0.025373,0.624313,0.599639,-0.030802,0.616470,0.652939,-0.030204,0.701381,0.625479,-0.016214,0.683707,0.577952,-0.031773,0.653321,0.646524,-0.030420,0.645386,0.691744,-0.026139,0.741499,0.665749,-0.027299,0.726659,0.620027,-0.034142,0.698797,0.661124,-0.031309,0.688539,0.693213,-0.027755
indice_arriba,0.663366,0.837148,0.000000,0.586165,0.754978,-0.006542,0.564123,0.658673,-0.013492,0.562550,0.570800,-0.022844,0.526060,0.499857,-0.032084,0.620613,0.575012,0.002617,0.629729,0.465327,-0.008170,0.634139,0.412220,-0.016465,0.638973,0.373469,-0.022075,0.675287,0.596052,-0.004371,0.668814,0.527335,-0.022196,0.651204,0.597348,-0.027525,0.643085,0.649374,-0.026358,0.722767,0.627085,-0.013066,0.706609,0.574592,-0.029490,0.677658,0.643796,-0.028890,0.669305,0.687513,-0.024461,0.763368,0.664415,-0.024098,0.747636,0.618604,-0.031920,0.719095,0.660813,-0.029960,0.706922,0.693160,-0.026528
indice_arriba,0.682451,0.835853,0.000000,0.605467,0.759401,-0.005809,0.578735,0.663282,-0.011902,0.574766,0.574260,-0.020789,0.540682,0.503560,-0.029487,0.638377,0.575714,0.006085,0.643290,0.468294,-0.003748,0.645771,0.417386,-0.010798,0.648178,0.380714,-0.015495,0.691969,0.593742,-0.001142,0.690674,0.529452,-0.018556,0.676109,0.603303,-0.022956,0.666300,0.652086,-0.020631,0.739657,0.622212,-0.010354,0.727483,0.570646,-0.027057,0.701149,0.644845,-0.026136,0.690480,0.685552,-0.020936,0.779916,0.658072,-0.021833,0.770080,0.613676,-0.029619,0.743123,0.660556,-0.027398,0.728276,0.691110,-0.023463
