gesto,x0,y0,z0,x1,y1,z1,x2,y2,z2,x3,y3,z3,x4,y4,z4,x5,y5,z5,x6,y6,z6,x7,y7,z7,x8,y8,z8,x9,y9,z9,x10,y10,z10,x11,y11,z11,x12,y12,z12,x13,y13,z13,x14,y14,z14,x15,y15,z15,x16,y16,z16,x17,y17,z17,x18,y18,z18,x19,y19,z19,x20,y20,z20
ok,0.311060,0.821405,0.000000,0.390832,0.786778,-0.010536,0.463082,0.736840,-0.024525,0.518724,0.700597,-0.041660,0.548712,0.662850,-0.057686,0.428444,0.558192,-0.002301,0.477353,0.506596,-0.012672,0.511079,0.561331,-0.015524,0.522535,0.621653,-0.018334,0.393181,0.543216,-0.012886,0.437616,0.424443,-0.023677,0.478497,0.363610,-0.033584,0.511591,0.313203,-0.043440,0.354298,0.555728,-0.026996,0.394051,0.425634,-0.034445,0.428925,0.362746,-0.040547,0.461592,0.303624,-0.047614,0.311288,0.585758,-0.043504,0.332398,0.482728,-0.048453,0.347864,0.424102,-0.051324,0.370226,0.366245,-0.055993
ok,0.306487,0.800547,0.000000,0.389070,0.769659,-0.010772,0.456381,0.728437,-0.022167,0.500009,0.691699,-0.036359,0.521776,0.652208,-0.049297,0.431912,0.561749,0.002789,0.470161,0.512951,-0.006228,0.487097,0.561216,-0.009674,0.484014,0.607982,-0.012728,0.398898,0.545458,-0.005669,0.441726,0.441417,-0.015073,0.475116,0.395379,-0.025579,0.500626,0.353113,-0.035386,0.361803,0.550913,-0.017899,0.401598,0.436685,-0.026773,0.437763,0.382243,-0.035971,0.470904,0.329516,-0.043963,0.319934,0.573994,-0.032230,0.342171,0.482617,-0.038371,0.362197,0.434648,-0.043210,0.388121,0.388721,-0.048709
ok,0.301054,0.812218,0.000000,0.365446,0.788981,-0.034307,0.421212,0.742126,-0.055684,0.457786,0.694544,-0.074831,0.470271,0.649207,-0.092069,0.401583,0.562520,-0.021676,0.431776,0.507718,-0.032710,0.450838,0.558796,-0.036965,0.447364,0.606986,-0.040539,0.370819,0.542348,-0.017886,0.390540,0.432274,-0.027226,0.416712,0.381147,-0.038170,0.434704,0.333562,-0.048910,0.335947,0.548674,-0.018893,0.353768,0.429021,-0.025752,0.382023,0.370590,-0.035194,0.408054,0.317790,-0.044341,0.297679,0.572510,-0.023933,0.300410,0.471470,-0.028608,0.309644,0.417101,-0.033974,0.327084,0.364178,-0.040283
ok,0.254243,0.776626,0.000000,0.334290,0.732195,-0.015784,0.401961,0.684789,-0.031352,0.449859,0.649639,-0.048615,0.460631,0.612197,-0.064286,0.362999,0.526913,-0.006787,0.389073,0.460188,-0.016077,0.399522,0.506494,-0.019096,0.391307,0.551841,-0.021684,0.326903,0.511420,-0.012249,0.346027,0.400325,-0.020235,0.370794,0.351174,-0.028429,0.392814,0.306858,-0.036656,0.285975,0.517328,-0.021111,0.302473,0.399817,-0.024876,0.328303,0.345501,-0.029429,0.355768,0.295181,-0.035350,0.243829,0.540053,-0.032820,0.241634,0.441814,-0.033009,0.248095,0.390368,-0.033873,0.262584,0.340862,-0.037169
ok,0.267645,0.798525,0.000000,0.342541,0.742976,-0.009519,0.402613,0.680187,-0.022180,0.450585,0.638368,-0.038345,0.470503,0.596627,-0.053572,0.358234,0.530177,0.004460,0.391137,0.462115,-0.002895,0.415647,0.500689,-0.005456,0.420790,0.542194,-0.008085,0.324525,0.520865,-0.005327,0.335003,0.406623,-0.009827,0.358221,0.350226,-0.016678,0.379860,0.302148,-0.024687,0.289586,0.534480,-0.019019,0.295162,0.417284,-0.019459,0.313809,0.358052,-0.022466,0.336570,0.302992,-0.028317,0.256542,0.562631,-0.035555,0.251463,0.466032,-0.034343,0.255382,0.413024,-0.034278,0.270971,0.361451,-0.037333
ok,0.312605,0.822178,0.000000,0.387059,0.747327,0.004867,0.433095,0.682477,-0.000993,0.469454,0.637220,-0.012786,0.466197,0.592015,-0.024508,0.361263,0.550284,0.016830,0.398528,0.482214,0.011728,0.430988,0.515255,0.009990,0.441026,0.548834,0.007661,0.330446,0.548561,0.000112,0.336616,0.431273,-0.003559,0.357443,0.372950,-0.010113,0.375202,0.327065,-0.018021,0.305623,0.568689,-0.019440,0.307713,0.446996,-0.021136,0.320059,0.388183,-0.024981,0.333271,0.336816,-0.030963,0.287030,0.600952,-0.040333,0.277131,0.506369,-0.041491,0.279194,0.454220,-0.042524,0.290933,0.406661,-0.046040
ok,0.316176,0.827975,0.000000,0.390463,0.750143,0.006871,0.431778,0.685523,0.001852,0.466014,0.638615,-0.009700,0.465057,0.591365,-0.021551,0.355429,0.557056,0.019614,0.397116,0.487045,0.014533,0.430071,0.514139,0.012305,0.440859,0.542047,0.009553,0.327332,0.557240,0.001671,0.331382,0.437433,-0.001980,0.350369,0.376590,-0.008805,0.365768,0.328043,-0.017002,0.307058,0.577446,-0.019142,0.307160,0.452454,-0.021310,0.321318,0.392351,-0.025574,0.334346,0.341375,-0.031847,0.293589,0.607061,-0.041199,0.283151,0.512994,-0.043334,0.285306,0.459378,-0.045141,0.295317,0.410285,-0.049217
ok,0.320670,0.833571,0.000000,0.398699,0.754215,0.005943,0.439860,0.688449,0.001123,0.474536,0.637154,-0.009912,0.462427,0.590319,-0.020921,0.350046,0.566078,0.021298,0.385687,0.496786,0.017196,0.416949,0.520127,0.015416,0.427554,0.544968,0.013045,0.321913,0.563654,0.004401,0.324928,0.446773,0.002735,0.342388,0.389107,-0.003108,0.358559,0.340891,-0.010591,0.298859,0.582855,-0.015455,0.289991,0.460055,-0.015228,0.298371,0.401250,-0.017999,0.310856,0.349412,-0.023465,0.285233,0.613649,-0.036736,0.267210,0.519942,-0.036287,0.268970,0.465768,-0.036426,0.281506,0.417305,-0.039395
ok,0.325748,0.832532,0.000000,0.401640,0.756018,0.003252,0.443389,0.687213,-0.003418,0.474760,0.635400,-0.015936,0.462150,0.588717,-0.028316,0.351680,0.567112,0.017215,0.384187,0.496415,0.011530,0.414808,0.522027,0.008936,0.425703,0.548220,0.006030,0.322590,0.565440,0.000897,0.324964,0.448826,-0.002040,0.343782,0.392246,-0.008873,0.361521,0.343210,-0.017135,0.297320,0.585409,-0.018509,0.287300,0.462167,-0.019045,0.294566,0.403215,-0.022616,0.308446,0.349997,-0.028819,0.280643,0.617458,-0.039537,0.263337,0.520983,-0.039565,0.263753,0.465639,-0.040095,0.276570,0.415851,-0.043490
ok,0.303086,0.820205,0.000000,0.381545,0.758525,0.001474,0.428582,0.701367,-0.005902,0.464303,0.657491,-0.019083,0.472084,0.609905,-0.031918,0.363989,0.562536,0.018492,0.397157,0.501257,0.013729,0.428377,0.532243,0.011218,0.434991,0.562975,0.008536,0.335789,0.552143,0.004117,0.347688,0.443171,0.002741,0.374833,0.392120,-0.003229,0.395574,0.346955,-0.010697,0.306936,0.561163,-0.013531,0.308021,0.447147,-0.011611,0.324525,0.392110,-0.013007,0.342884,0.341184,-0.017936,0.280889,0.585443,-0.033224,0.267398,0.490447,-0.030688,0.272756,0.441170,-0.028933,0.288448,0.396863,-0.030626
