gesto,x0,y0,z0,x1,y1,z1,x2,y2,z2,x3,y3,z3,x4,y4,z4,x5,y5,z5,x6,y6,z6,x7,y7,z7,x8,y8,z8,x9,y9,z9,x10,y10,z10,x11,y11,z11,x12,y12,z12,x13,y13,z13,x14,y14,z14,x15,y15,z15,x16,y16,z16,x17,y17,z17,x18,y18,z18,x19,y19,z19,x20,y20,z20
dedos_cruzados,0.712812,0.805697,0.000000,0.613823,0.735297,-0.010072,0.557216,0.624614,-0.013318,0.545052,0.525525,-0.018985,0.549065,0.450305,-0.024723,0.621121,0.508893,0.019114,0.606077,0.388452,0.019309,0.600251,0.325004,0.016031,0.596748,0.273640,0.012302,0.673728,0.501543,0.014945,0.652078,0.379863,0.017400,0.637653,0.319033,0.010226,0.628437,0.269883,0.003415,0.723961,0.513952,0.006970,0.719039,0.390619,0.005707,0.707055,0.326162,-0.005171,0.698203,0.276276,-0.013992,0.778360,0.541973,-0.003492,0.801432,0.450877,-0.006575,0.812742,0.397192,-0.013421,0.818816,0.350500,-0.019589
dedos_cruzados,0.725354,0.789973,0.000000,0.634058,0.723011,-0.008007,0.577950,0.612712,-0.009461,0.565905,0.512404,-0.013642,0.571281,0.432415,-0.018096,0.628559,0.498516,0.022297,0.626037,0.380596,0.023675,0.627160,0.318411,0.021649,0.629936,0.266593,0.019044,0.683391,0.487273,0.017780,0.661845,0.376213,0.020639,0.644266,0.329881,0.015081,0.632869,0.289094,0.010159,0.737559,0.492825,0.009437,0.733132,0.371787,0.007756,0.722981,0.312337,-0.002974,0.716737,0.263746,-0.011106,0.795700,0.511970,-0.001083,0.820209,0.425481,-0.003950,0.837909,0.373522,-0.010887,0.851106,0.325666,-0.016912
dedos_cruzados,0.726981,0.800739,0.000000,0.633203,0.735467,-0.008630,0.575059,0.621324,-0.010177,0.564391,0.518116,-0.014133,0.576180,0.438126,-0.018296,0.633101,0.506286,0.020189,0.626393,0.389112,0.021127,0.623816,0.327107,0.019124,0.622821,0.276163,0.016566,0.686948,0.496106,0.016090,0.669217,0.377244,0.018849,0.651656,0.324832,0.013001,0.638823,0.280849,0.007640,0.739107,0.504294,0.008239,0.737948,0.379735,0.006409,0.728103,0.319788,-0.004318,0.721177,0.270946,-0.012398,0.794814,0.527269,-0.001758,0.819972,0.437393,-0.005270,0.834527,0.384266,-0.012410,0.843987,0.335427,-0.018446
dedos_cruzados,0.728590,0.798568,0.000000,0.632652,0.734248,-0.008506,0.572670,0.622102,-0.009631,0.560443,0.519845,-0.013145,0.570495,0.440473,-0.016930,0.630181,0.506792,0.020855,0.623273,0.388450,0.022309,0.620532,0.326490,0.020661,0.619619,0.275276,0.018230,0.684544,0.495566,0.016744,0.666684,0.376354,0.020177,0.651261,0.323733,0.014617,0.640869,0.280559,0.009251,0.737285,0.503174,0.008857,0.733000,0.378078,0.007125,0.722236,0.317280,-0.004024,0.715109,0.268045,-0.012510,0.794014,0.525728,-0.001133,0.819353,0.436581,-0.004973,0.833726,0.383742,-0.012556,0.843048,0.335555,-0.018935
dedos_cruzados,0.731407,0.799654,0.000000,0.632961,0.734901,-0.008791,0.572881,0.623638,-0.010350,0.561034,0.521733,-0.014120,0.570598,0.443729,-0.018130,0.629473,0.510142,0.018560,0.620341,0.391065,0.019315,0.617654,0.329568,0.017443,0.617311,0.278377,0.014894,0.683925,0.499475,0.014510,0.663915,0.380302,0.017202,0.649480,0.326577,0.011424,0.640799,0.280948,0.005873,0.736765,0.507446,0.006837,0.729544,0.382522,0.004469,0.717482,0.320936,-0.006756,0.710127,0.270779,-0.015236,0.793738,0.530152,-0.002870,0.817902,0.440055,-0.007077,0.831981,0.386907,-0.014648,0.841261,0.338819,-0.021014
dedos_cruzados,0.726068,0.801126,0.000000,0.626889,0.735528,-0.010234,0.569901,0.625807,-0.012673,0.559531,0.526440,-0.017114,0.563220,0.448804,-0.021623,0.629957,0.508841,0.018326,0.620342,0.391204,0.018843,0.615644,0.330840,0.016444,0.612466,0.281263,0.013579,0.684611,0.499614,0.015029,0.665731,0.378003,0.017273,0.648894,0.323546,0.010705,0.637191,0.278634,0.004720,0.736608,0.509924,0.008007,0.732205,0.386290,0.005859,0.719144,0.325744,-0.005458,0.709847,0.276922,-0.013967,0.791806,0.535909,-0.001259,0.814860,0.446547,-0.005009,0.826952,0.393547,-0.012455,0.833723,0.345080,-0.018736
dedos_cruzados,0.728808,0.802297,0.000000,0.627558,0.737193,-0.011365,0.569408,0.627433,-0.014345,0.559192,0.527307,-0.019152,0.563593,0.449706,-0.024043,0.629119,0.510124,0.016909,0.620571,0.391744,0.016871,0.615938,0.330774,0.014106,0.612805,0.280457,0.010970,0.684126,0.500474,0.013912,0.665613,0.378909,0.015674,0.648047,0.323425,0.008728,0.635553,0.277447,0.002423,0.736628,0.510936,0.007114,0.732561,0.387787,0.004415,0.719165,0.326429,-0.007370,0.709402,0.276789,-0.016186,0.792172,0.537566,-0.002004,0.815532,0.447879,-0.006251,0.827670,0.394580,-0.014071,0.834119,0.346186,-0.020620
dedos_cruzados,0.731224,0.809905,0.000000,0.631907,0.748462,-0.014985,0.570943,0.641347,-0.020622,0.556440,0.541488,-0.027632,0.555353,0.459773,-0.034620,0.618864,0.519992,0.013156,0.612457,0.396756,0.012086,0.609291,0.334850,0.008794,0.607510,0.286416,0.005486,0.674980,0.509002,0.011747,0.647563,0.387671,0.012374,0.625378,0.332330,0.005489,0.611256,0.285600,-0.000448,0.730240,0.517821,0.006386,0.725328,0.394286,0.003884,0.712303,0.330580,-0.006586,0.704501,0.280016,-0.014658,0.789598,0.542212,-0.001835,0.810835,0.450422,-0.005291,0.821653,0.396615,-0.011979,0.827508,0.348170,-0.017797
dedos_cruzados,0.739537,0.810964,0.000000,0.637934,0.750708,-0.016687,0.570903,0.650690,-0.024023,0.552583,0.553547,-0.032555,0.552720,0.474116,-0.040452,0.613808,0.529219,0.013086,0.594991,0.425984,0.011370,0.592608,0.394531,0.008856,0.592535,0.379420,0.006367,0.670643,0.513576,0.012193,0.635052,0.390361,0.012336,0.613956,0.331389,0.003831,0.600110,0.280604,-0.003624,0.727438,0.520623,0.006963,0.712955,0.396347,0.005494,0.696657,0.334313,-0.005070,0.685216,0.285799,-0.013722,0.788293,0.544953,-0.001369,0.802868,0.454179,-0.004083,0.809343,0.401531,-0.010498,0.810339,0.353816,-0.016295
dedos_cruzados,0.755833,0.808649,0.000000,0.654063,0.753239,-0.016551,0.583046,0.653238,-0.023030,0.561578,0.555340,-0.030519,0.560359,0.475899,-0.037847,0.623237,0.522570,0.011007,0.606794,0.404488,0.008467,0.598517,0.344733,0.004206,0.591521,0.297802,0.000397,0.678751,0.507738,0.009994,0.644716,0.383244,0.008746,0.620920,0.326577,0.000319,0.604284,0.278829,-0.006467,0.733832,0.513810,0.004907,0.719721,0.388709,0.000946,0.701649,0.328248,-0.010523,0.686799,0.279956,-0.018934,0.793393,0.536661,-0.003100,0.807906,0.443704,-0.008032,0.813576,0.391147,-0.015687,0.811818,0.344276,-0.021911
dedos_cruzados,0.764177,0.801581,0.000000,0.664201,0.751924,-0.016261,0.590908,0.659139,-0.022441,0.569087,0.565538,-0.029728,0.571930,0.489976,-0.036721,0.623108,0.521563,0.013045,0.602978,0.405346,0.011773,0.593636,0.347672,0.008309,0.587713,0.302553,0.005056,0.676754,0.504567,0.012232,0.640758,0.381395,0.012537,0.615693,0.325360,0.004872,0.599004,0.277974,-0.001437,0.732826,0.508282,0.007251,0.717490,0.384197,0.004800,0.696383,0.323902,-0.005935,0.678932,0.275851,-0.013986,0.795550,0.528356,-0.000717,0.807315,0.433585,-0.004623,0.810125,0.380993,-0.011663,0.805899,0.334577,-0.017501
