gesto,x0,y0,z0,x1,y1,z1,x2,y2,z2,x3,y3,z3,x4,y4,z4,x5,y5,z5,x6,y6,z6,x7,y7,z7,x8,y8,z8,x9,y9,z9,x10,y10,z10,x11,y11,z11,x12,y12,z12,x13,y13,z13,x14,y14,z14,x15,y15,z15,x16,y16,z16,x17,y17,z17,x18,y18,z18,x19,y19,z19,x20,y20,z20
puño,0.398001,0.752413,0.000000,0.494424,0.696443,-0.032189,0.575900,0.605508,-0.051089,0.607337,0.523767,-0.068169,0.548740,0.451448,-0.080663,0.524825,0.408467,-0.016817,0.537379,0.403172,-0.039316,0.524483,0.492193,-0.045985,0.526690,0.489412,-0.049555,0.455678,0.414790,-0.020805,0.471862,0.390700,-0.052202,0.460013,0.518109,-0.053055,0.465943,0.502067,-0.045748,0.382803,0.437907,-0.031649,0.401093,0.408031,-0.063461,0.395842,0.523115,-0.056677,0.400692,0.520116,-0.043347,0.315125,0.467669,-0.046545,0.318400,0.468654,-0.061229,0.335863,0.534683,-0.056862,0.352263,0.526790,-0.049006
puño,0.535388,0.791067,0.000000,0.618014,0.724780,-0.018273,0.689753,0.648826,-0.033556,0.707198,0.568184,-0.049266,0.661834,0.504495,-0.061163,0.652651,0.505569,-0.011204,0.683426,0.467107,-0.026786,0.664410,0.541396,-0.029811,0.638449,0.558792,-0.031498,0.594704,0.511026,-0.017509,0.632945,0.465132,-0.040148,0.616415,0.563589,-0.041637,0.598430,0.561470,-0.037725,0.537893,0.526445,-0.027482,0.570975,0.482326,-0.049032,0.565355,0.578241,-0.044154,0.547541,0.591835,-0.035250,0.481230,0.550176,-0.040105,0.501793,0.516212,-0.047744,0.514868,0.572084,-0.042961,0.510179,0.585311,-0.037080
puño,0.524917,0.809398,0.000000,0.591191,0.710202,-0.007172,0.632286,0.604564,-0.016914,0.622775,0.518193,-0.027850,0.561693,0.468383,-0.034949,0.545245,0.491409,-0.004374,0.573847,0.425880,-0.015047,0.586861,0.501493,-0.012366,0.566719,0.524312,-0.010443,0.490090,0.518625,-0.013805,0.529512,0.455775,-0.029707,0.551023,0.556045,-0.023304,0.522015,0.556469,-0.014238,0.444524,0.556776,-0.025848,0.480769,0.506620,-0.041835,0.507902,0.594886,-0.031828,0.478521,0.596478,-0.020312,0.403921,0.596954,-0.039545,0.435267,0.563777,-0.043860,0.464229,0.623599,-0.035300,0.445332,0.635208,-0.026873
puño,0.456273,0.812458,0.000000,0.554986,0.762301,-0.011237,0.639964,0.702900,-0.023655,0.665203,0.632203,-0.038406,0.613077,0.578364,-0.049663,0.611683,0.557177,0.001546,0.645767,0.513776,-0.010837,0.626978,0.585078,-0.014508,0.600526,0.607746,-0.016993,0.559833,0.549729,-0.007267,0.595676,0.511269,-0.026696,0.568220,0.607615,-0.031411,0.547761,0.611945,-0.030173,0.503876,0.550735,-0.018982,0.535691,0.504136,-0.036127,0.517365,0.595532,-0.033782,0.498809,0.613754,-0.027696,0.444412,0.560722,-0.032844,0.463389,0.516572,-0.035946,0.467111,0.571747,-0.030769,0.463770,0.592701,-0.025837
puño,0.523652,0.760064,0.000000,0.603311,0.675944,-0.004230,0.651842,0.598097,-0.011969,0.654558,0.521752,-0.022869,0.620303,0.465785,-0.031192,0.601303,0.500463,0.007309,0.637082,0.443130,-0.001236,0.641832,0.509724,-0.002571,0.619392,0.542421,-0.003525,0.564315,0.507633,-0.001639,0.608257,0.455200,-0.017180,0.615931,0.539643,-0.021862,0.596799,0.563134,-0.021210,0.527678,0.522733,-0.012477,0.569846,0.471786,-0.027009,0.579123,0.558002,-0.026278,0.555493,0.586927,-0.021945,0.488942,0.543505,-0.024710,0.524345,0.495955,-0.028533,0.537054,0.552101,-0.024921,0.520648,0.582574,-0.021054
puño,0.482006,0.768234,0.000000,0.570441,0.695085,-0.002192,0.631502,0.638007,-0.008205,0.660169,0.571273,-0.018922,0.648870,0.520872,-0.027518,0.605932,0.523079,0.018872,0.619726,0.446137,0.013770,0.625286,0.501803,0.011130,0.610733,0.545074,0.008890,0.573236,0.519652,0.008809,0.599771,0.447410,-0.003559,0.600932,0.517405,-0.013665,0.584478,0.561164,-0.017513,0.534297,0.525385,-0.003526,0.557553,0.454454,-0.015257,0.563533,0.529345,-0.021138,0.552237,0.580816,-0.022188,0.493239,0.539737,-0.017240,0.509156,0.471423,-0.020260,0.527097,0.513300,-0.020765,0.528745,0.555203,-0.020684
puño,0.481579,0.723517,0.000000,0.558942,0.644481,-0.013982,0.621065,0.545365,-0.025767,0.634877,0.450563,-0.039483,0.591253,0.373899,-0.049534,0.574042,0.402194,0.002841,0.572022,0.314325,-0.010416,0.566095,0.375364,-0.010745,0.555331,0.416154,-0.010165,0.506875,0.413051,-0.005507,0.502070,0.327080,-0.028771,0.507241,0.437699,-0.030276,0.511847,0.462798,-0.023236,0.441977,0.432113,-0.018155,0.429364,0.343488,-0.042642,0.442009,0.444690,-0.038224,0.449814,0.481916,-0.027162,0.374881,0.464111,-0.033029,0.366303,0.388874,-0.043861,0.388356,0.451071,-0.038941,0.400814,0.487063,-0.030957
puño,0.538585,0.773694,0.000000,0.606678,0.688809,-0.007840,0.655166,0.603437,-0.016624,0.653918,0.525896,-0.027917,0.612280,0.475299,-0.035961,0.627475,0.500748,0.005601,0.652833,0.425212,-0.003594,0.657357,0.481929,-0.003988,0.636963,0.512897,-0.003926,0.580538,0.511853,-0.002175,0.608750,0.443885,-0.016252,0.617798,0.520094,-0.018599,0.601104,0.529065,-0.016110,0.537317,0.528814,-0.012865,0.559095,0.472329,-0.025933,0.572921,0.548907,-0.024059,0.555290,0.568217,-0.018803,0.491635,0.550333,-0.025453,0.512158,0.499280,-0.028094,0.529427,0.549179,-0.023969,0.520722,0.574915,-0.019437
puño,0.585705,0.751672,0.000000,0.638350,0.643936,0.001013,0.659648,0.560182,-0.004978,0.648219,0.482514,-0.015233,0.610966,0.420378,-0.022922,0.596108,0.480742,0.014613,0.612967,0.393231,0.010202,0.631099,0.450743,0.012416,0.613543,0.490582,0.013513,0.562050,0.499803,0.003244,0.584615,0.419066,-0.007378,0.606895,0.491943,-0.008770,0.590021,0.521666,-0.005920,0.529384,0.522987,-0.009874,0.553593,0.451482,-0.020022,0.573982,0.523180,-0.017719,0.551188,0.550508,-0.012736,0.493929,0.552532,-0.023952,0.516855,0.486239,-0.026004,0.538915,0.532317,-0.021555,0.525590,0.563386,-0.016982
puño,0.512233,0.758007,0.000000,0.584684,0.682781,-0.012039,0.638493,0.607113,-0.022058,0.647386,0.527700,-0.033797,0.613199,0.463149,-0.042032,0.621534,0.495836,0.006278,0.641347,0.429051,-0.001218,0.640260,0.489349,-0.001154,0.619315,0.515529,-0.001201,0.573427,0.496574,0.000803,0.602044,0.430407,-0.012025,0.602064,0.506830,-0.014588,0.585965,0.511718,-0.012413,0.528189,0.505594,-0.008056,0.550007,0.444629,-0.020494,0.557549,0.525314,-0.018839,0.542414,0.546699,-0.013673,0.481889,0.523669,-0.019020,0.501357,0.472861,-0.020983,0.516744,0.522700,-0.017136,0.510344,0.547153,-0.012837
