gesto,x0,y0,z0,x1,y1,z1,x2,y2,z2,x3,y3,z3,x4,y4,z4,x5,y5,z5,x6,y6,z6,x7,y7,z7,x8,y8,z8,x9,y9,z9,x10,y10,z10,x11,y11,z11,x12,y12,z12,x13,y13,z13,x14,y14,z14,x15,y15,z15,x16,y16,z16,x17,y17,z17,x18,y18,z18,x19,y19,z19,x20,y20,z20;
paz,0.509894,0.855491,0.000000,0.444030,0.804758,-0.032660,0.423350,0.756790,-0.061756,0.457670,0.731389,-0.090511,0.504295,0.707905,-0.118410,0.466064,0.563664,-0.042609,0.451794,0.437386,-0.070620,0.448355,0.364648,-0.090288,0.446896,0.303407,-0.105015,0.533644,0.579372,-0.046812,0.581012,0.443066,-0.077655,0.609666,0.369954,-0.095284,0.635995,0.309559,-0.108553,0.580941,0.628070,-0.053998,0.596052,0.596450,-0.080983,0.545419,0.660887,-0.083280,0.512953,0.698680,-0.082681,0.603792,0.698092,-0.066422,0.591148,0.694015,-0.085823,0.535603,0.743270,-0.087750,0.496234,0.774672,-0.087735
paz,0.560236,0.831107,0.000000,0.495478,0.788796,-0.035082,0.467179,0.744708,-0.067468,0.495945,0.715051,-0.099243,0.546038,0.683125,-0.129830,0.493878,0.541212,-0.049462,0.469530,0.408665,-0.081641,0.456223,0.333451,-0.103848,0.446896,0.272508,-0.119906,0.564204,0.548670,-0.053123,0.603147,0.399266,-0.089096,0.628278,0.316699,-0.109584,0.651275,0.245828,-0.124116,0.619508,0.590477,-0.059499,0.634854,0.559387,-0.088268,0.591273,0.630807,-0.088928,0.563121,0.672988,-0.086800,0.654510,0.654703,-0.071474,0.652573,0.648590,-0.091157,0.607401,0.698567,-0.091917,0.573580,0.730391,-0.090672
paz,0.532830,0.744419,0.000000,0.481028,0.673833,-0.029462,0.479734,0.601744,-0.051867,0.539693,0.565744,-0.074022,0.591580,0.541522,-0.094763,0.528556,0.444088,-0.026935,0.520267,0.328087,-0.047547,0.520310,0.260431,-0.061999,0.521529,0.202640,-0.072756,0.588113,0.462547,-0.029237,0.628593,0.340072,-0.050839,0.656270,0.269856,-0.063787,0.682979,0.214965,-0.073371,0.627954,0.507791,-0.035404,0.648216,0.463715,-0.055869,0.607564,0.520417,-0.056913,0.580679,0.555391,-0.054969,0.649825,0.570962,-0.046418,0.655145,0.539840,-0.060904,0.612504,0.581785,-0.061293,0.581382,0.615709,-0.059728
paz,0.523764,0.741348,0.000000,0.461429,0.686638,-0.026854,0.434031,0.623457,-0.047230,0.472417,0.577078,-0.067688,0.512124,0.538676,-0.086731,0.432069,0.463370,-0.020994,0.392253,0.358499,-0.039096,0.369183,0.299637,-0.052392,0.350433,0.248766,-0.062453,0.490955,0.461658,-0.023175,0.496077,0.329385,-0.041704,0.494875,0.256951,-0.054836,0.496687,0.197656,-0.065058,0.540820,0.493464,-0.029144,0.544961,0.432264,-0.045919,0.516459,0.488890,-0.045968,0.500620,0.527541,-0.044101,0.579967,0.546300,-0.039526,0.577270,0.509075,-0.052445,0.549304,0.547133,-0.052236,0.531369,0.579638,-0.050169
paz,0.527030,0.769227,0.000000,0.465445,0.714222,-0.029218,0.452220,0.651292,-0.052567,0.504423,0.618536,-0.075471,0.551938,0.595516,-0.097090,0.480798,0.486780,-0.032008,0.461357,0.366593,-0.054430,0.451456,0.300672,-0.069717,0.442803,0.246882,-0.081170,0.538476,0.496723,-0.034686,0.569959,0.359394,-0.057326,0.585943,0.286183,-0.070892,0.602566,0.225737,-0.081632,0.580055,0.535913,-0.040739,0.595783,0.493545,-0.060400,0.561922,0.547188,-0.060720,0.541907,0.578760,-0.059294,0.606050,0.593864,-0.051632,0.601200,0.580039,-0.065647,0.561840,0.625104,-0.065608,0.535077,0.657611,-0.064207
paz,0.521443,0.824320,0.000000,0.470351,0.757768,-0.029906,0.463086,0.696984,-0.056119,0.513897,0.666555,-0.081827,0.572142,0.641903,-0.106313,0.535488,0.538123,-0.038843,0.540181,0.414978,-0.064281,0.549890,0.349843,-0.082318,0.559496,0.292960,-0.095598,0.595402,0.566122,-0.041646,0.652092,0.453862,-0.069884,0.692227,0.396147,-0.085395,0.726794,0.345714,-0.096555,0.637050,0.620384,-0.047078,0.652717,0.595714,-0.070977,0.595938,0.650162,-0.071601,0.555534,0.680282,-0.069661,0.655591,0.687781,-0.057331,0.658525,0.672164,-0.073095,0.604737,0.712158,-0.073158,0.563576,0.740112,-0.071820
paz,0.517206,0.803778,0.000000,0.448630,0.747630,-0.025828,0.423830,0.690997,-0.049042,0.467215,0.661340,-0.073121,0.511026,0.639445,-0.096375,0.451165,0.525281,-0.030256,0.429614,0.409739,-0.053961,0.416290,0.346066,-0.070568,0.405752,0.291310,-0.083034,0.514879,0.533611,-0.036332,0.534651,0.395002,-0.061036,0.541580,0.321927,-0.076102,0.551170,0.263799,-0.088121,0.564894,0.574156,-0.045549,0.568934,0.529141,-0.067210,0.530309,0.588127,-0.067700,0.508357,0.626046,-0.066449,0.598278,0.635813,-0.059403,0.584699,0.623019,-0.075757,0.540813,0.666871,-0.076064,0.512443,0.698275,-0.074785
paz,0.474125,0.810888,0.000000,0.399643,0.778470,-0.048635,0.369032,0.734373,-0.089187,0.408330,0.709762,-0.125763,0.472147,0.677301,-0.161446,0.407958,0.514183,-0.077164,0.377626,0.360317,-0.117858,0.356186,0.262371,-0.145770,0.339740,0.180750,-0.166013,0.486055,0.525793,-0.075707,0.534975,0.359088,-0.121840,0.564168,0.265073,-0.146964,0.592556,0.186574,-0.164552,0.544573,0.571076,-0.076636,0.570273,0.560299,-0.113830,0.514132,0.643253,-0.117192,0.477787,0.689243,-0.116252,0.580621,0.637675,-0.083906,0.580974,0.657119,-0.109558,0.525634,0.722391,-0.113155,0.482628,0.760350,-0.113729
paz,0.517418,0.755343,0.000000,0.458670,0.690114,-0.023128,0.444027,0.629509,-0.039447,0.471705,0.587385,-0.056020,0.499360,0.547376,-0.071079,0.464114,0.489360,-0.013572,0.445403,0.390279,-0.026432,0.439084,0.342185,-0.035356,0.433264,0.299764,-0.042233,0.515010,0.501786,-0.015355,0.540867,0.393452,-0.029312,0.553683,0.341302,-0.039044,0.562930,0.300528,-0.046325,0.554444,0.536606,-0.020682,0.552089,0.486818,-0.036257,0.517689,0.529061,-0.039028,0.495991,0.554835,-0.038318,0.578953,0.583586,-0.029674,0.571822,0.548008,-0.041380,0.539544,0.572439,-0.043171,0.516367,0.593330,-0.042641
paz,0.511585,0.706082,0.000000,0.450206,0.640077,-0.020410,0.431775,0.585159,-0.036299,0.444297,0.541063,-0.053788,0.480348,0.504721,-0.069639,0.464551,0.434781,-0.005016,0.440500,0.337399,-0.016260,0.430114,0.287904,-0.023759,0.422984,0.242951,-0.030001,0.515392,0.445194,-0.010308,0.530936,0.334562,-0.023071,0.541880,0.276642,-0.031661,0.550723,0.230661,-0.037841,0.553411,0.478043,-0.019955,0.548772,0.411697,-0.037357,0.523757,0.468116,-0.039788,0.510920,0.503260,-0.037849,0.580274,0.527487,-0.033077,0.582617,0.470745,-0.047258,0.556504,0.505161,-0.048677,0.539112,0.540136,-0.047101
paz,0.568428,0.735598,0.000000,0.530411,0.638532,-0.013135,0.538718,0.558948,-0.017348,0.575919,0.510346,-0.022429,0.621750,0.474078,-0.025855,0.597755,0.447778,0.013003,0.591557,0.345383,0.015621,0.595807,0.291069,0.016681,0.599684,0.247014,0.015862,0.645636,0.468241,0.012225,0.673299,0.361830,0.016852,0.697850,0.304219,0.015515,0.714641,0.264954,0.012674,0.674876,0.505380,0.007533,0.692454,0.437952,0.006098,0.684470,0.456544,0.001676,0.673847,0.467792,-0.000371,0.688099,0.555052,0.000133,0.691090,0.505934,-0.001838,0.670989,0.522943,-0.004358,0.652194,0.546463,-0.005532
paz,0.520489,0.698506,0.000000,0.468347,0.618744,-0.012237,0.461388,0.551831,-0.021124,0.480512,0.500597,-0.031803,0.507717,0.461561,-0.040809,0.490884,0.427074,0.003464,0.478781,0.332718,-0.002589,0.475126,0.286291,-0.006285,0.471987,0.247627,-0.009641,0.538428,0.440484,-0.001577,0.567019,0.336429,-0.008245,0.582669,0.286788,-0.012513,0.593010,0.250574,-0.015856,0.573964,0.474728,-0.010038,0.581797,0.406361,-0.020379,0.557216,0.440100,-0.020457,0.542813,0.462776,-0.018067,0.596763,0.523665,-0.021225,0.599904,0.472519,-0.029207,0.574379,0.491495,-0.029048,0.557296,0.515460,-0.027086
paz,0.492054,0.695458,0.000000,0.402584,0.641289,-0.015909,0.353649,0.598939,-0.026971,0.332149,0.546606,-0.039363,0.338377,0.502099,-0.050111,0.345690,0.457743,0.002411,0.288478,0.369996,-0.002258,0.263690,0.324698,-0.004061,0.249047,0.284381,-0.006358,0.388380,0.449282,-0.001558,0.357287,0.335399,-0.007687,0.344795,0.279251,-0.011750,0.338480,0.237131,-0.014912,0.426895,0.464404,-0.009376,0.390317,0.392552,-0.022046,0.371506,0.446102,-0.022688,0.368155,0.483371,-0.019433,0.464967,0.496667,-0.019838,0.434514,0.443993,-0.031431,0.413952,0.478690,-0.032098,0.406989,0.515411,-0.029633
paz,0.506570,0.694632,0.000000,0.422455,0.624316,-0.009077,0.387742,0.565127,-0.016115,0.382876,0.512589,-0.026239,0.405112,0.480510,-0.034914,0.414495,0.436881,0.010677,0.376863,0.341959,0.006918,0.361791,0.292520,0.005116,0.353619,0.247534,0.002730,0.459417,0.437599,0.003214,0.458841,0.327825,-0.001380,0.461426,0.273177,-0.004357,0.466725,0.232787,-0.006826,0.494282,0.460819,-0.007901,0.474533,0.397806,-0.018383,0.448738,0.449448,-0.017605,0.439164,0.481393,-0.013717,0.521488,0.502060,-0.021556,0.504731,0.446485,-0.030777,0.479228,0.479471,-0.030076,0.466542,0.514952,-0.026888
paz,0.531171,0.732536,0.000000,0.469162,0.645811,-0.016342,0.451589,0.586996,-0.031462,0.454816,0.542052,-0.048510,0.496092,0.518788,-0.064279,0.537409,0.449034,-0.010161,0.543019,0.338727,-0.021581,0.555719,0.285967,-0.029173,0.566805,0.241711,-0.035955,0.582630,0.480353,-0.017624,0.640869,0.396620,-0.031693,0.682632,0.351365,-0.038829,0.715099,0.309257,-0.044138,0.611727,0.530302,-0.027992,0.617805,0.494222,-0.044942,0.564718,0.539227,-0.045523,0.527950,0.565012,-0.043073,0.619068,0.590556,-0.041725,0.622255,0.557587,-0.054131,0.575358,0.587496,-0.054289,0.539660,0.614963,-0.052467
paz,0.534965,0.703883,0.000000,0.487346,0.609285,0.001024,0.464026,0.529187,-0.000935,0.435584,0.470203,-0.006414,0.409256,0.429364,-0.011153,0.510663,0.429512,0.004392,0.509066,0.317857,-0.000333,0.508961,0.257527,-0.002846,0.509124,0.204767,-0.006073,0.524489,0.446186,-0.006508,0.519382,0.338283,-0.013368,0.514369,0.272108,-0.017959,0.512402,0.221237,-0.022550,0.531399,0.480026,-0.018499,0.496295,0.439897,-0.027177,0.477400,0.487880,-0.026226,0.472484,0.520455,-0.023714,0.528691,0.524130,-0.032448,0.486664,0.490661,-0.040703,0.451353,0.497831,-0.041908,0.431690,0.503635,-0.041060
paz,0.518268,0.695831,0.000000,0.476873,0.606940,-0.017759,0.488194,0.524124,-0.026141,0.540513,0.472736,-0.034612,0.579572,0.433456,-0.041246,0.512535,0.415396,0.002105,0.510086,0.319410,-0.001720,0.511953,0.268197,-0.004059,0.513320,0.224542,-0.006553,0.557621,0.431203,0.001713,0.587770,0.326173,-0.000594,0.604149,0.270341,-0.003434,0.615743,0.226786,-0.006667,0.589770,0.467084,-0.002752,0.604068,0.405801,-0.009224,0.582328,0.429033,-0.010551,0.566479,0.440001,-0.009804,0.610126,0.515792,-0.010450,0.613304,0.470245,-0.015733,0.586859,0.484528,-0.016657,0.565646,0.499477,-0.016005
paz,0.539676,0.693736,0.000000,0.499085,0.607682,-0.022373,0.508571,0.531568,-0.032513,0.563496,0.478909,-0.042056,0.608182,0.434468,-0.049791,0.526836,0.415105,0.000283,0.522319,0.317666,-0.002219,0.526405,0.265819,-0.004174,0.528790,0.221936,-0.006641,0.574848,0.424079,0.002160,0.596810,0.318075,0.001455,0.616243,0.259451,-0.002381,0.627307,0.215572,-0.006688,0.609460,0.451500,-0.000504,0.626928,0.381927,-0.006587,0.618538,0.400342,-0.011778,0.607226,0.413683,-0.013826,0.634503,0.492247,-0.006499,0.643699,0.443602,-0.011660,0.630757,0.453539,-0.015230,0.615905,0.468395,-0.016833
paz,0.546618,0.683772,0.000000,0.517165,0.592510,-0.018690,0.533306,0.512848,-0.027112,0.591528,0.465015,-0.035344,0.644778,0.424453,-0.042021,0.560184,0.401520,0.001805,0.556220,0.304625,0.000080,0.562204,0.251870,-0.001735,0.565804,0.207224,-0.004124,0.602743,0.413764,0.002969,0.621587,0.306058,0.003656,0.638176,0.248375,0.000454,0.647866,0.206232,-0.003796,0.632159,0.444959,0.000141,0.656168,0.376927,-0.003027,0.650953,0.391309,-0.006887,0.642063,0.402925,-0.008982,0.649950,0.490577,-0.005852,0.665674,0.450702,-0.008613,0.656037,0.462772,-0.011105,0.644010,0.478928,-0.012494
paz,0.507941,0.683508,0.000000,0.468688,0.574670,-0.001854,0.470455,0.495449,-0.003469,0.493631,0.445646,-0.007527,0.511449,0.410575,-0.010044,0.499390,0.412164,0.011258,0.497259,0.317566,0.010538,0.499742,0.269132,0.010389,0.502808,0.228486,0.009525,0.533602,0.429659,0.005376,0.559534,0.327526,0.004828,0.569189,0.275283,0.004020,0.576769,0.234585,0.002409,0.561174,0.462987,-0.002526,0.563775,0.396165,-0.005182,0.534303,0.415841,-0.002989,0.517588,0.429267,-0.000454,0.581984,0.506445,-0.012321,0.578263,0.458022,-0.013757,0.548585,0.464232,-0.011959,0.528710,0.474804,-0.009807
paz,0.444248,0.677752,0.000000,0.397706,0.591543,-0.012522,0.393006,0.515587,-0.023792,0.442425,0.469199,-0.036856,0.487353,0.434367,-0.048457,0.440599,0.402391,-0.005706,0.420034,0.293631,-0.016273,0.411682,0.233097,-0.024370,0.409749,0.179040,-0.031125,0.485161,0.413396,-0.011394,0.500236,0.296604,-0.022279,0.512061,0.234259,-0.029679,0.527146,0.187425,-0.036068,0.522009,0.448887,-0.019731,0.531337,0.383053,-0.030723,0.503332,0.423598,-0.029415,0.487593,0.455579,-0.026992,0.549541,0.501754,-0.031027,0.560188,0.458539,-0.039433,0.532406,0.480349,-0.038290,0.512965,0.505674,-0.035994
