gesto,x0,y0,z0,x1,y1,z1,x2,y2,z2,x3,y3,z3,x4,y4,z4,x5,y5,z5,x6,y6,z6,x7,y7,z7,x8,y8,z8,x9,y9,z9,x10,y10,z10,x11,y11,z11,x12,y12,z12,x13,y13,z13,x14,y14,z14,x15,y15,z15,x16,y16,z16,x17,y17,z17,x18,y18,z18,x19,y19,z19,x20,y20,z20
saludo_alien,0.700238,0.697058,-0.0,0.641984,0.630056,-0.007322,0.598114,0.54466,-0.012496,0.551671,0.483507,-0.020287,0.484853,0.455028,-0.028185,0.64637,0.41477,0.005141,0.63208,0.316344,-0.001454,0.627937,0.259233,-0.006617,0.624316,0.205483,-0.010722,0.688532,0.405616,-0.00216,0.662139,0.287962,-0.006984,0.648098,0.226925,-0.01305,0.637273,0.16507,-0.018921,0.728705,0.417401,-0.012556,0.763216,0.315504,-0.019496,0.793539,0.261598,-0.027529,0.815712,0.20629,-0.033488,0.760061,0.445882,-0.025418,0.784577,0.370895,-0.030101,0.802712,0.332834,-0.035353,0.81441,0.291278,-0.040044
saludo_alien,0.636248,0.740963,-0.0,0.56246,0.683215,-0.009478,0.509432,0.605735,-0.018263,0.45999,0.55325,-0.029611,0.390577,0.528162,-0.041538,0.550661,0.46187,-0.002439,0.531014,0.36563,-0.012921,0.522028,0.311368,-0.021144,0.513745,0.260551,-0.027621,0.59292,0.454184,-0.010941,0.570219,0.340387,-0.018942,0.552094,0.278418,-0.027198,0.537732,0.220436,-0.035322,0.635351,0.472272,-0.022518,0.665265,0.37266,-0.031802,0.683346,0.31589,-0.041236,0.695001,0.258968,-0.048947,0.671046,0.509195,-0.036654,0.694186,0.435449,-0.044479,0.703377,0.393787,-0.051262,0.707079,0.347797,-0.05745
saludo_alien,0.613796,0.759052,-0.0,0.517353,0.721838,-0.024466,0.443512,0.638329,-0.043019,0.370143,0.581653,-0.062232,0.284772,0.557319,-0.082623,0.487784,0.446117,-0.024435,0.455277,0.327649,-0.045509,0.436771,0.25284,-0.061151,0.420746,0.186881,-0.072896,0.547902,0.430079,-0.030454,0.510417,0.290991,-0.049237,0.483859,0.203098,-0.065372,0.46308,0.121778,-0.079178,0.608498,0.448233,-0.040559,0.640124,0.314774,-0.061159,0.666526,0.231004,-0.079248,0.685593,0.149054,-0.092582,0.664297,0.492018,-0.054142,0.686555,0.38372,-0.071558,0.701395,0.324596,-0.084782,0.71124,0.267943,-0.095803
saludo_alien,0.58569,0.806018,-0.0,0.4932,0.76454,-0.021698,0.423644,0.679087,-0.041159,0.35317,0.621717,-0.061771,0.27227,0.599227,-0.083829,0.466488,0.491927,-0.028378,0.435954,0.367091,-0.051969,0.419923,0.288539,-0.069367,0.405887,0.221559,-0.082442,0.522301,0.479217,-0.037187,0.489161,0.335454,-0.058642,0.460979,0.246838,-0.075962,0.437852,0.162753,-0.090766,0.581697,0.501363,-0.04938,0.612771,0.363825,-0.071265,0.639026,0.278003,-0.089006,0.660344,0.193701,-0.10253,0.638064,0.548577,-0.064761,0.660859,0.439962,-0.083181,0.674362,0.380023,-0.096066,0.686402,0.322797,-0.107152
saludo_alien,0.577354,0.835209,-0.0,0.483069,0.794532,-0.024419,0.411057,0.713544,-0.045759,0.338726,0.658118,-0.067615,0.258534,0.635094,-0.090509,0.465658,0.520796,-0.033917,0.440013,0.393397,-0.058935,0.428808,0.317092,-0.076273,0.417943,0.252906,-0.089224,0.524161,0.511143,-0.041414,0.495485,0.365808,-0.065051,0.468848,0.278996,-0.081992,0.448958,0.196792,-0.096331,0.583862,0.53903,-0.052342,0.629821,0.408108,-0.07699,0.659624,0.328175,-0.094659,0.683588,0.246693,-0.10735,0.636974,0.594632,-0.066556,0.673275,0.495358,-0.086947,0.69431,0.44255,-0.099995,0.711929,0.390228,-0.110647
saludo_alien,0.58148,0.827142,-0.0,0.489186,0.787626,-0.021842,0.416649,0.706858,-0.040757,0.342454,0.654198,-0.060778,0.262618,0.633296,-0.082123,0.468856,0.518626,-0.028504,0.443169,0.39049,-0.051629,0.431542,0.313983,-0.067867,0.42055,0.250405,-0.08003,0.523866,0.507771,-0.03706,0.497271,0.361282,-0.058135,0.472752,0.274117,-0.074262,0.453685,0.192448,-0.088113,0.580643,0.53067,-0.04915,0.610536,0.392602,-0.071602,0.629045,0.31199,-0.089244,0.645117,0.231149,-0.10218,0.632987,0.579079,-0.064391,0.655876,0.474923,-0.083654,0.668444,0.417567,-0.09694,0.681356,0.362107,-0.10791
saludo_alien,0.58312,0.779581,-0.0,0.495026,0.736812,-0.011163,0.428661,0.661931,-0.023549,0.37526,0.609741,-0.038435,0.318998,0.580161,-0.054894,0.466761,0.486976,-0.013532,0.44346,0.367171,-0.030661,0.429378,0.300751,-0.043736,0.417522,0.242924,-0.053665,0.507975,0.47903,-0.024017,0.484441,0.343804,-0.038931,0.464417,0.267828,-0.052101,0.44909,0.199071,-0.063616,0.553953,0.498228,-0.037079,0.556182,0.365556,-0.05236,0.559052,0.289617,-0.066052,0.56342,0.217608,-0.076874,0.600453,0.539607,-0.052401,0.602625,0.444139,-0.066484,0.600113,0.389015,-0.076657,0.60122,0.334921,-0.085368
saludo_alien,0.670942,0.800035,-0.0,0.590084,0.751555,-0.018071,0.529252,0.678807,-0.032178,0.469704,0.630339,-0.047641,0.402631,0.608096,-0.063539,0.589405,0.518916,-0.013413,0.57572,0.416544,-0.029113,0.571422,0.358089,-0.040793,0.567844,0.304118,-0.049271,0.640314,0.509318,-0.018956,0.617819,0.383908,-0.032976,0.599767,0.319442,-0.044892,0.589329,0.254765,-0.054983,0.690798,0.527773,-0.027954,0.725102,0.417562,-0.042105,0.749678,0.36235,-0.054033,0.769756,0.304483,-0.062802,0.732771,0.567556,-0.040216,0.759827,0.48891,-0.050986,0.773719,0.448511,-0.059264,0.783683,0.402465,-0.06636
saludo_alien,0.646538,0.777075,-0.0,0.577017,0.726293,-0.01597,0.522836,0.660427,-0.028025,0.468359,0.614872,-0.041614,0.407108,0.590302,-0.055612,0.578497,0.515884,-0.009065,0.566841,0.420258,-0.021859,0.563507,0.367704,-0.031785,0.562245,0.31716,-0.039044,0.620919,0.509044,-0.014156,0.599714,0.394194,-0.024975,0.584105,0.337002,-0.035048,0.576456,0.280504,-0.043905,0.664126,0.524584,-0.022497,0.693353,0.426243,-0.033759,0.715347,0.3773,-0.04381,0.734497,0.325409,-0.051324,0.699352,0.557363,-0.033948,0.722394,0.487122,-0.042427,0.7368,0.450673,-0.04924,0.748571,0.408845,-0.055157
saludo_alien,0.638357,0.753633,-0.0,0.571759,0.701127,-0.01268,0.518351,0.637431,-0.023277,0.46296,0.592961,-0.035685,0.402434,0.569059,-0.048544,0.566433,0.499687,-0.007445,0.554431,0.40545,-0.018699,0.550867,0.355825,-0.027352,0.549481,0.309387,-0.033621,0.60397,0.494578,-0.013144,0.583535,0.388795,-0.022582,0.569932,0.339715,-0.031142,0.562331,0.292678,-0.038634,0.643399,0.509809,-0.021528,0.671118,0.419439,-0.031237,0.690257,0.374466,-0.040081,0.70592,0.32775,-0.046742,0.675893,0.540282,-0.032636,0.698009,0.475339,-0.039297,0.710985,0.445205,-0.044822,0.720522,0.411407,-0.049819
