gesto,x0,y0,z0,x1,y1,z1,x2,y2,z2,x3,y3,z3,x4,y4,z4,x5,y5,z5,x6,y6,z6,x7,y7,z7,x8,y8,z8,x9,y9,z9,x10,y10,z10,x11,y11,z11,x12,y12,z12,x13,y13,z13,x14,y14,z14,x15,y15,z15,x16,y16,z16,x17,y17,z17,x18,y18,z18,x19,y19,z19,x20,y20,z20
metal,0.539055,0.762207,-0.000000,0.430602,0.703099,-0.006964,0.380938,0.564913,-0.011052,0.387899,0.441705,-0.020222,0.363497,0.346345,-0.028805,0.418648,0.442173,0.019572,0.380626,0.299421,0.002832,0.360537,0.205679,-0.014466,0.344933,0.130811,-0.024924,0.484502,0.436588,0.012284,0.457630,0.363089,-0.019541,0.453110,0.479314,-0.037062,0.453854,0.562190,-0.037804,0.552207,0.441979,0.001894,0.523072,0.365058,-0.027196,0.503535,0.472131,-0.035085,0.497413,0.550240,-0.030063,0.625677,0.456744,-0.010865,0.630790,0.322154,-0.026677,0.625954,0.249476,-0.034428,0.621322,0.183648,-0.035924
metal,0.527849,0.758162,-0.000000,0.424485,0.700878,-0.009311,0.375157,0.566779,-0.014177,0.381700,0.447058,-0.023473,0.357693,0.352720,-0.032228,0.405718,0.438165,0.015940,0.368165,0.300638,-0.002014,0.349365,0.207351,-0.019801,0.335651,0.133575,-0.030399,0.473213,0.433670,0.009417,0.448975,0.358759,-0.023178,0.448369,0.478271,-0.040382,0.452816,0.565640,-0.040901,0.539920,0.440642,-0.000448,0.514483,0.365334,-0.030546,0.495302,0.473178,-0.037947,0.489563,0.553001,-0.032554,0.612983,0.455608,-0.012901,0.616564,0.322353,-0.030398,0.615243,0.250592,-0.038410,0.614351,0.185329,-0.039798
metal,0.533378,0.770625,-0.000000,0.427582,0.708594,-0.007333,0.378049,0.577944,-0.011334,0.382986,0.459704,-0.020153,0.354579,0.366930,-0.028192,0.417962,0.458611,0.019643,0.377795,0.318098,0.002658,0.354280,0.226819,-0.014457,0.337088,0.152975,-0.024741,0.480422,0.455776,0.012506,0.447661,0.378826,-0.019405,0.444519,0.495550,-0.036536,0.450626,0.576976,-0.036993,0.542861,0.461742,0.002078,0.512087,0.383883,-0.027198,0.493603,0.490082,-0.034817,0.491702,0.565795,-0.029584,0.613341,0.475753,-0.010730,0.617103,0.343533,-0.026987,0.613166,0.271377,-0.034757,0.611085,0.203841,-0.036153
metal,0.529772,0.777102,0.000000,0.428484,0.713314,-0.004657,0.382210,0.585724,-0.007035,0.384558,0.474447,-0.014346,0.357161,0.388432,-0.020956,0.416772,0.473725,0.022343,0.377171,0.345549,0.008026,0.354607,0.262612,-0.006643,0.338915,0.193736,-0.015232,0.474629,0.470434,0.014862,0.442167,0.395106,-0.012597,0.439747,0.503337,-0.027143,0.447965,0.579684,-0.026835,0.531752,0.476916,0.004385,0.500537,0.399481,-0.020803,0.483464,0.499517,-0.026237,0.482598,0.569463,-0.020506,0.597506,0.489380,-0.008280,0.599773,0.367818,-0.021746,0.597135,0.303582,-0.027475,0.595710,0.240120,-0.027788
metal,0.531530,0.781951,0.000000,0.428686,0.718029,-0.003988,0.383387,0.595394,-0.006315,0.386822,0.486339,-0.013879,0.361397,0.397894,-0.020799,0.417783,0.484603,0.023933,0.377701,0.353438,0.010186,0.354334,0.271707,-0.004446,0.336868,0.204862,-0.013165,0.474632,0.479548,0.016107,0.439366,0.407985,-0.011419,0.439694,0.517484,-0.026637,0.449845,0.594806,-0.026738,0.531540,0.483593,0.005404,0.497951,0.407100,-0.019868,0.482741,0.506248,-0.026197,0.483522,0.576568,-0.021153,0.597369,0.493956,-0.007357,0.599389,0.374537,-0.020625,0.594728,0.310782,-0.026662,0.591062,0.247693,-0.027320
metal,0.537960,0.781611,0.000000,0.438105,0.718169,-0.003488,0.391996,0.593626,-0.004924,0.394425,0.483446,-0.011530,0.371585,0.395673,-0.017468,0.426284,0.483536,0.025421,0.387490,0.353846,0.013185,0.365774,0.272344,-0.000223,0.349504,0.205248,-0.008071,0.481283,0.479995,0.018057,0.451375,0.407761,-0.007328,0.453259,0.516689,-0.021250,0.462418,0.592833,-0.020617,0.538194,0.484430,0.007815,0.509357,0.407737,-0.015696,0.496080,0.503245,-0.021715,0.496832,0.571947,-0.016573,0.604336,0.494939,-0.004421,0.609166,0.375337,-0.016319,0.605717,0.311452,-0.021838,0.603345,0.249687,-0.022187
metal,0.541420,0.772157,0.000000,0.443023,0.707446,-0.002706,0.395883,0.585612,-0.005438,0.388373,0.480860,-0.013717,0.339492,0.397248,-0.021221,0.431579,0.470494,0.022595,0.395833,0.341996,0.006982,0.373718,0.262995,-0.008554,0.356925,0.197364,-0.017634,0.488126,0.470572,0.013440,0.453011,0.401383,-0.015585,0.450398,0.511270,-0.030961,0.458708,0.583867,-0.031140,0.545879,0.477710,0.001398,0.512346,0.407059,-0.024380,0.497908,0.506166,-0.029980,0.498142,0.573115,-0.024460,0.612925,0.490438,-0.012813,0.615947,0.374685,-0.026138,0.612442,0.312312,-0.031688,0.609204,0.249031,-0.031936
metal,0.567792,0.792901,0.000000,0.478266,0.740455,-0.013116,0.432227,0.634191,-0.019641,0.430432,0.534400,-0.029628,0.410262,0.447733,-0.039104,0.453101,0.493803,0.014236,0.415252,0.373281,-0.001896,0.395124,0.303314,-0.017218,0.380934,0.245356,-0.026341,0.510306,0.489091,0.009187,0.486760,0.398220,-0.019686,0.476813,0.494278,-0.035607,0.478235,0.562879,-0.037036,0.566606,0.496125,-0.000066,0.545165,0.396459,-0.027020,0.523400,0.482116,-0.036967,0.516767,0.547680,-0.034775,0.629181,0.513122,-0.012037,0.635551,0.407375,-0.027646,0.633658,0.350581,-0.037333,0.636455,0.295298,-0.040786
metal,0.562241,0.794372,0.000000,0.479932,0.738747,-0.014540,0.439675,0.629641,-0.021708,0.443945,0.525788,-0.031650,0.425433,0.437404,-0.040667,0.457181,0.492736,0.012369,0.421466,0.371775,-0.002876,0.404923,0.301119,-0.016852,0.392767,0.243991,-0.025146,0.515466,0.487693,0.008517,0.506897,0.396526,-0.018171,0.498374,0.490106,-0.032024,0.493579,0.554652,-0.032531,0.571469,0.496718,0.000359,0.562780,0.396753,-0.025404,0.541544,0.482527,-0.034229,0.529553,0.545893,-0.031476,0.632561,0.516416,-0.010506,0.642511,0.410999,-0.025419,0.645029,0.354442,-0.034484,0.648913,0.298127,-0.037580
metal,0.557606,0.802517,0.000000,0.475716,0.727980,-0.011045,0.446042,0.627888,-0.017931,0.456305,0.529475,-0.028719,0.449065,0.446772,-0.038403,0.464867,0.501965,0.016248,0.429881,0.375747,0.001491,0.412809,0.301987,-0.011890,0.402330,0.241928,-0.020073,0.524210,0.499375,0.009560,0.518276,0.401024,-0.018043,0.506491,0.494633,-0.031610,0.504221,0.555579,-0.031601,0.579017,0.510840,-0.001372,0.573959,0.405342,-0.028374,0.548577,0.493592,-0.037372,0.537556,0.556585,-0.034229,0.639413,0.535807,-0.014637,0.656728,0.431219,-0.029781,0.664133,0.375573,-0.039076,0.675387,0.319681,-0.042322
metal,0.551772,0.803202,0.000000,0.470326,0.730977,-0.012698,0.440196,0.632100,-0.020230,0.451375,0.534278,-0.031155,0.441629,0.452330,-0.040863,0.460356,0.502995,0.014456,0.426546,0.376299,-0.000435,0.409822,0.301793,-0.013955,0.398587,0.241083,-0.022218,0.519319,0.500007,0.008927,0.510472,0.403667,-0.018388,0.500746,0.499209,-0.031738,0.499892,0.560194,-0.031584,0.573441,0.510407,-0.000885,0.566880,0.406594,-0.027452,0.544642,0.494904,-0.036627,0.534993,0.555921,-0.033714,0.634510,0.534017,-0.013104,0.651540,0.431799,-0.027790,0.660086,0.377863,-0.037042,0.670800,0.322307,-0.040291
metal,0.549816,0.798788,0.000000,0.469371,0.727330,-0.014019,0.438741,0.630259,-0.022466,0.447681,0.533968,-0.034088,0.433522,0.449823,-0.044504,0.458262,0.497324,0.012764,0.427461,0.371895,-0.002877,0.410980,0.296784,-0.017588,0.400745,0.234843,-0.026767,0.518895,0.496398,0.007815,0.511698,0.402901,-0.020771,0.499763,0.497722,-0.035701,0.498168,0.559581,-0.036662,0.574055,0.508916,-0.001299,0.569189,0.407912,-0.028427,0.544219,0.496689,-0.038241,0.533419,0.558943,-0.035886,0.635090,0.533792,-0.012927,0.653552,0.431995,-0.027857,0.662815,0.377286,-0.037424,0.674986,0.321121,-0.041040
metal,0.552521,0.802741,0.000000,0.472922,0.735416,-0.013952,0.441199,0.635818,-0.022700,0.448968,0.540076,-0.034754,0.437235,0.457467,-0.045805,0.463097,0.499024,0.011068,0.431386,0.372728,-0.005477,0.414280,0.296299,-0.020721,0.402897,0.233175,-0.030124,0.522682,0.498423,0.005899,0.513453,0.405825,-0.023270,0.501572,0.502994,-0.038097,0.499301,0.568034,-0.038938,0.577469,0.511459,-0.003368,0.569372,0.413471,-0.030882,0.544010,0.504138,-0.040100,0.532827,0.566742,-0.037389,0.637645,0.535867,-0.015239,0.655495,0.431881,-0.030815,0.664463,0.377558,-0.040128,0.676004,0.320549,-0.043489
metal,0.556837,0.804076,0.000000,0.475674,0.735050,-0.013727,0.441866,0.638105,-0.022859,0.447604,0.544013,-0.035423,0.435506,0.459965,-0.046915,0.467156,0.503244,0.011235,0.435197,0.377367,-0.005473,0.416920,0.301044,-0.020816,0.403820,0.238804,-0.030197,0.526393,0.502903,0.005853,0.512393,0.411162,-0.023759,0.499045,0.508224,-0.038721,0.495999,0.574469,-0.039443,0.580945,0.515422,-0.003571,0.569351,0.420104,-0.031097,0.542449,0.510742,-0.040051,0.531625,0.573182,-0.037149,0.641294,0.538957,-0.015597,0.659077,0.434211,-0.031069,0.666281,0.378820,-0.040073,0.677136,0.320872,-0.043211
