gesto,x0,y0,z0,x1,y1,z1,x2,y2,z2,x3,y3,z3,x4,y4,z4,x5,y5,z5,x6,y6,z6,x7,y7,z7,x8,y8,z8,x9,y9,z9,x10,y10,z10,x11,y11,z11,x12,y12,z12,x13,y13,z13,x14,y14,z14,x15,y15,z15,x16,y16,z16,x17,y17,z17,x18,y18,z18,x19,y19,z19,x20,y20,z20
dedos_juntos,0.594653,0.858935,0.000000,0.574758,0.736210,-0.014004,0.610198,0.621366,-0.009316,0.649024,0.512637,-0.001026,0.661685,0.412127,0.009464,0.718893,0.594687,0.022375,0.734957,0.462707,0.045333,0.707182,0.419485,0.063606,0.670387,0.403658,0.076603,0.743041,0.617169,0.041004,0.756530,0.486536,0.070756,0.719190,0.447369,0.088014,0.675477,0.428675,0.099281,0.745673,0.639836,0.058143,0.754286,0.524258,0.085344,0.724535,0.480635,0.096045,0.695329,0.463249,0.101567,0.731980,0.663576,0.072896,0.739193,0.574614,0.095819,0.718352,0.544122,0.105639,0.695426,0.535291,0.112285
dedos_juntos,0.604903,0.855458,0.000000,0.562122,0.736868,-0.013035,0.586146,0.628987,-0.008202,0.625545,0.527933,0.000530,0.645719,0.434933,0.011637,0.705658,0.600328,0.018943,0.719536,0.466939,0.041383,0.692186,0.427141,0.060174,0.656805,0.414363,0.073821,0.742231,0.623874,0.037900,0.755280,0.490101,0.066719,0.717089,0.452376,0.084915,0.672681,0.435603,0.097005,0.755307,0.647610,0.055797,0.766532,0.533621,0.082272,0.734469,0.491081,0.093834,0.703331,0.474178,0.100312,0.748629,0.671749,0.071513,0.756988,0.585585,0.094129,0.734399,0.554213,0.104309,0.709935,0.544079,0.111332
dedos_juntos,0.605250,0.854767,0.000000,0.559994,0.737562,-0.012922,0.581284,0.631062,-0.007029,0.622580,0.533063,0.002555,0.643820,0.445652,0.014704,0.705804,0.597999,0.023737,0.717541,0.472330,0.047028,0.691013,0.436632,0.065400,0.657018,0.424374,0.078626,0.740789,0.621670,0.042574,0.751095,0.497988,0.072905,0.714426,0.463779,0.090399,0.672094,0.446399,0.101583,0.752707,0.647376,0.059920,0.759246,0.541426,0.087241,0.727286,0.502216,0.097854,0.696198,0.485411,0.103431,0.746122,0.673183,0.074942,0.751041,0.590984,0.097926,0.728911,0.560052,0.107578,0.705268,0.548712,0.113997
dedos_juntos,0.603292,0.853318,0.000000,0.559023,0.735455,-0.014133,0.581007,0.631239,-0.008560,0.624166,0.535405,0.000918,0.647172,0.448546,0.013043,0.701544,0.596215,0.024394,0.715098,0.470732,0.047758,0.689106,0.434699,0.065779,0.655029,0.423225,0.078741,0.737406,0.621050,0.044055,0.747275,0.498402,0.074747,0.710861,0.462165,0.091717,0.667075,0.443954,0.102453,0.750768,0.646796,0.061995,0.755360,0.541021,0.089739,0.724762,0.500355,0.099750,0.693928,0.482087,0.104737,0.745411,0.671926,0.077451,0.748099,0.591716,0.100822,0.727211,0.560970,0.110178,0.704390,0.549073,0.116242
dedos_juntos,0.599517,0.852069,0.000000,0.563147,0.729710,-0.012378,0.592002,0.624138,-0.006047,0.635666,0.525855,0.003755,0.656420,0.435935,0.016061,0.704116,0.589298,0.028737,0.717580,0.462463,0.054704,0.690321,0.430295,0.074563,0.655478,0.421476,0.088543,0.733630,0.616053,0.048103,0.744479,0.493640,0.082351,0.708906,0.461526,0.101775,0.666643,0.445396,0.114009,0.741586,0.644679,0.065771,0.747906,0.541901,0.097456,0.718817,0.504589,0.110285,0.690558,0.489106,0.116560,0.731224,0.671999,0.080834,0.736754,0.593835,0.107069,0.716240,0.566213,0.118435,0.695569,0.557138,0.125827
dedos_juntos,0.572049,0.838859,0.000000,0.581315,0.760445,0.023087,0.618630,0.672527,0.039935,0.654493,0.581349,0.055107,0.689083,0.518435,0.071217,0.707021,0.631778,0.029119,0.728400,0.487056,0.051190,0.715610,0.432716,0.073073,0.694093,0.410592,0.088669,0.715813,0.623829,0.028294,0.738893,0.468666,0.052235,0.716840,0.429532,0.072862,0.688756,0.413152,0.087426,0.709284,0.616032,0.030084,0.727288,0.475289,0.050698,0.710885,0.432303,0.063861,0.690614,0.414721,0.072760,0.682375,0.614452,0.033263,0.698644,0.504261,0.049033,0.691089,0.470608,0.058641,0.680439,0.457491,0.066264
dedos_juntos,0.580180,0.844216,0.000000,0.560671,0.771160,0.025277,0.581549,0.690458,0.046028,0.612113,0.605607,0.063845,0.646095,0.550102,0.082766,0.706040,0.633723,0.048515,0.731540,0.491238,0.076087,0.718067,0.433683,0.099054,0.695701,0.411856,0.115012,0.734498,0.625633,0.048109,0.750905,0.471251,0.077442,0.722677,0.426916,0.097590,0.687924,0.406944,0.111876,0.739567,0.616432,0.049423,0.750533,0.477151,0.073700,0.731283,0.426529,0.086237,0.705001,0.405513,0.094780,0.717997,0.614065,0.051710,0.726832,0.505740,0.070057,0.713904,0.466066,0.079932,0.692963,0.445737,0.087808
dedos_juntos,0.621601,0.847139,0.000000,0.583362,0.736046,-0.011611,0.599175,0.640341,-0.003819,0.636591,0.545645,0.007167,0.674848,0.463231,0.020292,0.705326,0.595710,0.032299,0.724660,0.465121,0.060431,0.704682,0.432556,0.080888,0.676248,0.428064,0.094948,0.740175,0.616882,0.052091,0.751263,0.488418,0.086876,0.717313,0.456833,0.103870,0.674573,0.448705,0.114702,0.755281,0.637413,0.070484,0.764665,0.528828,0.101350,0.738747,0.493619,0.110287,0.708809,0.486847,0.114445,0.750819,0.657144,0.086554,0.757458,0.575470,0.111324,0.737554,0.546948,0.120099,0.715057,0.539137,0.125804
dedos_juntos,0.617322,0.850938,0.000000,0.567029,0.739971,-0.008395,0.572788,0.646020,0.001464,0.609487,0.557474,0.014404,0.649018,0.487022,0.029584,0.699825,0.600411,0.032806,0.709787,0.472847,0.060942,0.686492,0.439192,0.081190,0.656795,0.432624,0.095216,0.736269,0.624044,0.051579,0.737934,0.497476,0.086638,0.700730,0.462308,0.103830,0.654483,0.448239,0.114420,0.752211,0.646353,0.069286,0.751227,0.537300,0.100469,0.721750,0.496540,0.109448,0.688281,0.483738,0.113411,0.749440,0.666386,0.084971,0.749653,0.585054,0.110168,0.727212,0.554617,0.119166,0.701935,0.544683,0.124766
dedos_juntos,0.621099,0.843723,0.000000,0.570644,0.722117,0.002614,0.568460,0.631607,0.020040,0.589676,0.549915,0.038619,0.625436,0.496847,0.059150,0.695705,0.579003,0.052780,0.684581,0.460835,0.091937,0.654420,0.453435,0.115817,0.629809,0.460743,0.130235,0.726063,0.609152,0.068665,0.698000,0.491417,0.112550,0.655120,0.487141,0.127915,0.614073,0.498529,0.136195,0.740500,0.634105,0.084866,0.708954,0.542289,0.124946,0.677717,0.542736,0.129785,0.651636,0.563664,0.129368,0.743560,0.653459,0.100139,0.717997,0.581417,0.131575,0.684708,0.578623,0.139019,0.657597,0.594039,0.142502
dedos_juntos,0.498178,0.845888,0.000000,0.553849,0.719483,0.010074,0.514564,0.622854,0.012651,0.438234,0.559449,0.016906,0.382777,0.525081,0.022146,0.433886,0.607145,-0.015678,0.360994,0.482976,-0.009884,0.349697,0.435212,0.004061,0.354263,0.421429,0.015443,0.365427,0.644289,-0.015458,0.296595,0.504136,-0.006181,0.313548,0.464256,0.013169,0.340931,0.455071,0.026643,0.320274,0.677556,-0.011980,0.262235,0.542174,-0.001706,0.277234,0.500470,0.015082,0.300350,0.481351,0.025875,0.295105,0.707414,-0.007600,0.238043,0.599767,0.001283,0.246811,0.559428,0.013242,0.267490,0.542538,0.021900
dedos_juntos,0.545435,0.844958,0.000000,0.617773,0.682702,0.031910,0.549221,0.601779,0.054849,0.440511,0.567039,0.074939,0.382783,0.563315,0.095987,0.431682,0.596128,0.064851,0.343536,0.513824,0.103306,0.340447,0.473934,0.126183,0.363749,0.460862,0.139479,0.370586,0.651927,0.066480,0.274377,0.534118,0.107729,0.311060,0.502836,0.127269,0.365446,0.504086,0.138075,0.338531,0.688887,0.070923,0.251097,0.577250,0.112162,0.281439,0.551748,0.127018,0.316101,0.550214,0.130909,0.323954,0.709566,0.076543,0.245477,0.637626,0.107524,0.249863,0.623823,0.121257,0.271287,0.627226,0.127606
dedos_juntos,0.530387,0.855914,0.000000,0.580793,0.728093,0.006657,0.537955,0.625070,0.006150,0.460978,0.553943,0.008525,0.407654,0.509034,0.011948,0.463035,0.618155,-0.028515,0.394321,0.487539,-0.027198,0.378728,0.431326,-0.015778,0.375390,0.403179,-0.005846,0.397956,0.653792,-0.026972,0.331304,0.502151,-0.021035,0.338581,0.448622,-0.002441,0.356442,0.421319,0.009989,0.355738,0.683652,-0.021758,0.298922,0.537139,-0.012792,0.307442,0.485296,0.004628,0.324529,0.456523,0.015403,0.332506,0.709912,-0.015803,0.282479,0.594479,-0.007067,0.286827,0.546975,0.005189,0.300486,0.521559,0.013531
dedos_juntos,0.525352,0.856828,0.000000,0.577146,0.728963,0.005293,0.536096,0.622935,0.003441,0.460557,0.548750,0.004651,0.408281,0.501582,0.006977,0.463571,0.621725,-0.031439,0.391286,0.490554,-0.031006,0.377407,0.434148,-0.019777,0.376521,0.407069,-0.010020,0.398748,0.657643,-0.029910,0.327241,0.505861,-0.025179,0.337260,0.451177,-0.007008,0.357792,0.425451,0.005185,0.356325,0.687202,-0.024758,0.296505,0.539473,-0.017539,0.306708,0.486365,-0.000993,0.325222,0.458414,0.009463,0.332793,0.712317,-0.018807,0.280818,0.595888,-0.011582,0.285825,0.548406,-0.000007,0.300264,0.524141,0.007977
