gesto,x0,y0,z0,x1,y1,z1,x2,y2,z2,x3,y3,z3,x4,y4,z4,x5,y5,z5,x6,y6,z6,x7,y7,z7,x8,y8,z8,x9,y9,z9,x10,y10,z10,x11,y11,z11,x12,y12,z12,x13,y13,z13,x14,y14,z14,x15,y15,z15,x16,y16,z16,x17,y17,z17,x18,y18,z18,x19,y19,z19,x20,y20,z20
dedo_medio,0.435559,0.762094,0.000000,0.338259,0.679271,-0.006325,0.287222,0.584965,-0.021267,0.275469,0.508403,-0.033605,0.302191,0.460740,-0.041265,0.396192,0.500467,-0.051915,0.404587,0.361196,-0.060427,0.387837,0.390346,-0.052975,0.382142,0.423531,-0.048922,0.476749,0.513330,-0.053977,0.484746,0.311615,-0.073650,0.475964,0.206605,-0.072186,0.487111,0.127374,-0.071041,0.537099,0.542044,-0.051266,0.517811,0.406356,-0.053805,0.475403,0.447783,-0.030569,0.467185,0.494529,-0.014452,0.584839,0.581990,-0.050076,0.556591,0.474931,-0.045457,0.526058,0.501453,-0.027971,0.524372,0.542801,-0.014549
dedo_medio,0.478953,0.853667,0.000000,0.389806,0.767171,-0.000727,0.331977,0.675547,-0.013801,0.316670,0.606187,-0.026622,0.360168,0.576226,-0.035301,0.427786,0.620159,-0.039909,0.433887,0.489215,-0.049084,0.418267,0.528341,-0.042889,0.408113,0.569830,-0.039602,0.494637,0.636558,-0.046650,0.512185,0.447810,-0.064429,0.509939,0.357492,-0.063698,0.520853,0.288573,-0.063977,0.546522,0.667092,-0.049491,0.540538,0.528360,-0.052528,0.505514,0.566340,-0.031723,0.495304,0.607038,-0.017772,0.584581,0.704560,-0.053612,0.567802,0.594849,-0.049486,0.542072,0.619330,-0.032759,0.538072,0.656122,-0.020771
dedo_medio,0.470264,0.765691,0.000000,0.389667,0.663884,0.008959,0.348293,0.572459,0.001084,0.343090,0.504682,-0.008476,0.375404,0.479027,-0.014992,0.433699,0.533301,-0.028579,0.443142,0.412571,-0.034307,0.434248,0.428557,-0.027182,0.431673,0.458451,-0.022959,0.493222,0.549823,-0.039659,0.495760,0.378405,-0.050972,0.492027,0.291717,-0.046582,0.502510,0.236040,-0.044754,0.545041,0.575289,-0.046704,0.537666,0.443958,-0.045024,0.508103,0.470023,-0.023447,0.497372,0.510472,-0.009883,0.585646,0.606407,-0.054452,0.569675,0.501366,-0.047329,0.545090,0.516435,-0.030332,0.540630,0.551251,-0.018579
dedo_medio,0.504514,0.639522,0.000000,0.450726,0.531768,0.014792,0.419719,0.441466,0.016099,0.380862,0.382399,0.014791,0.338032,0.350584,0.014676,0.492655,0.368258,-0.001289,0.513570,0.249225,-0.000477,0.529157,0.182548,0.001847,0.546593,0.132250,0.002954,0.540356,0.381902,-0.010079,0.552986,0.249709,-0.006903,0.563151,0.179292,-0.001237,0.578001,0.131183,0.000807,0.578640,0.408027,-0.015993,0.559810,0.323173,-0.004150,0.529469,0.344729,0.012437,0.516589,0.377090,0.021502,0.604597,0.442544,-0.022769,0.571823,0.384814,-0.008780,0.548990,0.398385,0.005089,0.545767,0.425764,0.014155
dedo_medio,0.469947,0.757797,0.000000,0.420767,0.644534,0.018966,0.394832,0.552392,0.020157,0.369213,0.488089,0.017801,0.331519,0.448714,0.016304,0.472312,0.501545,-0.003036,0.517848,0.387066,-0.001784,0.545817,0.337803,0.004035,0.565992,0.301590,0.007408,0.514703,0.521124,-0.016334,0.550747,0.391244,-0.013591,0.577327,0.338275,-0.003608,0.602601,0.304617,0.001220,0.552059,0.552589,-0.026496,0.570940,0.456152,-0.017887,0.550271,0.470053,-0.000269,0.535150,0.489719,0.009607,0.578534,0.591892,-0.036701,0.577925,0.523255,-0.026956,0.556134,0.528906,-0.013837,0.543621,0.543517,-0.005259
dedo_medio,0.475754,0.753480,0.000000,0.414616,0.645774,0.014949,0.386932,0.554308,0.015552,0.378258,0.478808,0.014097,0.379365,0.420071,0.013800,0.466710,0.495472,-0.007777,0.491920,0.376079,-0.006482,0.508664,0.325203,-0.000587,0.523282,0.286950,0.003291,0.513558,0.512043,-0.016602,0.530852,0.375566,-0.015176,0.541800,0.314355,-0.005611,0.558908,0.274713,-0.000015,0.550843,0.538771,-0.022043,0.545983,0.441956,-0.012394,0.516311,0.459481,0.007499,0.504058,0.485393,0.019563,0.578203,0.574111,-0.027734,0.567120,0.496766,-0.016468,0.540558,0.502223,-0.001390,0.530349,0.521294,0.009203
dedo_medio,0.500698,0.707678,0.000000,0.476358,0.579095,0.010811,0.464129,0.472406,0.003422,0.457826,0.398554,-0.007049,0.460343,0.346259,-0.019604,0.431776,0.423830,-0.033538,0.462278,0.300997,-0.053364,0.477237,0.229997,-0.064849,0.487260,0.174678,-0.073772,0.442291,0.450925,-0.051606,0.470539,0.332481,-0.076557,0.490158,0.277699,-0.087064,0.509447,0.234018,-0.095450,0.460837,0.492107,-0.066406,0.478339,0.391193,-0.087485,0.488520,0.340206,-0.093928,0.501765,0.293839,-0.099094,0.483825,0.541117,-0.079903,0.473726,0.484574,-0.094702,0.463432,0.456802,-0.099603,0.460239,0.430606,-0.104462
dedo_medio,0.429492,0.651403,0.000000,0.481468,0.533790,0.006208,0.503906,0.435984,0.005414,0.506002,0.352992,-0.000588,0.499211,0.296097,-0.004311,0.466148,0.374574,0.018941,0.471195,0.276052,0.018543,0.474008,0.288143,0.020630,0.464163,0.299909,0.020192,0.431756,0.381861,0.006205,0.416517,0.263326,-0.001371,0.412089,0.224571,-0.007905,0.406166,0.197954,-0.012448,0.394356,0.405470,-0.007679,0.396169,0.320887,-0.016354,0.404983,0.365015,-0.015531,0.406033,0.404105,-0.012440,0.359109,0.437314,-0.022293,0.362449,0.367935,-0.027006,0.376957,0.392108,-0.024940,0.384773,0.422942,-0.022095
dedo_medio,0.444851,0.676041,0.000000,0.499431,0.556485,0.007360,0.520617,0.467945,0.007601,0.519736,0.380084,0.001844,0.496840,0.321092,-0.001898,0.463997,0.397519,0.032109,0.459539,0.294151,0.034466,0.449119,0.249798,0.035665,0.430083,0.204537,0.033908,0.432759,0.403794,0.017530,0.410031,0.286481,0.012857,0.405201,0.224844,0.007025,0.396583,0.167318,0.003138,0.400067,0.426054,0.000833,0.403492,0.337030,-0.010589,0.423434,0.393011,-0.010862,0.422636,0.430186,-0.006494,0.371544,0.461715,-0.016434,0.377996,0.380525,-0.024276,0.400624,0.414828,-0.022584,0.404700,0.454616,-0.018774
dedo_medio,0.469785,0.745652,0.000000,0.419643,0.634418,0.013782,0.392357,0.546076,0.011104,0.381490,0.473832,0.006325,0.381128,0.416545,0.001780,0.453547,0.518283,-0.018363,0.471078,0.385985,-0.021266,0.481784,0.317929,-0.018351,0.489504,0.269736,-0.016485,0.484030,0.535450,-0.028539,0.493079,0.396162,-0.027178,0.492397,0.344423,-0.017777,0.495905,0.323036,-0.013733,0.508577,0.558497,-0.035326,0.494349,0.456674,-0.027101,0.467492,0.468407,-0.010041,0.454145,0.494122,-0.001213,0.524872,0.583892,-0.042189,0.502626,0.506664,-0.033580,0.476019,0.511028,-0.021193,0.463898,0.531909,-0.013385
dedo_medio,0.520478,0.796433,0.000000,0.437851,0.750112,-0.034723,0.374193,0.698644,-0.068273,0.350031,0.645622,-0.092911,0.352444,0.597385,-0.118011,0.480821,0.574645,-0.115446,0.471331,0.418003,-0.151400,0.462240,0.324954,-0.171484,0.457310,0.250417,-0.185199,0.518541,0.572718,-0.106763,0.504936,0.415585,-0.146498,0.485125,0.325735,-0.159472,0.478753,0.253263,-0.169888,0.532146,0.595738,-0.092931,0.443684,0.549434,-0.114133,0.394392,0.608257,-0.106135,0.386274,0.652644,-0.101166,0.524365,0.638295,-0.082431,0.455343,0.616551,-0.094980,0.425403,0.660089,-0.091654,0.427397,0.698663,-0.088762
dedo_medio,0.501972,0.883990,0.000000,0.384832,0.804989,-0.007165,0.326047,0.695210,-0.029412,0.320248,0.593503,-0.047172,0.352748,0.515805,-0.060584,0.418600,0.658716,-0.084714,0.401604,0.508781,-0.101868,0.374944,0.524742,-0.094232,0.366222,0.560576,-0.089003,0.505049,0.673977,-0.088122,0.488256,0.443953,-0.117653,0.461325,0.330515,-0.112898,0.466792,0.253844,-0.108588,0.572829,0.695945,-0.084243,0.546882,0.517004,-0.092836,0.499773,0.550944,-0.061861,0.493266,0.597448,-0.040343,0.626613,0.723071,-0.081310,0.595320,0.587176,-0.079693,0.556287,0.614189,-0.056434,0.552343,0.658833,-0.038967
dedo_medio,0.499967,0.865929,0.000000,0.397261,0.780074,-0.005788,0.336303,0.670028,-0.027582,0.324069,0.569191,-0.045675,0.362715,0.493842,-0.059766,0.426656,0.644796,-0.082031,0.417430,0.501779,-0.100113,0.390719,0.515443,-0.094711,0.377883,0.543183,-0.091152,0.507633,0.664189,-0.086872,0.500795,0.445619,-0.115943,0.478870,0.335812,-0.113126,0.483352,0.257057,-0.110756,0.574026,0.686655,-0.084578,0.553232,0.514694,-0.092971,0.510493,0.545215,-0.064087,0.502221,0.588214,-0.044627,0.627709,0.712240,-0.083167,0.599137,0.579628,-0.081801,0.561282,0.602936,-0.060012,0.554644,0.644287,-0.044092
dedo_medio,0.399962,0.839273,0.000000,0.345737,0.693317,0.008818,0.350158,0.547143,-0.005484,0.398542,0.459171,-0.020610,0.433539,0.453301,-0.032768,0.376153,0.578158,-0.054483,0.457792,0.447977,-0.071101,0.462015,0.472215,-0.069671,0.440119,0.507700,-0.069199,0.443134,0.649355,-0.070458,0.578595,0.512643,-0.088962,0.639222,0.464231,-0.086012,0.681129,0.428544,-0.086862,0.500382,0.718902,-0.080423,0.581698,0.590993,-0.087789,0.533103,0.615955,-0.065197,0.492607,0.645278,-0.051734,0.544017,0.777866,-0.090179,0.589734,0.664517,-0.089352,0.548976,0.671650,-0.070122,0.520669,0.697963,-0.057736
