gesto,x0,y0,z0,x1,y1,z1,x2,y2,z2,x3,y3,z3,x4,y4,z4,x5,y5,z5,x6,y6,z6,x7,y7,z7,x8,y8,z8,x9,y9,z9,x10,y10,z10,x11,y11,z11,x12,y12,z12,x13,y13,z13,x14,y14,z14,x15,y15,z15,x16,y16,z16,x17,y17,z17,x18,y18,z18,x19,y19,z19,x20,y20,z20
pulgar_arriba,0.444129,0.841637,0.000000,0.416957,0.705878,0.013307,0.458889,0.608138,0.007358,0.534719,0.561204,-0.001623,0.593154,0.547446,-0.011077,0.524932,0.536543,-0.019401,0.535628,0.437591,-0.024909,0.532535,0.378696,-0.027912,0.520324,0.338812,-0.031126,0.574736,0.574324,-0.032438,0.660075,0.556812,-0.026805,0.642341,0.594004,-0.014098,0.605622,0.614867,-0.010598,0.620798,0.645884,-0.043054,0.695714,0.639502,-0.032654,0.665867,0.670600,-0.018312,0.629248,0.683889,-0.015532,0.653884,0.724783,-0.054087,0.716500,0.724576,-0.044093,0.681327,0.749455,-0.033437,0.641640,0.759389,-0.029910
pulgar_arriba,0.332340,0.739022,0.000000,0.378935,0.614473,0.002004,0.430070,0.513288,-0.016764,0.498401,0.483058,-0.037807,0.538860,0.477360,-0.059820,0.377671,0.443518,-0.046651,0.406332,0.339773,-0.067107,0.411549,0.272355,-0.081567,0.405331,0.208671,-0.093996,0.361336,0.518320,-0.063446,0.492781,0.505845,-0.078805,0.503466,0.534735,-0.075899,0.479310,0.538475,-0.078110,0.363880,0.615440,-0.077882,0.497054,0.605108,-0.086899,0.488827,0.624195,-0.075225,0.451250,0.620040,-0.072278,0.368360,0.711092,-0.093271,0.482743,0.705894,-0.099492,0.465769,0.714648,-0.091455,0.420897,0.709552,-0.088678
pulgar_arriba,0.361250,0.735665,0.000000,0.426128,0.619567,-0.003059,0.475153,0.519334,-0.021415,0.513769,0.485000,-0.040917,0.525543,0.490359,-0.061519,0.381781,0.437149,-0.046348,0.426459,0.327079,-0.067461,0.454677,0.258987,-0.083867,0.470555,0.193907,-0.097830,0.331375,0.505581,-0.059759,0.487560,0.503858,-0.076259,0.500925,0.545032,-0.076386,0.469556,0.557438,-0.080517,0.309435,0.597480,-0.071478,0.473809,0.603310,-0.082286,0.473341,0.631874,-0.075481,0.432740,0.633405,-0.075402,0.299080,0.689409,-0.084718,0.440861,0.703905,-0.092190,0.445241,0.724479,-0.087476,0.408559,0.723586,-0.086882
pulgar_arriba,0.378012,0.786656,0.000000,0.341507,0.622936,0.018693,0.362482,0.485685,0.012662,0.385575,0.386096,0.004024,0.379502,0.322984,-0.002743,0.447718,0.469067,-0.026735,0.536418,0.396338,-0.023017,0.512703,0.431529,-0.009019,0.474609,0.460136,-0.000546,0.512712,0.534556,-0.041507,0.598121,0.449509,-0.035192,0.556935,0.486163,-0.012916,0.519462,0.525140,-0.000610,0.561659,0.609576,-0.050717,0.625747,0.515725,-0.036066,0.572661,0.551646,-0.006845,0.528839,0.587712,0.007798,0.592418,0.682441,-0.059111,0.615694,0.581627,-0.043715,0.559797,0.583859,-0.022987,0.520715,0.597491,-0.010920
pulgar_arriba,0.387251,0.740843,0.000000,0.366707,0.578651,0.026285,0.398127,0.464827,0.027653,0.426328,0.389110,0.025053,0.430639,0.341518,0.023667,0.482304,0.417388,-0.005344,0.551816,0.368144,0.005157,0.546617,0.394191,0.018447,0.528864,0.412949,0.025913,0.528408,0.473265,-0.020252,0.592213,0.426486,-0.003026,0.568195,0.448077,0.017693,0.544866,0.472028,0.026570,0.562642,0.541528,-0.030169,0.607405,0.483413,-0.007997,0.568987,0.505865,0.015636,0.535105,0.529090,0.024818,0.580808,0.608990,-0.038797,0.598037,0.534572,-0.021094,0.550584,0.525668,-0.004666,0.513951,0.529070,0.003657
pulgar_arriba,0.331499,0.767398,0.000000,0.313561,0.617552,0.010773,0.360221,0.514897,0.003424,0.454323,0.481623,-0.007096,0.520151,0.468858,-0.017154,0.381200,0.425646,-0.013141,0.370906,0.319000,-0.019062,0.356622,0.246361,-0.024448,0.337178,0.188895,-0.029456,0.444419,0.485531,-0.024615,0.556035,0.427064,-0.026810,0.530809,0.471281,-0.018409,0.483085,0.505547,-0.013989,0.502661,0.573920,-0.034043,0.590987,0.533996,-0.029502,0.544671,0.570511,-0.015570,0.494742,0.589781,-0.009576,0.544981,0.670799,-0.043961,0.586766,0.633770,-0.035959,0.541511,0.650939,-0.025327,0.498490,0.660132,-0.020246
pulgar_arriba,0.315377,0.765799,0.000000,0.280317,0.633725,0.016340,0.318814,0.537422,0.016939,0.423266,0.513394,0.012560,0.497568,0.527333,0.008499,0.373743,0.433313,0.012610,0.389236,0.317941,0.014439,0.396853,0.243350,0.010949,0.397900,0.184559,0.005787,0.419449,0.477675,-0.001498,0.514041,0.463580,0.007745,0.501644,0.501366,0.015280,0.468446,0.520922,0.016616,0.460445,0.557183,-0.014933,0.533105,0.555379,-0.004873,0.493483,0.586399,0.002408,0.445257,0.593791,0.002643,0.489639,0.647463,-0.028789,0.535201,0.645918,-0.018860,0.491796,0.666252,-0.012029,0.440124,0.667903,-0.010406
pulgar_arriba,0.259269,0.782260,0.000000,0.245942,0.638830,-0.008219,0.301379,0.527461,-0.035565,0.402603,0.490502,-0.063223,0.469840,0.463930,-0.091103,0.324408,0.465317,-0.067485,0.382486,0.358099,-0.098396,0.380896,0.291550,-0.117889,0.365874,0.228876,-0.133059,0.353037,0.559952,-0.082816,0.494591,0.538830,-0.113591,0.439451,0.572540,-0.115489,0.361088,0.569128,-0.118998,0.375386,0.668343,-0.095964,0.508789,0.655138,-0.116446,0.431459,0.670427,-0.106583,0.342483,0.649790,-0.103246,0.380954,0.774050,-0.110555,0.494711,0.763950,-0.123203,0.433556,0.773498,-0.116597,0.350955,0.757444,-0.114383
pulgar_arriba,0.300624,0.733905,0.000000,0.320050,0.633556,-0.009404,0.363134,0.540330,-0.029548,0.428610,0.501727,-0.051658,0.462693,0.477082,-0.074740,0.361312,0.410992,-0.033906,0.392106,0.300877,-0.057533,0.412971,0.231366,-0.077910,0.425697,0.168177,-0.094410,0.353183,0.467531,-0.046736,0.481280,0.463312,-0.071499,0.470214,0.520152,-0.079257,0.430022,0.540820,-0.085331,0.355121,0.553573,-0.060193,0.492946,0.572655,-0.079746,0.462437,0.608648,-0.080104,0.406051,0.608106,-0.081911,0.356315,0.650731,-0.075861,0.472769,0.668674,-0.088861,0.445518,0.690879,-0.089417,0.390141,0.684404,-0.091295
pulgar_arriba,0.267878,0.726829,0.000000,0.225980,0.601623,-0.006878,0.267324,0.490281,-0.024804,0.361172,0.443851,-0.042864,0.428428,0.408078,-0.060535,0.352885,0.406597,-0.042871,0.414840,0.346232,-0.064468,0.413319,0.316260,-0.078792,0.402774,0.274905,-0.090450,0.390357,0.474760,-0.054038,0.505237,0.487429,-0.078102,0.452628,0.526703,-0.081122,0.396081,0.519436,-0.084829,0.413915,0.561280,-0.064179,0.525142,0.585182,-0.082261,0.450261,0.608783,-0.078365,0.379177,0.591724,-0.077505,0.421066,0.652916,-0.075545,0.501102,0.677072,-0.087678,0.436000,0.692514,-0.086092,0.365469,0.676190,-0.086197
