gesto,x0,y0,z0,x1,y1,z1,x2,y2,z2,x3,y3,z3,x4,y4,z4,x5,y5,z5,x6,y6,z6,x7,y7,z7,x8,y8,z8,x9,y9,z9,x10,y10,z10,x11,y11,z11,x12,y12,z12,x13,y13,z13,x14,y14,z14,x15,y15,z15,x16,y16,z16,x17,y17,z17,x18,y18,z18,x19,y19,z19,x20,y20,z20
pulgar_abajo,0.431462,0.514328,-0.000000,0.359562,0.398928,-0.033920,0.333917,0.294690,-0.053141,0.362981,0.239022,-0.069883,0.433457,0.200581,-0.085774,0.398050,0.253863,-0.031257,0.458132,0.181370,-0.055599,0.467313,0.177732,-0.071411,0.465041,0.177441,-0.081226,0.459200,0.308903,-0.026954,0.562489,0.236102,-0.062390,0.530416,0.288251,-0.079442,0.485303,0.321446,-0.084721,0.514065,0.362483,-0.026536,0.590196,0.312071,-0.056693,0.533603,0.361746,-0.065885,0.468855,0.385682,-0.065728,0.553497,0.418903,-0.029686,0.604704,0.387414,-0.049576,0.565046,0.412382,-0.057394,0.519415,0.427201,-0.059161
pulgar_abajo,0.428715,0.318439,0.000000,0.360460,0.267222,-0.039066,0.321487,0.258010,-0.069403,0.363240,0.265619,-0.093975,0.467432,0.252644,-0.117248,0.365517,0.326643,-0.081929,0.408740,0.332489,-0.116937,0.442912,0.344947,-0.134149,0.451320,0.336112,-0.144229,0.428047,0.365528,-0.076745,0.525154,0.310515,-0.122260,0.530353,0.340135,-0.134505,0.495654,0.350355,-0.138932,0.484496,0.372102,-0.071553,0.557727,0.325015,-0.105995,0.522290,0.356653,-0.106429,0.451336,0.362001,-0.102814,0.524578,0.371444,-0.068693,0.581901,0.352417,-0.091146,0.551166,0.374221,-0.094597,0.491423,0.384373,-0.094944
pulgar_abajo,0.523847,0.681902,-0.000000,0.544687,0.626167,-0.025471,0.527379,0.559553,-0.051101,0.495375,0.504743,-0.071962,0.470442,0.457264,-0.096311,0.486066,0.436054,-0.078466,0.464185,0.347976,-0.108424,0.461254,0.281180,-0.129065,0.453092,0.232335,-0.144209,0.490350,0.418211,-0.077957,0.457829,0.318390,-0.112268,0.465163,0.237018,-0.134176,0.473578,0.169065,-0.152015,0.498971,0.418763,-0.074885,0.452688,0.316175,-0.103791,0.457847,0.238525,-0.123941,0.461027,0.163441,-0.139899,0.502354,0.442023,-0.072318,0.458345,0.358032,-0.096689,0.449455,0.310200,-0.112544,0.444976,0.276984,-0.125883
pulgar_abajo,0.598932,0.596384,-0.000000,0.688172,0.466788,-0.022444,0.706351,0.349910,-0.042520,0.689745,0.272731,-0.060734,0.646816,0.221587,-0.079355,0.585145,0.295442,-0.062534,0.515034,0.217740,-0.093295,0.577717,0.245800,-0.105199,0.632625,0.272547,-0.113012,0.534594,0.358649,-0.070067,0.459109,0.289678,-0.109509,0.546335,0.325352,-0.120307,0.605615,0.344222,-0.125711,0.505674,0.437488,-0.078928,0.428515,0.402651,-0.119247,0.514248,0.422305,-0.129293,0.575716,0.429522,-0.132221,0.493249,0.522782,-0.088900,0.436550,0.514510,-0.122101,0.500393,0.522718,-0.133103,0.558443,0.524961,-0.137987
pulgar_abajo,0.598371,0.599952,-0.000000,0.692921,0.469133,-0.021406,0.715008,0.342505,-0.042095,0.693111,0.266265,-0.060870,0.645148,0.225735,-0.079793,0.595353,0.284652,-0.066504,0.512415,0.214498,-0.098599,0.581137,0.243591,-0.110450,0.643287,0.266704,-0.118026,0.538157,0.349811,-0.075279,0.455396,0.289675,-0.114513,0.548461,0.325909,-0.122686,0.611515,0.338680,-0.126528,0.505828,0.430991,-0.085265,0.425642,0.399284,-0.124502,0.515585,0.416144,-0.131337,0.581877,0.417105,-0.132495,0.492074,0.518918,-0.096420,0.432962,0.509675,-0.128101,0.498317,0.515367,-0.136619,0.560633,0.512244,-0.140015
pulgar_abajo,0.540376,0.619537,-0.000000,0.637466,0.502248,-0.017495,0.676437,0.379739,-0.031936,0.665297,0.290688,-0.045299,0.616019,0.236209,-0.059434,0.558055,0.301566,-0.046874,0.496299,0.218629,-0.070205,0.548844,0.250107,-0.079067,0.598900,0.267544,-0.085377,0.505699,0.343722,-0.054076,0.434032,0.271682,-0.086130,0.508364,0.311542,-0.095536,0.569980,0.332112,-0.100293,0.462783,0.406840,-0.062193,0.395465,0.360221,-0.095599,0.468974,0.388001,-0.104185,0.531630,0.401108,-0.106662,0.432480,0.482159,-0.071320,0.377805,0.459406,-0.098560,0.431436,0.477395,-0.107466,0.483700,0.487802,-0.111321
pulgar_abajo,0.543816,0.296390,-0.000000,0.606825,0.363309,-0.025693,0.628117,0.472647,-0.058531,0.644646,0.561996,-0.087355,0.663893,0.607517,-0.117037,0.538046,0.465420,-0.108230,0.458750,0.509417,-0.149930,0.491847,0.486550,-0.171386,0.539132,0.467597,-0.182952,0.488704,0.399479,-0.109965,0.412760,0.404266,-0.153963,0.488745,0.380915,-0.164131,0.579201,0.353421,-0.171838,0.463616,0.321135,-0.107811,0.413805,0.306903,-0.138515,0.487029,0.276565,-0.138278,0.575730,0.255376,-0.139085,0.465591,0.255703,-0.106163,0.434789,0.227517,-0.124687,0.487481,0.203130,-0.125661,0.560126,0.190884,-0.127825
pulgar_abajo,0.600866,0.291966,-0.000000,0.636685,0.392974,-0.021632,0.630807,0.533774,-0.056669,0.611177,0.652286,-0.088461,0.597933,0.708047,-0.121435,0.583537,0.507889,-0.118409,0.509746,0.572986,-0.163363,0.534373,0.563866,-0.183578,0.565389,0.543983,-0.193750,0.542185,0.438684,-0.123863,0.449481,0.464367,-0.169140,0.514659,0.459934,-0.172148,0.589057,0.436884,-0.175057,0.515685,0.350122,-0.124663,0.436510,0.350954,-0.156779,0.503675,0.339557,-0.147973,0.581115,0.325234,-0.142872,0.506451,0.271067,-0.125599,0.437030,0.255331,-0.146174,0.483901,0.243544,-0.142565,0.550420,0.235814,-0.140716
pulgar_abajo,0.488138,0.513220,-0.000000,0.567816,0.385798,-0.025588,0.584625,0.300331,-0.042918,0.566298,0.241017,-0.057409,0.500652,0.190141,-0.071693,0.435589,0.297047,-0.042483,0.345686,0.254467,-0.064427,0.374700,0.241597,-0.076565,0.413975,0.259946,-0.083384,0.393808,0.335043,-0.041209,0.254600,0.276603,-0.066649,0.310115,0.270752,-0.079350,0.385732,0.284684,-0.087688,0.367280,0.370278,-0.041567,0.233184,0.332786,-0.064208,0.293712,0.315723,-0.074065,0.371909,0.315623,-0.080206,0.361905,0.408765,-0.043968,0.268717,0.381242,-0.062144,0.308545,0.361102,-0.070497,0.376125,0.354313,-0.075924
pulgar_abajo,0.468689,0.609635,-0.000000,0.525429,0.464925,0.007734,0.538208,0.353934,-0.003020,0.530808,0.279738,-0.016265,0.499818,0.224640,-0.028855,0.472056,0.347829,-0.036514,0.486572,0.305100,-0.053149,0.529645,0.321550,-0.056679,0.552574,0.339530,-0.059083,0.459543,0.399408,-0.052235,0.482155,0.359904,-0.073860,0.524224,0.384120,-0.071135,0.541370,0.407870,-0.069258,0.457042,0.452569,-0.064837,0.486192,0.424097,-0.080720,0.523793,0.451032,-0.069205,0.537150,0.470863,-0.061606,0.463968,0.507567,-0.077145,0.498822,0.493393,-0.085244,0.532898,0.514912,-0.076847,0.547574,0.534624,-0.070803
