gesto,x0,y0,z0,x1,y1,z1,x2,y2,z2,x3,y3,z3,x4,y4,z4,x5,y5,z5,x6,y6,z6,x7,y7,z7,x8,y8,z8,x9,y9,z9,x10,y10,z10,x11,y11,z11,x12,y12,z12,x13,y13,z13,x14,y14,z14,x15,y15,z15,x16,y16,z16,x17,y17,z17,x18,y18,z18,x19,y19,z19,x20,y20,z20
rock,0.377958,0.653888,-0.000000,0.467230,0.560031,0.029446,0.516581,0.465527,0.038264,0.539968,0.389724,0.042939,0.571416,0.342516,0.047490,0.490850,0.382070,0.009307,0.499986,0.255353,0.018361,0.505289,0.177485,0.025824,0.509590,0.116281,0.030269,0.430056,0.374533,-0.002176,0.398659,0.296626,0.020813,0.391506,0.332849,0.041017,0.399053,0.369085,0.050670,0.365597,0.388911,-0.010665,0.346678,0.322241,0.013617,0.344433,0.359846,0.032214,0.352375,0.390458,0.039072,0.306820,0.408985,-0.017845,0.289169,0.302811,-0.005555,0.278491,0.253110,0.003775,0.276413,0.213608,0.008600
rock,0.394027,0.645725,-0.000000,0.480233,0.561653,0.031343,0.531473,0.467179,0.041556,0.554116,0.388637,0.046433,0.589685,0.337612,0.051169,0.515566,0.369437,0.017742,0.526605,0.245913,0.026771,0.532533,0.171312,0.033416,0.538749,0.110990,0.037314,0.459622,0.359467,0.004525,0.424429,0.291125,0.025770,0.415332,0.328056,0.043509,0.424984,0.358752,0.052374,0.398805,0.371426,-0.006149,0.375031,0.310897,0.015234,0.369654,0.350373,0.032314,0.378891,0.378184,0.039344,0.340597,0.388853,-0.015492,0.329889,0.285990,-0.004938,0.320568,0.235076,0.003771,0.320921,0.191224,0.008736
rock,0.398739,0.660926,-0.000000,0.485855,0.570055,0.031468,0.532587,0.472275,0.041573,0.551995,0.392092,0.047401,0.580092,0.341343,0.052979,0.513806,0.386180,0.010414,0.519903,0.256871,0.019739,0.522068,0.177906,0.027763,0.523449,0.114596,0.032646,0.454182,0.377678,-0.001530,0.422837,0.298037,0.021293,0.416182,0.335845,0.042011,0.424271,0.369888,0.052336,0.390258,0.390226,-0.010275,0.370969,0.315143,0.013130,0.367434,0.352571,0.032132,0.375015,0.382285,0.039634,0.330191,0.408641,-0.017404,0.316069,0.297252,-0.005736,0.306170,0.246552,0.003871,0.305162,0.205091,0.009115
rock,0.472284,0.681079,-0.000000,0.553901,0.580784,0.040255,0.579290,0.479649,0.054975,0.582631,0.401621,0.063687,0.594798,0.345671,0.071888,0.573636,0.392466,0.024839,0.571529,0.267620,0.038862,0.567869,0.191509,0.048361,0.565148,0.132225,0.053622,0.516727,0.390287,0.009472,0.470405,0.319102,0.036937,0.466662,0.358106,0.056746,0.477519,0.389596,0.065820,0.454693,0.408051,-0.002064,0.419612,0.349814,0.026097,0.420354,0.392456,0.044436,0.429290,0.421485,0.050470,0.394002,0.430857,-0.011430,0.361718,0.328796,0.003211,0.343548,0.282113,0.013129,0.333893,0.240185,0.018062
rock,0.430940,0.675860,-0.000000,0.516950,0.578651,0.028943,0.553421,0.476810,0.037375,0.567736,0.397658,0.042834,0.592055,0.343808,0.047676,0.526229,0.386899,0.001308,0.527042,0.255034,0.011995,0.522902,0.172282,0.020378,0.519525,0.107811,0.024792,0.460844,0.387205,-0.008005,0.432873,0.317705,0.017695,0.436054,0.356648,0.039456,0.450278,0.391185,0.049159,0.395067,0.410310,-0.013263,0.378266,0.349439,0.013874,0.384326,0.386388,0.033236,0.395948,0.415247,0.039247,0.334157,0.439879,-0.016853,0.299322,0.343382,-0.003015,0.273026,0.299778,0.006655,0.256299,0.262988,0.011095
rock,0.364283,0.587812,-0.000000,0.449419,0.471795,0.026889,0.484815,0.361949,0.037006,0.502006,0.285439,0.043026,0.542732,0.235593,0.049191,0.437237,0.284421,0.019600,0.422873,0.176805,0.035428,0.409956,0.107963,0.044754,0.401691,0.057122,0.049682,0.373560,0.287036,0.011983,0.391780,0.237047,0.043800,0.408755,0.282067,0.062352,0.420988,0.316557,0.069905,0.318704,0.306780,0.006732,0.340974,0.256597,0.036967,0.356894,0.293802,0.050923,0.369170,0.321966,0.053820,0.274429,0.329035,0.002925,0.260767,0.227724,0.020243,0.242541,0.173579,0.028586,0.233958,0.132204,0.031726
rock,0.475221,0.658032,-0.000000,0.423383,0.535245,-0.009103,0.415129,0.414588,-0.010120,0.430399,0.308631,-0.015510,0.430499,0.225073,-0.019053,0.444497,0.355196,0.032142,0.438830,0.237476,0.022077,0.434437,0.160729,0.010047,0.435444,0.092392,0.002426,0.501101,0.365525,0.027381,0.501310,0.272892,0.001683,0.480338,0.346902,-0.016087,0.475031,0.388580,-0.018550,0.549857,0.384902,0.018348,0.548538,0.308700,-0.007585,0.506331,0.399717,-0.018735,0.489664,0.460713,-0.015875,0.604629,0.413590,0.007064,0.631479,0.315461,-0.007140,0.649543,0.260300,-0.016857,0.673604,0.203802,-0.019373
rock,0.456486,0.637302,-0.000000,0.394880,0.525818,-0.001697,0.369937,0.393126,-0.005223,0.359235,0.296389,-0.014777,0.321547,0.218813,-0.022812,0.431819,0.326453,0.024164,0.448471,0.209191,0.009774,0.456793,0.132613,-0.005355,0.465790,0.066817,-0.014793,0.483794,0.348436,0.014236,0.473667,0.280780,-0.013661,0.440077,0.367907,-0.029137,0.425118,0.426345,-0.030433,0.530256,0.374912,0.001363,0.513806,0.318591,-0.022244,0.473675,0.405620,-0.026441,0.458708,0.461804,-0.020684,0.581643,0.403555,-0.013855,0.601760,0.303313,-0.025469,0.615138,0.247535,-0.029454,0.635107,0.188451,-0.028671
rock,0.510694,0.794457,0.000000,0.443373,0.702618,-0.017576,0.412299,0.569946,-0.025554,0.399422,0.466478,-0.035842,0.351191,0.385550,-0.044932,0.464493,0.487578,0.008602,0.468491,0.358885,-0.009956,0.466266,0.279171,-0.027763,0.465485,0.213164,-0.038942,0.520207,0.513260,0.005889,0.527625,0.442156,-0.025765,0.501723,0.532252,-0.043918,0.488252,0.592288,-0.047208,0.569381,0.543982,-0.000949,0.576971,0.485636,-0.029658,0.538494,0.579031,-0.038196,0.521641,0.638997,-0.034988,0.621396,0.573743,-0.011232,0.648750,0.481663,-0.027693,0.661168,0.432145,-0.035710,0.679875,0.374089,-0.037661
rock,0.489119,0.775195,-0.000000,0.440396,0.674027,-0.029689,0.429583,0.550483,-0.038670,0.443597,0.432721,-0.047059,0.418620,0.352367,-0.053474,0.466451,0.461688,0.006544,0.473876,0.318638,-0.008951,0.480150,0.230932,-0.025925,0.491832,0.157329,-0.037559,0.523777,0.488056,0.011074,0.553561,0.417552,-0.018803,0.519382,0.507212,-0.039156,0.497313,0.555766,-0.043962,0.572143,0.518076,0.010385,0.603674,0.456655,-0.021107,0.558000,0.547499,-0.037777,0.530946,0.601580,-0.038640,0.622081,0.548937,0.006124,0.669809,0.464143,-0.012538,0.697531,0.417555,-0.026240,0.725973,0.364673,-0.031908
