gesto,x0,y0,z0,x1,y1,z1,x2,y2,z2,x3,y3,z3,x4,y4,z4,x5,y5,z5,x6,y6,z6,x7,y7,z7,x8,y8,z8,x9,y9,z9,x10,y10,z10,x11,y11,z11,x12,y12,z12,x13,y13,z13,x14,y14,z14,x15,y15,z15,x16,y16,z16,x17,y17,z17,x18,y18,z18,x19,y19,z19,x20,y20,z20
call_me,0.714516,0.853519,0.000000,0.789611,0.722951,-0.007373,0.790835,0.591983,-0.010246,0.774742,0.487953,-0.016085,0.782493,0.415262,-0.019947,0.654317,0.549925,0.015904,0.596466,0.468244,0.013930,0.619670,0.532702,0.016815,0.644934,0.588646,0.018415,0.598308,0.596411,0.011161,0.553286,0.544662,-0.000183,0.612556,0.634873,-0.008477,0.650488,0.682899,-0.010189,0.555083,0.651040,0.003929,0.511426,0.594140,-0.010417,0.578878,0.682368,-0.019114,0.620466,0.731587,-0.019942,0.510973,0.706091,-0.004459,0.430850,0.632333,-0.013894,0.400991,0.609454,-0.021340,0.371499,0.572655,-0.024594
call_me,0.813677,0.797596,0.000000,0.851450,0.642671,-0.001080,0.819603,0.515892,-0.002665,0.787404,0.407918,-0.008188,0.784535,0.342463,-0.012958,0.723178,0.492861,0.007499,0.669717,0.419987,0.001178,0.712145,0.478441,0.001939,0.740543,0.518876,0.001345,0.676230,0.544254,-0.003240,0.613800,0.489385,-0.019293,0.684068,0.558897,-0.027506,0.732518,0.589678,-0.031255,0.641136,0.605983,-0.015925,0.571477,0.549957,-0.036794,0.651224,0.613002,-0.048087,0.702070,0.649381,-0.051797,0.608435,0.671413,-0.028949,0.511501,0.620196,-0.046670,0.474526,0.587915,-0.059666,0.437281,0.541252,-0.067499
call_me,0.805514,0.787407,0.000000,0.851564,0.620652,-0.005548,0.821638,0.488080,-0.008504,0.799008,0.373717,-0.013777,0.805850,0.299437,-0.018330,0.720313,0.477896,0.004787,0.654461,0.417216,-0.000088,0.705708,0.469221,0.000548,0.743350,0.498432,-0.000659,0.672642,0.536432,-0.002541,0.598847,0.492239,-0.016455,0.676849,0.551368,-0.024297,0.728926,0.574525,-0.028386,0.634784,0.606124,-0.011900,0.556485,0.564903,-0.031142,0.640034,0.615008,-0.043578,0.688229,0.636705,-0.048750,0.596254,0.678107,-0.021511,0.484819,0.651963,-0.037212,0.439420,0.632284,-0.049777,0.393456,0.590218,-0.057891
call_me,0.813152,0.764577,0.000000,0.694964,0.745878,-0.032154,0.562020,0.709185,-0.052885,0.457098,0.675523,-0.071938,0.381398,0.670521,-0.088997,0.623226,0.601867,-0.042480,0.544515,0.565737,-0.066128,0.598151,0.601130,-0.076202,0.650559,0.629445,-0.080452,0.690975,0.557557,-0.038288,0.621532,0.512915,-0.064008,0.685621,0.554127,-0.075403,0.738628,0.571501,-0.081856,0.757062,0.525459,-0.037289,0.698732,0.451901,-0.060968,0.748997,0.489372,-0.071646,0.792999,0.531354,-0.075855,0.813661,0.500718,-0.039391,0.786694,0.397997,-0.055153,0.790024,0.331629,-0.067002,0.795267,0.286597,-0.075491
call_me,0.814700,0.739903,0.000000,0.724700,0.723066,-0.034884,0.604742,0.686016,-0.058442,0.504032,0.665349,-0.080368,0.430812,0.658228,-0.101708,0.632190,0.597437,-0.048545,0.566296,0.564269,-0.078578,0.609629,0.576547,-0.094122,0.659325,0.593199,-0.101508,0.683900,0.556069,-0.045738,0.631264,0.496671,-0.077997,0.687796,0.513810,-0.094891,0.741911,0.527388,-0.104839,0.737331,0.527300,-0.046548,0.690382,0.446451,-0.075332,0.740398,0.463027,-0.089804,0.790973,0.495298,-0.096722,0.786833,0.509064,-0.050728,0.753216,0.411499,-0.070576,0.757438,0.351433,-0.084152,0.770386,0.317164,-0.093781
call_me,0.809363,0.717747,0.000000,0.701636,0.725264,-0.046475,0.583514,0.707711,-0.076881,0.487573,0.698101,-0.103088,0.407633,0.694823,-0.128106,0.646949,0.594186,-0.065726,0.577206,0.558354,-0.098087,0.614914,0.564491,-0.113851,0.669008,0.581054,-0.121129,0.705585,0.534092,-0.057394,0.644913,0.479963,-0.089520,0.693083,0.489130,-0.103945,0.747624,0.493159,-0.112849,0.759228,0.488944,-0.053198,0.709803,0.409906,-0.080970,0.746283,0.420588,-0.094046,0.790535,0.443447,-0.100835,0.806742,0.457415,-0.053172,0.767732,0.363190,-0.071280,0.764194,0.303859,-0.083920,0.773259,0.268321,-0.093432
call_me,0.755137,0.659548,0.000000,0.698072,0.686615,-0.012396,0.608443,0.688507,-0.020722,0.524623,0.683012,-0.029491,0.458653,0.688314,-0.036322,0.681750,0.572991,-0.017104,0.618218,0.546263,-0.024314,0.658164,0.572264,-0.023728,0.698004,0.586422,-0.021962,0.722464,0.519477,-0.017211,0.648978,0.505801,-0.021324,0.706688,0.540028,-0.017571,0.760440,0.543979,-0.015941,0.757240,0.472540,-0.018859,0.689183,0.435883,-0.023532,0.740542,0.477697,-0.019660,0.793126,0.500412,-0.017039,0.783004,0.431727,-0.022521,0.737801,0.358212,-0.026949,0.720326,0.315569,-0.028486,0.711324,0.274434,-0.029874
call_me,0.768464,0.688434,0.000000,0.706042,0.707770,-0.019390,0.621390,0.704114,-0.032675,0.539536,0.698236,-0.045125,0.471757,0.704495,-0.055341,0.677919,0.592152,-0.028508,0.643690,0.549721,-0.042087,0.686479,0.573770,-0.044532,0.717982,0.591261,-0.043884,0.718734,0.536891,-0.025700,0.676876,0.496590,-0.037639,0.735656,0.535836,-0.036899,0.776468,0.549174,-0.035681,0.754783,0.488767,-0.024813,0.712451,0.430103,-0.035259,0.768905,0.476191,-0.034154,0.810440,0.511237,-0.031828,0.780164,0.449468,-0.026313,0.745059,0.366693,-0.033542,0.741173,0.319443,-0.037491,0.735144,0.280810,-0.040003
call_me,0.778684,0.779651,0.000000,0.815348,0.635310,-0.006195,0.791181,0.517380,-0.010148,0.771803,0.415175,-0.016445,0.770516,0.342747,-0.021815,0.700737,0.498844,-0.000155,0.638289,0.438868,-0.007948,0.675379,0.488675,-0.007930,0.708648,0.526078,-0.007993,0.660391,0.539542,-0.007134,0.594253,0.494403,-0.021313,0.656617,0.551794,-0.027318,0.704387,0.581443,-0.029991,0.629129,0.590819,-0.016331,0.558811,0.536268,-0.034210,0.628235,0.590632,-0.042653,0.677795,0.626483,-0.045048,0.603000,0.647188,-0.026270,0.507592,0.604450,-0.040023,0.469630,0.574595,-0.049742,0.434780,0.535293,-0.055560
call_me,0.523803,0.648150,0.000000,0.538616,0.521913,-0.007116,0.556310,0.424693,-0.012250,0.588562,0.353469,-0.018760,0.617604,0.293887,-0.025575,0.525861,0.458535,-0.001744,0.568021,0.442955,-0.004831,0.592176,0.438839,-0.010073,0.603980,0.429218,-0.015271,0.528873,0.523560,-0.004282,0.573734,0.519188,-0.005521,0.603205,0.522457,-0.010919,0.622880,0.520976,-0.018526,0.542136,0.579483,-0.007159,0.579719,0.576237,-0.007900,0.613651,0.575552,-0.011362,0.639171,0.571166,-0.017309,0.556424,0.630900,-0.011747,0.591356,0.640864,-0.011411,0.634416,0.639275,-0.012341,0.674242,0.631960,-0.015455
