gesto,x0,y0,z0,x1,y1,z1,x2,y2,z2,x3,y3,z3,x4,y4,z4,x5,y5,z5,x6,y6,z6,x7,y7,z7,x8,y8,z8,x9,y9,z9,x10,y10,z10,x11,y11,z11,x12,y12,z12,x13,y13,z13,x14,y14,z14,x15,y15,z15,x16,y16,z16,x17,y17,z17,x18,y18,z18,x19,y19,z19,x20,y20,z20
indice_arriba,0.348865,0.843054,0.000000,0.436687,0.800534,-0.034079,0.515359,0.721829,-0.072079,0.546278,0.651196,-0.107825,0.559126,0.572128,-0.146490,0.435033,0.534898,-0.085439,0.429564,0.360463,-0.128023,0.419872,0.261576,-0.157377,0.409587,0.178568,-0.178166,0.329987,0.544635,-0.089899,0.386428,0.537053,-0.139536,0.433715,0.688099,-0.149209,0.449068,0.791939,-0.149923,0.245423,0.590163,-0.094947,0.309224,0.608710,-0.140655,0.361627,0.746805,-0.140730,0.392728,0.832385,-0.135899,0.177583,0.658138,-0.103333,0.226004,0.668878,-0.134653,0.268879,0.762475,-0.136618,0.293720,0.819540,-0.134573
indice_arriba,0.441126,0.817327,0.000000,0.534017,0.777134,-0.010326,0.612343,0.677441,-0.028762,0.647999,0.595227,-0.052026,0.683555,0.523394,-0.076785,0.592836,0.498809,-0.015763,0.627599,0.350431,-0.040619,0.650963,0.265894,-0.060041,0.666559,0.195480,-0.073733,0.510771,0.493352,-0.028707,0.569079,0.438514,-0.061930,0.582833,0.553061,-0.071112,0.576212,0.630267,-0.070511,0.436089,0.510118,-0.044135,0.501172,0.500707,-0.073965,0.509551,0.620111,-0.074010,0.497340,0.690350,-0.068594,0.364172,0.541758,-0.062393,0.425516,0.531328,-0.078341,0.440885,0.614872,-0.077200,0.433385,0.666457,-0.073668
indice_arriba,0.533064,0.845437,0.000000,0.583835,0.762435,-0.016019,0.593983,0.625158,-0.038553,0.585753,0.518554,-0.064892,0.597605,0.428646,-0.092868,0.478772,0.499043,-0.031475,0.409874,0.337927,-0.063069,0.381238,0.241420,-0.085508,0.356493,0.161928,-0.101707,0.401697,0.544560,-0.045918,0.440113,0.440738,-0.087674,0.524216,0.519688,-0.100439,0.572242,0.589994,-0.102133,0.349986,0.608621,-0.062721,0.428400,0.560169,-0.100381,0.500410,0.660354,-0.098528,0.529013,0.732501,-0.090718,0.308865,0.683568,-0.082758,0.374942,0.641898,-0.107282,0.433976,0.700764,-0.105212,0.458544,0.749509,-0.099550
indice_arriba,0.482726,0.880152,0.000000,0.548809,0.825782,-0.023098,0.590756,0.723473,-0.050889,0.605166,0.639469,-0.081384,0.626475,0.565126,-0.113482,0.506984,0.545415,-0.038003,0.473086,0.380132,-0.070486,0.452774,0.289516,-0.094568,0.429304,0.214835,-0.112082,0.420273,0.574708,-0.048865,0.465033,0.499776,-0.091408,0.515390,0.608788,-0.104588,0.530105,0.686382,-0.106484,0.354495,0.625509,-0.062351,0.414006,0.609301,-0.100732,0.455392,0.719573,-0.101874,0.462188,0.783674,-0.096445,0.297544,0.692477,-0.079592,0.346830,0.678130,-0.103637,0.387028,0.752240,-0.104019,0.397161,0.797679,-0.100750
indice_arriba,0.539514,0.837108,0.000000,0.603248,0.776755,-0.014099,0.647163,0.647456,-0.029160,0.660786,0.546985,-0.049099,0.688703,0.468186,-0.070482,0.583018,0.507033,-0.005516,0.557191,0.347488,-0.025336,0.548536,0.260486,-0.041407,0.534858,0.192909,-0.053446,0.517175,0.528417,-0.016448,0.550292,0.433424,-0.046638,0.590590,0.518473,-0.058898,0.605965,0.589851,-0.060072,0.456368,0.564691,-0.030609,0.499383,0.512986,-0.060334,0.532014,0.623150,-0.063047,0.542354,0.698675,-0.057768,0.390995,0.613638,-0.047933,0.420770,0.548110,-0.066854,0.449864,0.608739,-0.067972,0.462196,0.659172,-0.064669
indice_arriba,0.429723,0.799176,0.000000,0.525989,0.760271,0.000758,0.613086,0.673983,-0.009940,0.665044,0.615188,-0.028054,0.714421,0.587088,-0.047442,0.612355,0.486957,0.006469,0.662074,0.356796,-0.010947,0.695493,0.283497,-0.028765,0.720273,0.224111,-0.042094,0.536100,0.472346,-0.009841,0.605419,0.434189,-0.034742,0.609144,0.539291,-0.046442,0.597004,0.611601,-0.049338,0.461786,0.479885,-0.028068,0.533069,0.486595,-0.049044,0.530157,0.599088,-0.052546,0.510831,0.665131,-0.051289,0.386178,0.500336,-0.048635,0.452634,0.495078,-0.057477,0.463941,0.568383,-0.057318,0.452305,0.615378,-0.056180
indice_arriba,0.520058,0.851280,0.000000,0.589995,0.795301,-0.006543,0.649339,0.679563,-0.023160,0.686435,0.597025,-0.046008,0.732316,0.534914,-0.070793,0.593190,0.513997,-0.008362,0.601235,0.365314,-0.031984,0.611854,0.278892,-0.052891,0.618604,0.206531,-0.068445,0.515577,0.527798,-0.024343,0.585941,0.466398,-0.056650,0.622205,0.576971,-0.069303,0.630000,0.658903,-0.071759,0.451117,0.561876,-0.042533,0.533232,0.541378,-0.071137,0.555633,0.659751,-0.072015,0.551367,0.736189,-0.067870,0.389397,0.608846,-0.063545,0.458124,0.576153,-0.079291,0.482774,0.652995,-0.077794,0.481150,0.707681,-0.074513
indice_arriba,0.529319,0.837173,0.000000,0.600212,0.784528,-0.013164,0.655021,0.666865,-0.031465,0.662240,0.567061,-0.054208,0.628700,0.480509,-0.078117,0.587659,0.505641,-0.010500,0.563377,0.350638,-0.033463,0.555740,0.262368,-0.053349,0.543899,0.190138,-0.068184,0.513229,0.522249,-0.022641,0.556464,0.449884,-0.054751,0.593464,0.554082,-0.067271,0.598680,0.630081,-0.069047,0.448563,0.555513,-0.037486,0.501623,0.514305,-0.067529,0.530635,0.624629,-0.068971,0.530514,0.694991,-0.064402,0.383847,0.602129,-0.055425,0.432243,0.555926,-0.072237,0.461305,0.629463,-0.070928,0.461696,0.683873,-0.067244
indice_arriba,0.410704,0.812884,0.000000,0.488033,0.754472,-0.019802,0.536902,0.626546,-0.037101,0.522601,0.512725,-0.057049,0.469151,0.430126,-0.077937,0.467573,0.482878,-0.013596,0.431918,0.317473,-0.035671,0.409718,0.217549,-0.053065,0.385641,0.139169,-0.065996,0.392634,0.503119,-0.021527,0.390156,0.396193,-0.055389,0.420267,0.480026,-0.067955,0.434157,0.551634,-0.068388,0.327292,0.537094,-0.032605,0.334850,0.471430,-0.066502,0.367832,0.582054,-0.068959,0.381484,0.655055,-0.062198,0.257689,0.588651,-0.047005,0.265347,0.511867,-0.067651,0.295453,0.580519,-0.067935,0.308701,0.638003,-0.063364
indice_arriba,0.511050,0.847016,0.000000,0.603196,0.809719,-0.014040,0.681198,0.719994,-0.034258,0.712371,0.639764,-0.058924,0.725961,0.567009,-0.085038,0.652503,0.519734,-0.016460,0.673510,0.370548,-0.040651,0.692910,0.285570,-0.063827,0.708488,0.213323,-0.081356,0.571532,0.514492,-0.027984,0.640492,0.487643,-0.059545,0.659304,0.605127,-0.074557,0.654783,0.682992,-0.079964,0.499980,0.534567,-0.041770,0.574930,0.546340,-0.068667,0.587941,0.660420,-0.074131,0.579495,0.731050,-0.074887,0.431495,0.571280,-0.058966,0.494965,0.573462,-0.072660,0.518317,0.652948,-0.074316,0.520150,0.705645,-0.074715
