gesto,x0,y0,z0,x1,y1,z1,x2,y2,z2,x3,y3,z3,x4,y4,z4,x5,y5,z5,x6,y6,z6,x7,y7,z7,x8,y8,z8,x9,y9,z9,x10,y10,z10,x11,y11,z11,x12,y12,z12,x13,y13,z13,x14,y14,z14,x15,y15,z15,x16,y16,z16,x17,y17,z17,x18,y18,z18,x19,y19,z19,x20,y20,z20
ok,0.349780,0.776243,-0.000000,0.461497,0.724247,0.015539,0.528156,0.659233,0.015332,0.575862,0.607686,0.007018,0.614473,0.549227,-0.001544,0.463742,0.499013,0.026903,0.519226,0.436153,0.023919,0.553822,0.476328,0.024822,0.562392,0.522908,0.023960,0.429945,0.479189,0.005523,0.481547,0.346979,0.000255,0.523195,0.272929,-0.006596,0.556835,0.215367,-0.013978,0.391584,0.483603,-0.017820,0.428513,0.342086,-0.021169,0.460288,0.266792,-0.023376,0.491701,0.204565,-0.027604,0.351043,0.506590,-0.041574,0.356499,0.391969,-0.045051,0.371277,0.324830,-0.045835,0.395715,0.266230,-0.048339
ok,0.308799,0.774699,-0.000000,0.428152,0.701321,0.029595,0.479620,0.626350,0.033649,0.528894,0.577397,0.027562,0.571980,0.524616,0.019213,0.398926,0.468574,0.027331,0.447454,0.370070,0.023981,0.492884,0.375887,0.022622,0.515769,0.388769,0.018848,0.370304,0.469398,-0.002529,0.412083,0.319372,-0.010107,0.452913,0.230462,-0.018638,0.487095,0.158951,-0.028007,0.347790,0.491877,-0.032392,0.381740,0.346285,-0.038868,0.407358,0.253992,-0.044261,0.434079,0.176487,-0.051265,0.336951,0.526766,-0.061049,0.346747,0.408202,-0.069719,0.358533,0.333059,-0.074266,0.380564,0.266323,-0.079818
ok,0.342512,0.728938,-0.000000,0.476718,0.649397,0.035165,0.532083,0.592026,0.043759,0.586209,0.553402,0.040735,0.632422,0.501870,0.036000,0.454106,0.444085,0.046545,0.526993,0.382098,0.050521,0.569348,0.416346,0.055245,0.588479,0.465175,0.056383,0.421638,0.431670,0.016171,0.469723,0.295807,0.017490,0.507131,0.216328,0.013489,0.541669,0.161379,0.007041,0.396465,0.439060,-0.014728,0.422408,0.299206,-0.012986,0.447105,0.218400,-0.014090,0.473257,0.156712,-0.018889,0.380381,0.455074,-0.044298,0.371017,0.337662,-0.046009,0.377615,0.270484,-0.046292,0.395963,0.213015,-0.049147
ok,0.335803,0.735594,-0.000000,0.471028,0.655713,0.034372,0.527416,0.599296,0.042801,0.582191,0.561504,0.039820,0.626878,0.511091,0.035105,0.449157,0.447326,0.045404,0.526430,0.389663,0.048741,0.569941,0.422705,0.052870,0.589390,0.469523,0.053770,0.414759,0.435199,0.015525,0.467229,0.300182,0.016352,0.506240,0.220478,0.011995,0.542009,0.165957,0.005355,0.389610,0.443468,-0.014863,0.417302,0.302240,-0.013419,0.443533,0.221884,-0.014678,0.471367,0.160916,-0.019505,0.374687,0.460251,-0.043962,0.366649,0.342698,-0.045697,0.375203,0.273603,-0.046048,0.395640,0.214410,-0.048924
ok,0.335459,0.733720,-0.000000,0.468007,0.659471,0.032831,0.526562,0.601711,0.041188,0.580970,0.562809,0.038408,0.624967,0.511331,0.034112,0.449933,0.447179,0.046551,0.520642,0.388180,0.050891,0.562924,0.420940,0.055656,0.583325,0.467502,0.056887,0.415188,0.432526,0.017808,0.463597,0.297961,0.020052,0.503596,0.217617,0.016303,0.541046,0.162693,0.009968,0.387296,0.438900,-0.011758,0.414205,0.297819,-0.009228,0.439819,0.217474,-0.010327,0.467759,0.156340,-0.015119,0.368266,0.455521,-0.040259,0.359718,0.337926,-0.041313,0.368689,0.268746,-0.041567,0.390046,0.209172,-0.044359
ok,0.332678,0.741629,-0.000000,0.468142,0.663113,0.034224,0.526604,0.606754,0.042824,0.580228,0.569033,0.040053,0.623770,0.516264,0.035626,0.450846,0.451752,0.046202,0.523879,0.396308,0.050017,0.566950,0.432250,0.054489,0.587700,0.481162,0.055483,0.414746,0.437377,0.016404,0.463610,0.303084,0.017429,0.502990,0.222869,0.012881,0.540036,0.168423,0.005924,0.386241,0.443934,-0.013990,0.413199,0.303127,-0.012638,0.439572,0.221412,-0.014495,0.468272,0.158813,-0.019839,0.366571,0.459760,-0.043074,0.357965,0.342662,-0.044990,0.367086,0.272893,-0.045868,0.388530,0.212890,-0.049274
ok,0.365805,0.783369,0.000000,0.458849,0.725604,-0.008211,0.524410,0.626314,-0.017472,0.561461,0.542245,-0.029958,0.583063,0.477601,-0.041054,0.442241,0.490042,0.005908,0.476469,0.404984,0.000251,0.503043,0.418524,-0.000138,0.515933,0.450076,-0.001470,0.390350,0.466517,-0.002716,0.406831,0.333103,-0.005980,0.425425,0.249484,-0.012201,0.439940,0.179475,-0.019580,0.334860,0.474129,-0.014704,0.329559,0.336201,-0.014686,0.339082,0.254773,-0.016590,0.351463,0.186109,-0.021624,0.276030,0.504662,-0.029303,0.234561,0.400463,-0.028471,0.210951,0.338233,-0.027501,0.199751,0.280717,-0.029328
ok,0.354079,0.776276,0.000000,0.447260,0.713893,-0.007982,0.513618,0.617417,-0.017360,0.551609,0.535905,-0.030135,0.577645,0.472478,-0.041231,0.434742,0.484389,0.007402,0.473142,0.400230,0.002489,0.498422,0.421224,0.002517,0.507327,0.458442,0.001300,0.383180,0.461777,-0.001211,0.402476,0.329057,-0.003775,0.419851,0.245877,-0.010157,0.431038,0.175951,-0.017911,0.327916,0.469666,-0.013191,0.325876,0.335255,-0.012001,0.336835,0.255534,-0.013680,0.348673,0.188020,-0.018909,0.269883,0.499004,-0.027847,0.230513,0.397305,-0.025755,0.207939,0.336189,-0.024419,0.196312,0.279072,-0.026284
ok,0.322844,0.776700,0.000000,0.413857,0.711390,-0.003847,0.474689,0.617806,-0.011762,0.504798,0.541536,-0.024233,0.521351,0.478602,-0.035327,0.409862,0.488791,0.013245,0.446393,0.407113,0.009683,0.467638,0.425400,0.009807,0.473638,0.456178,0.008413,0.361961,0.465939,0.002307,0.381181,0.331860,0.001376,0.395387,0.249058,-0.003707,0.403967,0.180898,-0.010790,0.308564,0.473515,-0.011982,0.307545,0.338271,-0.008921,0.317660,0.262536,-0.008237,0.328151,0.199221,-0.012254,0.250034,0.502843,-0.028943,0.209437,0.403971,-0.025198,0.186297,0.349450,-0.022050,0.172147,0.300467,-0.022745
ok,0.308342,0.777817,0.000000,0.401679,0.707790,-0.000559,0.463785,0.618032,-0.007489,0.495195,0.546772,-0.019490,0.508099,0.483092,-0.030063,0.392629,0.492653,0.015123,0.424166,0.413619,0.012656,0.431943,0.438073,0.014391,0.427316,0.472599,0.014169,0.344105,0.471624,0.002596,0.360654,0.340073,0.002559,0.374210,0.259943,-0.000667,0.384962,0.193492,-0.006360,0.291426,0.478772,-0.013068,0.290421,0.344262,-0.009434,0.299463,0.273870,-0.007407,0.309428,0.214546,-0.010328,0.235703,0.505488,-0.031052,0.198053,0.410215,-0.026407,0.176167,0.356507,-0.022460,0.163958,0.306860,-0.022574
