gesto,x0,y0,z0,x1,y1,z1,x2,y2,z2,x3,y3,z3,x4,y4,z4,x5,y5,z5,x6,y6,z6,x7,y7,z7,x8,y8,z8,x9,y9,z9,x10,y10,z10,x11,y11,z11,x12,y12,z12,x13,y13,z13,x14,y14,z14,x15,y15,z15,x16,y16,z16,x17,y17,z17,x18,y18,z18,x19,y19,z19,x20,y20,z20
dedos_cruzados,0.352244,0.884211,0.000000,0.426885,0.857773,-0.015370,0.477253,0.769366,-0.033436,0.473362,0.691686,-0.054977,0.462748,0.620221,-0.076051,0.467719,0.567540,-0.013642,0.479178,0.423981,-0.032877,0.485756,0.341179,-0.045944,0.488031,0.269629,-0.057086,0.394811,0.561165,-0.025399,0.420035,0.393517,-0.050173,0.449929,0.307102,-0.063482,0.476411,0.241609,-0.072792,0.327792,0.590521,-0.040100,0.370027,0.484421,-0.065336,0.396672,0.571003,-0.064534,0.406247,0.633735,-0.059778,0.266802,0.645186,-0.058405,0.321557,0.602733,-0.077436,0.341363,0.669764,-0.076654,0.341243,0.720279,-0.072848
dedos_cruzados,0.394685,0.884258,0.000000,0.462399,0.850059,-0.009535,0.507201,0.760467,-0.026152,0.512186,0.684171,-0.047886,0.513698,0.611213,-0.069458,0.496330,0.567243,-0.007516,0.506995,0.427813,-0.027919,0.514971,0.347168,-0.043740,0.521058,0.275890,-0.056780,0.429719,0.563295,-0.022420,0.457587,0.401816,-0.048751,0.490332,0.320352,-0.064802,0.521776,0.257296,-0.075914,0.365074,0.592143,-0.039823,0.417378,0.492456,-0.064035,0.436645,0.576608,-0.062617,0.440322,0.638929,-0.058193,0.302382,0.644694,-0.060676,0.360644,0.597777,-0.078199,0.378982,0.661146,-0.076356,0.376046,0.712017,-0.072409
dedos_cruzados,0.403425,0.883309,0.000000,0.478448,0.853943,-0.012184,0.527398,0.769022,-0.029920,0.531377,0.693979,-0.052388,0.531197,0.621422,-0.074531,0.517399,0.569477,-0.008265,0.529200,0.430433,-0.028946,0.540089,0.351408,-0.044978,0.547542,0.282185,-0.058142,0.451430,0.563490,-0.022151,0.483405,0.402971,-0.048913,0.517355,0.325680,-0.065536,0.547903,0.264502,-0.076915,0.384991,0.590784,-0.038832,0.441787,0.495838,-0.063601,0.458874,0.580805,-0.063542,0.459927,0.643510,-0.059982,0.320718,0.642839,-0.059184,0.383692,0.605192,-0.076666,0.399036,0.671542,-0.075621,0.392939,0.722606,-0.072334
dedos_cruzados,0.473786,0.854950,0.000000,0.558417,0.815663,-0.009446,0.610487,0.720429,-0.026851,0.626045,0.644375,-0.049076,0.642189,0.577582,-0.070954,0.590723,0.538172,-0.013068,0.594589,0.393596,-0.034673,0.605542,0.313840,-0.051109,0.611602,0.247342,-0.064280,0.524283,0.538948,-0.027568,0.547100,0.379306,-0.054585,0.583264,0.296434,-0.070889,0.613772,0.230036,-0.082240,0.459615,0.569475,-0.044089,0.511140,0.469562,-0.066945,0.543265,0.526030,-0.066100,0.552143,0.574229,-0.062985,0.395535,0.623184,-0.063976,0.446767,0.571859,-0.079294,0.470565,0.618985,-0.077343,0.467660,0.664323,-0.074200
dedos_cruzados,0.517586,0.862329,0.000000,0.602623,0.820422,-0.005776,0.663216,0.724311,-0.017250,0.681667,0.642157,-0.034658,0.703786,0.568114,-0.051268,0.632245,0.538390,0.008382,0.642905,0.400541,-0.004886,0.658954,0.321703,-0.016632,0.675302,0.253817,-0.027117,0.572100,0.534630,-0.006139,0.604593,0.385899,-0.024389,0.645496,0.308086,-0.038632,0.683908,0.244865,-0.048606,0.516877,0.558104,-0.023730,0.600154,0.490814,-0.040347,0.622646,0.572652,-0.040302,0.617077,0.625787,-0.037400,0.464040,0.600879,-0.044813,0.537891,0.556778,-0.056719,0.559626,0.608243,-0.056435,0.551350,0.650757,-0.054146
dedos_cruzados,0.527284,0.867295,0.000000,0.611099,0.829035,-0.007173,0.672526,0.735883,-0.019794,0.690946,0.655454,-0.037947,0.717587,0.582078,-0.055468,0.639971,0.549554,0.004673,0.649523,0.408618,-0.009137,0.663572,0.329709,-0.020985,0.678379,0.263314,-0.031557,0.581711,0.543728,-0.009280,0.615793,0.388445,-0.028076,0.655508,0.308489,-0.042444,0.693158,0.248952,-0.052757,0.527184,0.565559,-0.026175,0.614134,0.489217,-0.043242,0.638872,0.568672,-0.043887,0.637728,0.624814,-0.041803,0.476509,0.606406,-0.046613,0.556418,0.566453,-0.058830,0.578983,0.621731,-0.058807,0.573601,0.668377,-0.056989
dedos_cruzados,0.493931,0.850513,0.000000,0.581205,0.801695,-0.007180,0.638667,0.712794,-0.024006,0.660673,0.641414,-0.046001,0.683957,0.575545,-0.067558,0.604522,0.524834,-0.012219,0.618545,0.384055,-0.032519,0.636898,0.304100,-0.048277,0.653034,0.234730,-0.060912,0.540893,0.533073,-0.027073,0.551762,0.378689,-0.052990,0.581393,0.299114,-0.068020,0.607513,0.237634,-0.078210,0.482385,0.570638,-0.043596,0.534769,0.489851,-0.064234,0.576774,0.549798,-0.061494,0.592249,0.598156,-0.057115,0.427912,0.629013,-0.063487,0.479788,0.577022,-0.077386,0.517030,0.614108,-0.074915,0.527258,0.652494,-0.071280
dedos_cruzados,0.406185,0.814578,0.000000,0.464126,0.755629,-0.013469,0.481869,0.652156,-0.033181,0.479343,0.574784,-0.056732,0.486955,0.492442,-0.080667,0.391990,0.481599,-0.017296,0.344759,0.328986,-0.038624,0.326344,0.238083,-0.055665,0.306421,0.166814,-0.069638,0.324339,0.510519,-0.031129,0.298685,0.339052,-0.056102,0.322516,0.262855,-0.072358,0.340172,0.217283,-0.083991,0.275971,0.560704,-0.047621,0.285052,0.439818,-0.070904,0.348293,0.472759,-0.074634,0.384708,0.509656,-0.075042,0.238557,0.627605,-0.067206,0.268560,0.551566,-0.085055,0.318903,0.581076,-0.086276,0.345943,0.624126,-0.085623
dedos_cruzados,0.418560,0.844261,0.000000,0.481407,0.794238,-0.009814,0.511997,0.696226,-0.028481,0.516635,0.625485,-0.051932,0.524370,0.554715,-0.075336,0.428367,0.514327,-0.012349,0.396448,0.364291,-0.033649,0.384690,0.271451,-0.051661,0.374601,0.193679,-0.066637,0.358336,0.534347,-0.027517,0.340285,0.356863,-0.054226,0.359123,0.257359,-0.073297,0.380124,0.187348,-0.087401,0.305922,0.579519,-0.044727,0.350543,0.474890,-0.067276,0.410039,0.536378,-0.068196,0.440018,0.590457,-0.066524,0.264112,0.638682,-0.065405,0.325386,0.589156,-0.081701,0.365351,0.638851,-0.080558,0.377733,0.688296,-0.078078
dedos_cruzados,0.395125,0.861461,0.000000,0.457147,0.824142,-0.017911,0.490752,0.730540,-0.039609,0.497444,0.660750,-0.064270,0.502893,0.590718,-0.088944,0.435998,0.530202,-0.026114,0.406407,0.377012,-0.050462,0.394789,0.284167,-0.069108,0.381179,0.206737,-0.084389,0.362944,0.546092,-0.038124,0.341141,0.366032,-0.068273,0.357724,0.264068,-0.088449,0.378220,0.188502,-0.103337,0.302323,0.592505,-0.052355,0.322079,0.477682,-0.080053,0.381679,0.534199,-0.085192,0.423555,0.583729,-0.085596,0.249565,0.660026,-0.070205,0.290380,0.601836,-0.091347,0.337789,0.642714,-0.094239,0.367708,0.685747,-0.094203
