gesto,x0,y0,z0,x1,y1,z1,x2,y2,z2,x3,y3,z3,x4,y4,z4,x5,y5,z5,x6,y6,z6,x7,y7,z7,x8,y8,z8,x9,y9,z9,x10,y10,z10,x11,y11,z11,x12,y12,z12,x13,y13,z13,x14,y14,z14,x15,y15,z15,x16,y16,z16,x17,y17,z17,x18,y18,z18,x19,y19,z19,x20,y20,z20
cinco,0.692952,0.730356,-0.000000,0.579826,0.683978,-0.006003,0.505361,0.600265,-0.005738,0.444161,0.537770,-0.008653,0.385862,0.512467,-0.011692,0.556596,0.441155,0.023385,0.511440,0.344212,0.024736,0.483439,0.291744,0.023597,0.462371,0.250943,0.022113,0.612595,0.417556,0.017885,0.589148,0.295762,0.025202,0.576430,0.224354,0.022687,0.568830,0.167319,0.018413,0.664253,0.419640,0.008286,0.655197,0.298882,0.012066,0.651373,0.239505,0.006499,0.652064,0.191938,0.000765,0.719525,0.440840,-0.004208,0.734875,0.355125,-0.003216,0.744184,0.306861,-0.006376,0.751944,0.263863,-0.009722
cinco,0.669595,0.705506,-0.000000,0.556170,0.653918,-0.004995,0.485254,0.574718,-0.004804,0.426166,0.515099,-0.007924,0.365708,0.490985,-0.011141,0.527747,0.420728,0.023323,0.481374,0.331598,0.023824,0.455364,0.282572,0.021582,0.436181,0.243936,0.019327,0.582155,0.396827,0.017120,0.557093,0.281755,0.022929,0.543594,0.213555,0.018734,0.535946,0.157789,0.013367,0.633345,0.396632,0.007036,0.621663,0.283978,0.009885,0.614109,0.227918,0.003388,0.611763,0.180575,-0.002952,0.691887,0.414433,-0.005741,0.703354,0.332160,-0.005112,0.711159,0.282404,-0.008824,0.718032,0.236211,-0.012718
cinco,0.402575,0.705103,0.000000,0.469165,0.669117,-0.035930,0.515979,0.629512,-0.054056,0.526339,0.597786,-0.067604,0.510600,0.574089,-0.078941,0.445224,0.492614,-0.023467,0.466501,0.441595,-0.030088,0.468397,0.469321,-0.030938,0.457432,0.498773,-0.030305,0.392704,0.478468,-0.010681,0.374371,0.380436,-0.011765,0.363395,0.344609,-0.013226,0.356716,0.315335,-0.016003,0.351526,0.483865,-0.002078,0.322481,0.396757,-0.000026,0.313115,0.365536,-0.000186,0.308921,0.333492,-0.002184,0.322554,0.504797,0.002162,0.286731,0.444268,0.006096,0.269856,0.411895,0.007160,0.262355,0.382080,0.006542
cinco,0.432841,0.694981,0.000000,0.354397,0.601703,0.001128,0.301108,0.512561,-0.007425,0.255204,0.452414,-0.019253,0.200416,0.411963,-0.031747,0.365950,0.413169,-0.013801,0.369517,0.306755,-0.029441,0.373326,0.244983,-0.039826,0.377468,0.190169,-0.048071,0.404483,0.425022,-0.028052,0.415065,0.308071,-0.044147,0.423907,0.234330,-0.054161,0.433910,0.171110,-0.062948,0.439668,0.459202,-0.042492,0.461942,0.355973,-0.056339,0.472638,0.296310,-0.063126,0.483499,0.239798,-0.068779,0.471361,0.511744,-0.057786,0.504246,0.453244,-0.068356,0.521358,0.413838,-0.072862,0.537678,0.372771,-0.076896
cinco,0.496313,0.655451,-0.000000,0.426168,0.564285,-0.004667,0.381002,0.479660,-0.016507,0.338723,0.418597,-0.030630,0.289947,0.371614,-0.045327,0.449691,0.377824,-0.021937,0.461064,0.266567,-0.040039,0.467288,0.203763,-0.051860,0.473915,0.147468,-0.061094,0.489016,0.389356,-0.034139,0.508637,0.268444,-0.052988,0.519816,0.196503,-0.065126,0.531871,0.132702,-0.075288,0.524706,0.421393,-0.046760,0.555925,0.316030,-0.063755,0.571513,0.259876,-0.073205,0.585894,0.204876,-0.080361,0.556791,0.472537,-0.060401,0.596824,0.406229,-0.074124,0.616621,0.362173,-0.081100,0.633756,0.317829,-0.086740
cinco,0.517560,0.638999,-0.000000,0.450075,0.543558,-0.001466,0.410842,0.458352,-0.011496,0.380747,0.391275,-0.024047,0.345443,0.332671,-0.037047,0.476527,0.355684,-0.018011,0.497141,0.244034,-0.033526,0.510978,0.181856,-0.043357,0.523730,0.125939,-0.051173,0.514367,0.369691,-0.030322,0.541392,0.251266,-0.047036,0.559082,0.182625,-0.057375,0.575952,0.121547,-0.065848,0.549359,0.402758,-0.042686,0.585498,0.299123,-0.057214,0.604997,0.243705,-0.065004,0.621205,0.192232,-0.070850,0.581382,0.454338,-0.055754,0.620351,0.384732,-0.067337,0.636254,0.339527,-0.073326,0.650533,0.295520,-0.078054
cinco,0.440434,0.601463,-0.000000,0.368994,0.513417,-0.006522,0.323372,0.428145,-0.017797,0.277322,0.369757,-0.030633,0.218297,0.334329,-0.043610,0.372352,0.322767,-0.019640,0.379367,0.211617,-0.034697,0.385125,0.146725,-0.044512,0.389741,0.090850,-0.052016,0.408206,0.330560,-0.028248,0.419754,0.209349,-0.042775,0.428013,0.133810,-0.052355,0.436657,0.068263,-0.060382,0.443262,0.358408,-0.037429,0.464226,0.250567,-0.049132,0.476609,0.188409,-0.055738,0.487898,0.132398,-0.061051,0.480578,0.402826,-0.048092,0.511244,0.331710,-0.056273,0.529030,0.288142,-0.060269,0.545418,0.247442,-0.063765
cinco,0.421956,0.596968,-0.000000,0.348943,0.502172,-0.003695,0.302368,0.411367,-0.013962,0.255404,0.350901,-0.026352,0.193108,0.311460,-0.039229,0.350016,0.309880,-0.018252,0.354886,0.198463,-0.033766,0.358718,0.132986,-0.044159,0.360839,0.076220,-0.052265,0.386144,0.319278,-0.028809,0.397929,0.201015,-0.044236,0.403963,0.125097,-0.054331,0.409680,0.059205,-0.062798,0.421401,0.349585,-0.039745,0.445706,0.240637,-0.052471,0.457440,0.178074,-0.059270,0.467198,0.120288,-0.064833,0.456474,0.397262,-0.051886,0.488223,0.326329,-0.061257,0.505582,0.281796,-0.065649,0.520981,0.238992,-0.069480
cinco,0.492250,0.811140,0.000000,0.462254,0.737278,-0.015021,0.428138,0.653545,-0.028158,0.399306,0.583355,-0.039923,0.368859,0.524536,-0.052620,0.393486,0.554244,-0.032020,0.362182,0.438608,-0.049108,0.362070,0.395134,-0.059437,0.366133,0.376531,-0.066335,0.396519,0.562137,-0.034339,0.364690,0.445575,-0.053398,0.365583,0.405467,-0.066494,0.373922,0.378321,-0.075932,0.408564,0.579745,-0.037173,0.380906,0.473866,-0.054534,0.376498,0.429359,-0.067266,0.378654,0.393725,-0.075815,0.425246,0.604649,-0.041283,0.394458,0.517473,-0.056654,0.384400,0.474332,-0.066900,0.385518,0.440991,-0.074498
cinco,0.488457,0.893336,0.000000,0.393778,0.843051,-0.025283,0.322536,0.798870,-0.052057,0.264506,0.775482,-0.078351,0.208232,0.755275,-0.106497,0.405494,0.654175,-0.055509,0.388401,0.559363,-0.087293,0.382921,0.502984,-0.110278,0.380426,0.450658,-0.127302,0.455635,0.666128,-0.063388,0.453438,0.553343,-0.095502,0.452560,0.488386,-0.118287,0.458447,0.424025,-0.137197,0.500796,0.701844,-0.072323,0.516748,0.603061,-0.101269,0.518814,0.550450,-0.120773,0.527165,0.488177,-0.135697,0.537604,0.757748,-0.083625,0.565572,0.702063,-0.106805,0.585527,0.669581,-0.120007,0.607167,0.630281,-0.131550
cinco,0.508281,0.784112,-0.000000,0.397403,0.737829,-0.023204,0.322698,0.655368,-0.048688,0.263468,0.596842,-0.073770,0.196254,0.556502,-0.101470,0.408788,0.479823,-0.059291,0.384151,0.330553,-0.094639,0.366757,0.230250,-0.121098,0.352176,0.148391,-0.141649,0.470829,0.484348,-0.070077,0.468535,0.316954,-0.107040,0.465127,0.194516,-0.135994,0.464556,0.089428,-0.159612,0.531244,0.520912,-0.081280,0.552647,0.366444,-0.114738,0.565390,0.265504,-0.140443,0.580001,0.169732,-0.159873,0.587628,0.583119,-0.094278,0.624043,0.478041,-0.123569,0.655933,0.404716,-0.143024,0.687720,0.336370,-0.159025
